==============================================================================
GHRN | amazon | unified | TR40 | seed 42
==============================================================================
Run ID: ghrn_amazon_unified_tr40_seed42_a6000_20260913T232200Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.015 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded amazon: 11,944 nodes, 25 features, 3 relation(s)
[compatibility] NOTE amazon is multi-relational; GHRN is a homogeneous spectral method and receives the frozen union view. Record this pair as PASS_WITH_SHARED_ADAPTER (A1).
Split: train 3,455 | valid 1,728 | test 3,456
Graph: 11,944 nodes, 8,847,096 stored directed edges (backend: dgl)
Training fraud/normal: 328/3,127 | fraud weight 9.5335
Parameters: 18,306 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage1_unrefined] epoch   1/100 | loss 1.727140 | train 0.347s | val AUPRC 0.062712 | val AUROC 0.269739 | thr 0.99 | best epoch 1
[stage1_unrefined] epoch   2/100 | loss 20.126993 | train 0.016s | val AUPRC 0.062107 | val AUROC 0.294221 | thr 0.99 | best epoch 1
[stage1_unrefined] epoch   3/100 | loss 3.589038 | train 0.015s | val AUPRC 0.507941 | val AUROC 0.847947 | thr 0.02 | best epoch 3
[stage1_unrefined] epoch   4/100 | loss 2.139345 | train 0.015s | val AUPRC 0.536318 | val AUROC 0.850933 | thr 0.02 | best epoch 4
[stage1_unrefined] epoch   5/100 | loss 2.271750 | train 0.015s | val AUPRC 0.625558 | val AUROC 0.865226 | thr 0.13 | best epoch 5
[stage1_unrefined] epoch   6/100 | loss 1.468067 | train 0.015s | val AUPRC 0.714607 | val AUROC 0.883445 | thr 0.43 | best epoch 6
[stage1_unrefined] epoch   7/100 | loss 0.724553 | train 0.015s | val AUPRC 0.622031 | val AUROC 0.884450 | thr 0.70 | best epoch 6
[stage1_unrefined] epoch   8/100 | loss 0.382842 | train 0.015s | val AUPRC 0.704838 | val AUROC 0.853308 | thr 0.88 | best epoch 6
[stage1_unrefined] epoch   9/100 | loss 0.515310 | train 0.015s | val AUPRC 0.743251 | val AUROC 0.843015 | thr 0.93 | best epoch 9
[stage1_unrefined] epoch  10/100 | loss 0.527749 | train 0.015s | val AUPRC 0.754106 | val AUROC 0.857639 | thr 0.92 | best epoch 10
[stage1_unrefined] epoch  11/100 | loss 0.420723 | train 0.015s | val AUPRC 0.773723 | val AUROC 0.905815 | thr 0.86 | best epoch 11
[stage1_unrefined] epoch  12/100 | loss 0.315946 | train 0.015s | val AUPRC 0.785502 | val AUROC 0.913453 | thr 0.82 | best epoch 12
[stage1_unrefined] epoch  13/100 | loss 0.298814 | train 0.015s | val AUPRC 0.792680 | val AUROC 0.919609 | thr 0.74 | best epoch 13
[stage1_unrefined] epoch  14/100 | loss 0.288391 | train 0.015s | val AUPRC 0.798091 | val AUROC 0.926884 | thr 0.68 | best epoch 14
[stage1_unrefined] epoch  15/100 | loss 0.288224 | train 0.015s | val AUPRC 0.800568 | val AUROC 0.930011 | thr 0.71 | best epoch 15
[stage1_unrefined] epoch  16/100 | loss 0.293369 | train 0.015s | val AUPRC 0.801205 | val AUROC 0.931274 | thr 0.72 | best epoch 16
[stage1_unrefined] epoch  17/100 | loss 0.292952 | train 0.015s | val AUPRC 0.801776 | val AUROC 0.931800 | thr 0.78 | best epoch 17
[stage1_unrefined] epoch  18/100 | loss 0.284956 | train 0.015s | val AUPRC 0.802148 | val AUROC 0.931278 | thr 0.85 | best epoch 18
[stage1_unrefined] epoch  19/100 | loss 0.275171 | train 0.015s | val AUPRC 0.798625 | val AUROC 0.929634 | thr 0.89 | best epoch 18
[stage1_unrefined] epoch  20/100 | loss 0.269818 | train 0.015s | val AUPRC 0.797996 | val AUROC 0.930478 | thr 0.94 | best epoch 18
[stage1_unrefined] epoch  21/100 | loss 0.267911 | train 0.015s | val AUPRC 0.800968 | val AUROC 0.933319 | thr 0.93 | best epoch 18
[stage1_unrefined] epoch  22/100 | loss 0.267173 | train 0.015s | val AUPRC 0.805838 | val AUROC 0.938095 | thr 0.94 | best epoch 22
[stage1_unrefined] epoch  23/100 | loss 0.266137 | train 0.015s | val AUPRC 0.809246 | val AUROC 0.941566 | thr 0.95 | best epoch 23
[stage1_unrefined] epoch  24/100 | loss 0.262080 | train 0.015s | val AUPRC 0.799602 | val AUROC 0.933718 | thr 0.94 | best epoch 23
[stage1_unrefined] epoch  25/100 | loss 0.268933 | train 0.015s | val AUPRC 0.814773 | val AUROC 0.947566 | thr 0.92 | best epoch 25
[stage1_unrefined] epoch  26/100 | loss 0.256146 | train 0.015s | val AUPRC 0.818127 | val AUROC 0.951262 | thr 0.90 | best epoch 26
[stage1_unrefined] epoch  27/100 | loss 0.256757 | train 0.015s | val AUPRC 0.821227 | val AUROC 0.954405 | thr 0.91 | best epoch 27
