==============================================================================
GHRN | elliptic | unified | TR40 | seed 42
==============================================================================
Run ID: ghrn_elliptic_unified_tr40_seed42_a6000_20260913T194138Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.03 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded elliptic: 203,769 nodes, 166 features, 1 relation(s)
Split: train 18,626 | valid 9,313 | test 18,625
Graph: 203,769 nodes, 672,479 stored directed edges (backend: dgl)
Training fraud/normal: 1,669/16,957 | fraud weight 10.1600
Parameters: 27,330 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage1_unrefined] epoch   1/100 | loss 0.698230 | train 0.396s | val AUPRC 0.430580 | val AUROC 0.847650 | thr 0.54 | best epoch 1
[stage1_unrefined] epoch   2/100 | loss 0.612903 | train 0.026s | val AUPRC 0.477623 | val AUROC 0.828281 | thr 0.59 | best epoch 2
[stage1_unrefined] epoch   3/100 | loss 0.508419 | train 0.026s | val AUPRC 0.525842 | val AUROC 0.820003 | thr 0.69 | best epoch 3
[stage1_unrefined] epoch   4/100 | loss 0.399732 | train 0.026s | val AUPRC 0.517720 | val AUROC 0.815800 | thr 0.81 | best epoch 3
[stage1_unrefined] epoch   5/100 | loss 0.315124 | train 0.026s | val AUPRC 0.485007 | val AUROC 0.810796 | thr 0.92 | best epoch 3
[stage1_unrefined] epoch   6/100 | loss 0.267878 | train 0.026s | val AUPRC 0.517204 | val AUROC 0.813733 | thr 0.97 | best epoch 3
[stage1_unrefined] epoch   7/100 | loss 0.250066 | train 0.026s | val AUPRC 0.569712 | val AUROC 0.818787 | thr 0.97 | best epoch 7
[stage1_unrefined] epoch   8/100 | loss 0.233440 | train 0.026s | val AUPRC 0.592216 | val AUROC 0.820550 | thr 0.93 | best epoch 8
[stage1_unrefined] epoch   9/100 | loss 0.214554 | train 0.026s | val AUPRC 0.604626 | val AUROC 0.822731 | thr 0.95 | best epoch 9
[stage1_unrefined] epoch  10/100 | loss 0.198425 | train 0.026s | val AUPRC 0.609140 | val AUROC 0.823552 | thr 0.79 | best epoch 10
[stage1_unrefined] epoch  11/100 | loss 0.180817 | train 0.026s | val AUPRC 0.619177 | val AUROC 0.826467 | thr 0.87 | best epoch 11
[stage1_unrefined] epoch  12/100 | loss 0.165100 | train 0.026s | val AUPRC 0.633053 | val AUROC 0.830631 | thr 0.93 | best epoch 12
[stage1_unrefined] epoch  13/100 | loss 0.153823 | train 0.026s | val AUPRC 0.637692 | val AUROC 0.832887 | thr 0.86 | best epoch 13
[stage1_unrefined] epoch  14/100 | loss 0.145597 | train 0.026s | val AUPRC 0.651881 | val AUROC 0.836349 | thr 0.96 | best epoch 14
[stage1_unrefined] epoch  15/100 | loss 0.137973 | train 0.026s | val AUPRC 0.658870 | val AUROC 0.837297 | thr 0.92 | best epoch 15
[stage1_unrefined] epoch  16/100 | loss 0.127367 | train 0.026s | val AUPRC 0.663555 | val AUROC 0.837414 | thr 0.88 | best epoch 16
[stage1_unrefined] epoch  17/100 | loss 0.121606 | train 0.026s | val AUPRC 0.663973 | val AUROC 0.837291 | thr 0.96 | best epoch 17
[stage1_unrefined] epoch  18/100 | loss 0.117926 | train 0.026s | val AUPRC 0.663728 | val AUROC 0.836128 | thr 0.89 | best epoch 17
[stage1_unrefined] epoch  19/100 | loss 0.110019 | train 0.026s | val AUPRC 0.665426 | val AUROC 0.836282 | thr 0.91 | best epoch 19
[stage1_unrefined] epoch  20/100 | loss 0.105897 | train 0.026s | val AUPRC 0.670099 | val AUROC 0.837787 | thr 0.97 | best epoch 20
[stage1_unrefined] epoch  21/100 | loss 0.102346 | train 0.026s | val AUPRC 0.680234 | val AUROC 0.839171 | thr 0.95 | best epoch 21
[stage1_unrefined] epoch  22/100 | loss 0.094901 | train 0.026s | val AUPRC 0.685681 | val AUROC 0.840552 | thr 0.94 | best epoch 22
[stage1_unrefined] epoch  23/100 | loss 0.092775 | train 0.026s | val AUPRC 0.683236 | val AUROC 0.841586 | thr 0.98 | best epoch 22
[stage1_unrefined] epoch  24/100 | loss 0.089282 | train 0.026s | val AUPRC 0.682207 | val AUROC 0.842212 | thr 0.97 | best epoch 22
[stage1_unrefined] epoch  25/100 | loss 0.084412 | train 0.026s | val AUPRC 0.678620 | val AUROC 0.842266 | thr 0.93 | best epoch 22
[stage1_unrefined] epoch  26/100 | loss 0.082728 | train 0.026s | val AUPRC 0.672705 | val AUROC 0.842107 | thr 0.96 | best epoch 22
[stage1_unrefined] epoch  27/100 | loss 0.077594 | train 0.026s | val AUPRC 0.665351 | val AUROC 0.841902 | thr 0.96 | best epoch 22
[stage1_unrefined] epoch  28/100 | loss 0.075116 | train 0.026s | val AUPRC 0.660465 | val AUROC 0.842002 | thr 0.89 | best epoch 22
[stage1_unrefined] epoch  29/100 | loss 0.073098 | train 0.026s | val AUPRC 0.659967 | val AUROC 0.842820 | thr 0.95 | best epoch 22
[stage1_unrefined] epoch  30/100 | loss 0.068608 | train 0.026s | val AUPRC 0.662021 | val AUROC 0.843868 | thr 0.95 | best epoch 22
[stage1_unrefined] epoch  31/100 | loss 0.066152 | train 0.026s | val AUPRC 0.665496 | val AUROC 0.845006 | thr 0.89 | best epoch 22
[stage1_unrefined] epoch  32/100 | loss 0.064336 | train 0.026s | val AUPRC 0.666611 | val AUROC 0.845840 | thr 0.94 | best epoch 22
[stage1_unrefined] epoch  33/100 | loss 0.060596 | train 0.026s | val AUPRC 0.666014 | val AUROC 0.846210 | thr 0.94 | best epoch 22
[stage1_unrefined] epoch  34/100 | loss 0.057494 | train 0.026s | val AUPRC 0.665150 | val AUROC 0.846380 | thr 0.91 | best epoch 22
[stage1_unrefined] epoch  35/100 | loss 0.056255 | train 0.026s | val AUPRC 0.666696 | val AUROC 0.846721 | thr 0.96 | best epoch 22
[stage1_unrefined] epoch  36/100 | loss 0.053773 | train 0.026s | val AUPRC 0.669738 | val AUROC 0.847211 | thr 0.91 | best epoch 22
[stage1_unrefined] epoch  37/100 | loss 0.049861 | train 0.026s | val AUPRC 0.672356 | val AUROC 0.847612 | thr 0.90 | best epoch 22
[stage1_unrefined] epoch  38/100 | loss 0.048394 | train 0.026s | val AUPRC 0.672579 | val AUROC 0.847666 | thr 0.97 | best epoch 22
[stage1_unrefined] epoch  39/100 | loss 0.046885 | train 0.026s | val AUPRC 0.673194 | val AUROC 0.847914 | thr 0.93 | best epoch 22
[stage1_unrefined] epoch  40/100 | loss 0.042801 | train 0.026s | val AUPRC 0.672904 | val AUROC 0.848098 | thr 0.89 | best epoch 22
[stage1_unrefined] epoch  41/100 | loss 0.040810 | train 0.026s | val AUPRC 0.674428 | val AUROC 0.848344 | thr 0.96 | best epoch 22
[stage1_unrefined] epoch  42/100 | loss 0.040147 | train 0.026s | val AUPRC 0.677670 | val AUROC 0.849110 | thr 0.90 | best epoch 22
[stage1_unrefined] early stopping: no improvement for 20 epochs
------------------------------------------------------------------------------
STAGE 2: refining the graph (del_ratio = 0.03) and retraining
/workspace/COMP8851-fraud-dataset-analysis-main/models/ghrn/scripts/run_one.py:398: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load(stage1["checkpoint"], map_location=device))
Edges 672,479 -> 652,305 (20,174 removed)
Training-edge heterophily 0.042618 -> 0.032751
[stage2_refined] epoch   1/100 | loss 1.146953 | train 0.027s | val AUPRC 0.256860 | val AUROC 0.707345 | thr 0.09 | best epoch 1
