epoch,train_seconds,validation_seconds,cumulative_seconds,train_loss,validation_auroc,validation_auprc,validation_macro_f1,validation_threshold,is_best_checkpoint,timestamp_utc,notes
0,0.3823838980169967,0.013525472953915596,0.3959093709709123,0.7005024552345276,0.7809817989130975,0.42642970171869343,0.6995852150251394,0.51,True,2026-09-13T19:43:53.881962+00:00,stage1_unrefined
1,0.026333985035307705,0.013344343984499574,0.43558769999071956,0.6156861782073975,0.7961860674234178,0.4960671815101576,0.7277652525823979,0.59,True,2026-09-13T19:43:54.696163+00:00,stage1_unrefined
2,0.02622180199250579,0.013282518018968403,0.47509202000219375,0.5100648999214172,0.8005737156847909,0.49481818263398825,0.7287746623620974,0.71,False,2026-09-13T19:43:55.530809+00:00,stage1_unrefined
3,0.026238841004669666,0.013285266992170364,0.5146161279990338,0.39150869846343994,0.8054292063887677,0.5026492363618257,0.7368149302949913,0.86,True,2026-09-13T19:43:56.395697+00:00,stage1_unrefined
4,0.02633782901102677,0.013291782001033425,0.554245739011094,0.29762423038482666,0.8123617569652324,0.5307880471946463,0.7530924209933159,0.95,True,2026-09-13T19:43:57.260973+00:00,stage1_unrefined
5,0.026248465990647674,0.013280514045618474,0.5937747190473601,0.2568857967853546,0.8170127356818483,0.5488369838191193,0.765754896983786,0.98,True,2026-09-13T19:43:58.118593+00:00,stage1_unrefined
6,0.02623096399474889,0.013285149005241692,0.6332908320473507,0.24755315482616425,0.820621126511543,0.5733434117390586,0.7777136941954046,0.98,True,2026-09-13T19:43:58.972174+00:00,stage1_unrefined
7,0.026207374001387507,0.013267804984934628,0.6727660110336728,0.23394103348255157,0.8225775387106677,0.5914950002955874,0.7806146779559225,0.97,True,2026-09-13T19:43:59.823474+00:00,stage1_unrefined
8,0.02631965302862227,0.013279748964123428,0.7123654130264185,0.2111785113811493,0.8240594324838166,0.6023131465088314,0.7857958941771068,0.96,True,2026-09-13T19:44:00.661882+00:00,stage1_unrefined
9,0.026293720002286136,0.013304051011800766,0.7519631840405054,0.19198474287986755,0.8228231538113407,0.6018307885433756,0.7861219240529586,0.84,False,2026-09-13T19:44:01.488612+00:00,stage1_unrefined
10,0.026223586057312787,0.013298494042828679,0.7914852641406469,0.18227411806583405,0.8291607564578576,0.6229284824620216,0.7972437117748725,0.97,True,2026-09-13T19:44:02.327363+00:00,stage1_unrefined
11,0.026207410031929612,0.013296389020979404,0.8309890631935559,0.18191608786582947,0.8275578659403197,0.6260023164645498,0.798643023157305,0.82,True,2026-09-13T19:44:03.148831+00:00,stage1_unrefined
12,0.026153468003030866,0.013287059962749481,0.8704295911593363,0.16100193560123444,0.8321434374734379,0.6414678903845418,0.8097651576664526,0.92,True,2026-09-13T19:44:03.993043+00:00,stage1_unrefined
13,0.026251700008288026,0.013306248001754284,0.9099875391693786,0.1425369828939438,0.8357291823203205,0.6445369126857428,0.8143585518849312,0.97,True,2026-09-13T19:44:04.846533+00:00,stage1_unrefined
14,0.026261749968398362,0.013286431028973311,0.9495357201667503,0.14110136032104492,0.8347153927930446,0.6414491258885906,0.8119655248965594,0.93,False,2026-09-13T19:44:05.674677+00:00,stage1_unrefined
15,0.0264091519638896,0.013286861998494714,0.9892317341291346,0.1303665190935135,0.8344740101785622,0.636632915107616,0.8137232218160837,0.89,False,2026-09-13T19:44:06.504335+00:00,stage1_unrefined
16,0.026256035023834556,0.013294280041009188,1.0287820491939783,0.12978927791118622,0.8361885597905434,0.6351723296056253,0.8112953710279853,0.97,False,2026-09-13T19:44:07.344172+00:00,stage1_unrefined
17,0.02625841897679493,0.013280732033308595,1.0683212002040818,0.12125632911920547,0.8365570478923702,0.6438125810817753,0.8119034374979306,0.97,False,2026-09-13T19:44:08.187631+00:00,stage1_unrefined
18,0.026380264025647193,0.013333618990145624,1.1080350832198747,0.11312919855117798,0.8363796761772814,0.6562885562554502,0.8187329074408396,0.93,True,2026-09-13T19:44:09.016291+00:00,stage1_unrefined
19,0.026235931960400194,0.013283013016916811,1.1475540281971917,0.10765057057142258,0.8370962317259137,0.6629243520239988,0.8197189400326281,0.95,True,2026-09-13T19:44:09.847631+00:00,stage1_unrefined
20,0.026304499013349414,0.013283762033097446,1.1871422892436385,0.10081040114164352,0.838360785151496,0.665529445572091,0.8191648043907611,0.98,True,2026-09-13T19:44:10.686795+00:00,stage1_unrefined
21,0.02623977599432692,0.013314626005012542,1.226696691242978,0.09847091883420944,0.8389010161981173,0.672324750723863,0.8157631588323329,0.97,True,2026-09-13T19:44:11.515791+00:00,stage1_unrefined
22,0.026242433988954872,0.01329210796393454,1.2662312331958674,0.09224120527505875,0.839290884900287,0.6770270469972409,0.8168516989320131,0.94,True,2026-09-13T19:44:12.342808+00:00,stage1_unrefined
23,0.02628994098631665,0.01328387699322775,1.3058050511754118,0.08984964340925217,0.8403668090701918,0.67370648620178,0.8156205224264442,0.96,False,2026-09-13T19:44:13.166832+00:00,stage1_unrefined
24,0.026169285993091762,0.013284942018799484,1.345259279187303,0.08390029519796371,0.8414559543052064,0.6694237258842666,0.8144895302503417,0.97,False,2026-09-13T19:44:13.992212+00:00,stage1_unrefined
25,0.026145825977437198,0.013280370039865375,1.3846854752046056,0.08221874386072159,0.8418806864760984,0.668744564725477,0.8142094247892101,0.95,False,2026-09-13T19:44:14.821299+00:00,stage1_unrefined
26,0.026361266965977848,0.013295459968503565,1.424342202139087,0.07684560120105743,0.8422807218719003,0.6668381968994038,0.8162107112831162,0.91,False,2026-09-13T19:44:15.644571+00:00,stage1_unrefined
27,0.026181682012975216,0.013280894025228918,1.4638047781772912,0.07518672198057175,0.8432945550330544,0.6606353775610087,0.8150407645463207,0.97,False,2026-09-13T19:44:16.471493+00:00,stage1_unrefined
28,0.026261302991770208,0.013288176036439836,1.5033542572055012,0.07076964527368546,0.8436378663871306,0.6601253520648516,0.815096559107634,0.97,False,2026-09-13T19:44:17.309298+00:00,stage1_unrefined
29,0.026324136008042842,0.013282649975735694,1.5429610431892797,0.06785127520561218,0.8435372902977627,0.6620467596813002,0.8160522934208183,0.91,False,2026-09-13T19:44:18.133765+00:00,stage1_unrefined
30,0.026260155020281672,0.013363368983846158,1.5825845671934076,0.06568001955747604,0.8440756887214976,0.6662977530971672,0.8165136704312677,0.96,False,2026-09-13T19:44:18.959040+00:00,stage1_unrefined
31,0.026265131018590182,0.013305982982274145,1.622155681194272,0.06117522343993187,0.844412585895471,0.6705752368118632,0.81838833825633,0.97,False,2026-09-13T19:44:19.792689+00:00,stage1_unrefined
