==============================================================================
GHRN | fdcompcn | unified | TR40 | seed 2
==============================================================================
Run ID: ghrn_fdcompcn_unified_tr40_seed2_a6000_20260913T233929Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.03 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded fdcompcn: 5,317 nodes, 57 features, 4 relation(s)
[compatibility] NOTE fdcompcn is multi-relational; GHRN is a homogeneous spectral method and receives the frozen union view. Record this pair as PASS_WITH_SHARED_ADAPTER (A1).
Split: train 2,126 | valid 1,063 | test 2,128
Graph: 5,317 nodes, 12,585 stored directed edges (backend: dgl)
Training fraud/normal: 224/1,902 | fraud weight 8.4911
Parameters: 73,474 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage1_unrefined] epoch   1/100 | loss 0.693502 | train 0.338s | val AUPRC 0.136967 | val AUROC 0.525542 | thr 0.52 | best epoch 1
[stage1_unrefined] epoch   2/100 | loss 0.692867 | train 0.011s | val AUPRC 0.138131 | val AUROC 0.527673 | thr 0.51 | best epoch 2
[stage1_unrefined] epoch   3/100 | loss 0.692396 | train 0.010s | val AUPRC 0.139307 | val AUROC 0.528476 | thr 0.51 | best epoch 3
[stage1_unrefined] epoch   4/100 | loss 0.692037 | train 0.010s | val AUPRC 0.139438 | val AUROC 0.530288 | thr 0.51 | best epoch 4
[stage1_unrefined] epoch   5/100 | loss 0.691721 | train 0.010s | val AUPRC 0.142436 | val AUROC 0.532583 | thr 0.51 | best epoch 5
[stage1_unrefined] epoch   6/100 | loss 0.691427 | train 0.010s | val AUPRC 0.141719 | val AUROC 0.535437 | thr 0.51 | best epoch 5
[stage1_unrefined] epoch   7/100 | loss 0.691123 | train 0.010s | val AUPRC 0.143390 | val AUROC 0.542793 | thr 0.52 | best epoch 7
[stage1_unrefined] epoch   8/100 | loss 0.690809 | train 0.009s | val AUPRC 0.142945 | val AUROC 0.549647 | thr 0.52 | best epoch 7
[stage1_unrefined] epoch   9/100 | loss 0.690488 | train 0.009s | val AUPRC 0.145171 | val AUROC 0.559946 | thr 0.52 | best epoch 9
[stage1_unrefined] epoch  10/100 | loss 0.690169 | train 0.010s | val AUPRC 0.146274 | val AUROC 0.569142 | thr 0.52 | best epoch 10
[stage1_unrefined] epoch  11/100 | loss 0.689861 | train 0.010s | val AUPRC 0.146716 | val AUROC 0.578803 | thr 0.53 | best epoch 11
[stage1_unrefined] epoch  12/100 | loss 0.689563 | train 0.010s | val AUPRC 0.144983 | val AUROC 0.581704 | thr 0.53 | best epoch 11
[stage1_unrefined] epoch  13/100 | loss 0.689274 | train 0.010s | val AUPRC 0.145523 | val AUROC 0.586150 | thr 0.53 | best epoch 11
[stage1_unrefined] epoch  14/100 | loss 0.688989 | train 0.010s | val AUPRC 0.146084 | val AUROC 0.589107 | thr 0.54 | best epoch 11
[stage1_unrefined] epoch  15/100 | loss 0.688704 | train 0.009s | val AUPRC 0.145742 | val AUROC 0.587999 | thr 0.54 | best epoch 11
