==============================================================================
GHRN | tfinance | unified | TR40 | seed 42
==============================================================================
Run ID: ghrn_tfinance_unified_tr40_seed42_t4_20260916T235426Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.015 (post_aggregation)
Loaded tfinance: 39,357 nodes, 10 features, 1 relation(s)
Split: train 15,742 | valid 7,871 | test 15,744
Graph: 39,357 nodes, 42,484,443 stored directed edges (backend: dgl)
Training fraud/normal: 722/15,020 | fraud weight 20.8033
Parameters: 17,346 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage1_unrefined] epoch   1/100 | loss 12.434482 | train 0.769s | val AUPRC 0.045865 | val AUROC 0.500000 | thr 0.50 | best epoch 1
[stage1_unrefined] epoch   2/100 | loss 543.074219 | train 0.332s | val AUPRC 0.051727 | val AUROC 0.559387 | thr 0.99 | best epoch 2
[stage1_unrefined] epoch   3/100 | loss 142.958878 | train 0.327s | val AUPRC 0.070377 | val AUROC 0.680455 | thr 0.99 | best epoch 3
[stage1_unrefined] epoch   4/100 | loss 12.401499 | train 0.327s | val AUPRC 0.182116 | val AUROC 0.824162 | thr 0.01 | best epoch 4
[stage1_unrefined] epoch   5/100 | loss 12.811320 | train 0.317s | val AUPRC 0.209069 | val AUROC 0.839224 | thr 0.01 | best epoch 5
[stage1_unrefined] epoch   6/100 | loss 11.985765 | train 0.319s | val AUPRC 0.222974 | val AUROC 0.850745 | thr 0.01 | best epoch 6
[stage1_unrefined] epoch   7/100 | loss 8.012416 | train 0.315s | val AUPRC 0.216711 | val AUROC 0.860152 | thr 0.13 | best epoch 6
[stage1_unrefined] epoch   8/100 | loss 3.840966 | train 0.317s | val AUPRC 0.079084 | val AUROC 0.742058 | thr 0.99 | best epoch 6
[stage1_unrefined] epoch   9/100 | loss 2.599962 | train 0.316s | val AUPRC 0.061286 | val AUROC 0.666895 | thr 0.99 | best epoch 6
[stage1_unrefined] epoch  10/100 | loss 3.658613 | train 0.316s | val AUPRC 0.073458 | val AUROC 0.721533 | thr 0.99 | best epoch 6
[stage1_unrefined] epoch  11/100 | loss 2.510785 | train 0.320s | val AUPRC 0.214407 | val AUROC 0.873836 | thr 0.55 | best epoch 6
[stage1_unrefined] epoch  12/100 | loss 1.499649 | train 0.317s | val AUPRC 0.275789 | val AUROC 0.886055 | thr 0.26 | best epoch 12
[stage1_unrefined] epoch  13/100 | loss 1.948396 | train 0.318s | val AUPRC 0.313202 | val AUROC 0.886898 | thr 0.26 | best epoch 13
[stage1_unrefined] epoch  14/100 | loss 1.891662 | train 0.319s | val AUPRC 0.304024 | val AUROC 0.888408 | thr 0.54 | best epoch 13
[stage1_unrefined] epoch  15/100 | loss 1.444569 | train 0.320s | val AUPRC 0.187501 | val AUROC 0.858409 | thr 0.92 | best epoch 13
[stage1_unrefined] epoch  16/100 | loss 1.102632 | train 0.319s | val AUPRC 0.149085 | val AUROC 0.831491 | thr 0.95 | best epoch 13
[stage1_unrefined] epoch  17/100 | loss 1.087059 | train 0.323s | val AUPRC 0.134526 | val AUROC 0.822748 | thr 0.94 | best epoch 13
[stage1_unrefined] epoch  18/100 | loss 1.022556 | train 0.324s | val AUPRC 0.152673 | val AUROC 0.844901 | thr 0.91 | best epoch 13
[stage1_unrefined] epoch  19/100 | loss 0.849684 | train 0.322s | val AUPRC 0.245589 | val AUROC 0.887758 | thr 0.82 | best epoch 13
[stage1_unrefined] epoch  20/100 | loss 0.685580 | train 0.323s | val AUPRC 0.322642 | val AUROC 0.901173 | thr 0.69 | best epoch 20
[stage1_unrefined] epoch  21/100 | loss 0.673627 | train 0.326s | val AUPRC 0.368160 | val AUROC 0.905092 | thr 0.67 | best epoch 21
[stage1_unrefined] epoch  22/100 | loss 0.619529 | train 0.323s | val AUPRC 0.342289 | val AUROC 0.912454 | thr 0.73 | best epoch 21
[stage1_unrefined] epoch  23/100 | loss 0.466179 | train 0.325s | val AUPRC 0.087508 | val AUROC 0.764871 | thr 0.89 | best epoch 21
[stage1_unrefined] epoch  24/100 | loss 0.990943 | train 0.328s | val AUPRC 0.548292 | val AUROC 0.916481 | thr 0.69 | best epoch 24
[stage1_unrefined] epoch  25/100 | loss 0.531909 | train 0.329s | val AUPRC 0.562271 | val AUROC 0.906183 | thr 0.66 | best epoch 25
[stage1_unrefined] epoch  26/100 | loss 0.755762 | train 0.332s | val AUPRC 0.565181 | val AUROC 0.906732 | thr 0.65 | best epoch 26
[stage1_unrefined] epoch  27/100 | loss 0.781357 | train 0.328s | val AUPRC 0.539438 | val AUROC 0.911605 | thr 0.68 | best epoch 26
[stage1_unrefined] epoch  28/100 | loss 0.663528 | train 0.332s | val AUPRC 0.473394 | val AUROC 0.917326 | thr 0.76 | best epoch 26
[stage1_unrefined] epoch  29/100 | loss 0.509512 | train 0.330s | val AUPRC 0.351068 | val AUROC 0.919195 | thr 0.86 | best epoch 26
[stage1_unrefined] epoch  30/100 | loss 0.476790 | train 0.331s | val AUPRC 0.220222 | val AUROC 0.888912 | thr 0.91 | best epoch 26
[stage1_unrefined] epoch  31/100 | loss 0.622190 | train 0.328s | val AUPRC 0.237132 | val AUROC 0.895545 | thr 0.93 | best epoch 26
