==============================================================================
GHRN | yelpchi | unified | TR40 | seed 2
==============================================================================
Run ID: ghrn_yelpchi_unified_tr40_seed2_a6000_20260913T223929Z
Device: cuda:0
Protocol: vast-v4.4  selection=auprc
Deletion ratio: 0.03 (post_aggregation)
/venv/main/lib/python3.12/site-packages/scipy/sparse/_index.py:145: SparseEfficiencyWarning: Changing the sparsity structure of a csr_matrix is expensive. lil_matrix is more efficient.
  self._set_arrayXarray(i, j, x)
Loaded yelpchi: 45,954 nodes, 32 features, 3 relation(s)
[compatibility] NOTE yelpchi is multi-relational; GHRN is a homogeneous spectral method and receives the frozen union view. Record this pair as PASS_WITH_SHARED_ADAPTER (A1).
Split: train 18,381 | valid 9,191 | test 18,382
Graph: 45,954 nodes, 7,739,912 stored directed edges (backend: dgl)
Training fraud/normal: 2,671/15,710 | fraud weight 5.8817
Parameters: 18,754 trainable
[protocol] WARNING unset identity fields: model_source_commit
------------------------------------------------------------------------------
STAGE 1: training on the unrefined graph (del_ratio = 0)
[stage1_unrefined] epoch   1/100 | loss 0.707773 | train 0.367s | val AUPRC 0.154196 | val AUROC 0.499233 | thr 0.50 | best epoch 1
[stage1_unrefined] epoch   2/100 | loss 0.693187 | train 0.019s | val AUPRC 0.213692 | val AUROC 0.599757 | thr 0.54 | best epoch 2
[stage1_unrefined] epoch   3/100 | loss 0.692525 | train 0.018s | val AUPRC 0.259402 | val AUROC 0.659767 | thr 0.52 | best epoch 3
[stage1_unrefined] epoch   4/100 | loss 0.687968 | train 0.018s | val AUPRC 0.286374 | val AUROC 0.691147 | thr 0.52 | best epoch 4
[stage1_unrefined] epoch   5/100 | loss 0.682488 | train 0.018s | val AUPRC 0.297143 | val AUROC 0.705378 | thr 0.54 | best epoch 5
[stage1_unrefined] epoch   6/100 | loss 0.673809 | train 0.018s | val AUPRC 0.301993 | val AUROC 0.712663 | thr 0.58 | best epoch 6
[stage1_unrefined] epoch   7/100 | loss 0.663601 | train 0.018s | val AUPRC 0.308150 | val AUROC 0.720224 | thr 0.61 | best epoch 7
[stage1_unrefined] epoch   8/100 | loss 0.650992 | train 0.018s | val AUPRC 0.317318 | val AUROC 0.727541 | thr 0.62 | best epoch 8
[stage1_unrefined] epoch   9/100 | loss 0.638493 | train 0.018s | val AUPRC 0.325113 | val AUROC 0.733053 | thr 0.65 | best epoch 9
[stage1_unrefined] epoch  10/100 | loss 0.627361 | train 0.018s | val AUPRC 0.334835 | val AUROC 0.738042 | thr 0.69 | best epoch 10
[stage1_unrefined] epoch  11/100 | loss 0.618674 | train 0.018s | val AUPRC 0.345419 | val AUROC 0.741207 | thr 0.65 | best epoch 11
[stage1_unrefined] epoch  12/100 | loss 0.611738 | train 0.018s | val AUPRC 0.353950 | val AUROC 0.744768 | thr 0.65 | best epoch 12
[stage1_unrefined] epoch  13/100 | loss 0.606101 | train 0.018s | val AUPRC 0.360683 | val AUROC 0.747828 | thr 0.62 | best epoch 13
[stage1_unrefined] epoch  14/100 | loss 0.600218 | train 0.018s | val AUPRC 0.365765 | val AUROC 0.749811 | thr 0.63 | best epoch 14
[stage1_unrefined] epoch  15/100 | loss 0.594319 | train 0.018s | val AUPRC 0.366920 | val AUROC 0.749970 | thr 0.67 | best epoch 15
[stage1_unrefined] epoch  16/100 | loss 0.589888 | train 0.018s | val AUPRC 0.368425 | val AUROC 0.751103 | thr 0.61 | best epoch 16
[stage1_unrefined] epoch  17/100 | loss 0.589342 | train 0.018s | val AUPRC 0.367327 | val AUROC 0.751534 | thr 0.75 | best epoch 16
[stage1_unrefined] epoch  18/100 | loss 0.590857 | train 0.018s | val AUPRC 0.375042 | val AUROC 0.756492 | thr 0.63 | best epoch 18
[stage1_unrefined] epoch  19/100 | loss 0.584569 | train 0.018s | val AUPRC 0.381590 | val AUROC 0.760098 | thr 0.67 | best epoch 19
[stage1_unrefined] epoch  20/100 | loss 0.580142 | train 0.018s | val AUPRC 0.384748 | val AUROC 0.762654 | thr 0.69 | best epoch 20
[stage1_unrefined] epoch  21/100 | loss 0.579442 | train 0.018s | val AUPRC 0.391551 | val AUROC 0.766129 | thr 0.66 | best epoch 21
[stage1_unrefined] epoch  22/100 | loss 0.573830 | train 0.018s | val AUPRC 0.394870 | val AUROC 0.768316 | thr 0.58 | best epoch 22
[stage1_unrefined] epoch  23/100 | loss 0.576149 | train 0.018s | val AUPRC 0.396362 | val AUROC 0.769986 | thr 0.67 | best epoch 23
[stage1_unrefined] epoch  24/100 | loss 0.570603 | train 0.019s | val AUPRC 0.398392 | val AUROC 0.771403 | thr 0.71 | best epoch 24
[stage1_unrefined] epoch  25/100 | loss 0.571733 | train 0.018s | val AUPRC 0.402102 | val AUROC 0.772881 | thr 0.66 | best epoch 25
[stage1_unrefined] epoch  26/100 | loss 0.567338 | train 0.019s | val AUPRC 0.404953 | val AUROC 0.774494 | thr 0.65 | best epoch 26
[stage1_unrefined] epoch  27/100 | loss 0.565649 | train 0.018s | val AUPRC 0.406333 | val AUROC 0.775928 | thr 0.73 | best epoch 27
[stage1_unrefined] epoch  28/100 | loss 0.563300 | train 0.018s | val AUPRC 0.407320 | val AUROC 0.777518 | thr 0.70 | best epoch 28
[stage1_unrefined] epoch  29/100 | loss 0.559269 | train 0.018s | val AUPRC 0.409343 | val AUROC 0.779296 | thr 0.66 | best epoch 29
[stage1_unrefined] epoch  30/100 | loss 0.558775 | train 0.018s | val AUPRC 0.408348 | val AUROC 0.780324 | thr 0.69 | best epoch 29
[stage1_unrefined] epoch  31/100 | loss 0.554374 | train 0.018s | val AUPRC 0.410234 | val AUROC 0.781737 | thr 0.72 | best epoch 31
[stage1_unrefined] epoch  32/100 | loss 0.553035 | train 0.019s | val AUPRC 0.416557 | val AUROC 0.784360 | thr 0.65 | best epoch 32
[stage1_unrefined] epoch  33/100 | loss 0.550597 | train 0.018s | val AUPRC 0.419273 | val AUROC 0.786081 | thr 0.70 | best epoch 33
[stage1_unrefined] epoch  34/100 | loss 0.545879 | train 0.018s | val AUPRC 0.422332 | val AUROC 0.788164 | thr 0.72 | best epoch 34
[stage1_unrefined] epoch  35/100 | loss 0.544163 | train 0.018s | val AUPRC 0.427379 | val AUROC 0.790439 | thr 0.67 | best epoch 35
[stage1_unrefined] epoch  36/100 | loss 0.542262 | train 0.018s | val AUPRC 0.428112 | val AUROC 0.792160 | thr 0.72 | best epoch 36
[stage1_unrefined] epoch  37/100 | loss 0.537716 | train 0.018s | val AUPRC 0.432421 | val AUROC 0.794370 | thr 0.65 | best epoch 37
[stage1_unrefined] epoch  38/100 | loss 0.533986 | train 0.019s | val AUPRC 0.438017 | val AUROC 0.796314 | thr 0.62 | best epoch 38
[stage1_unrefined] epoch  39/100 | loss 0.532636 | train 0.018s | val AUPRC 0.440638 | val AUROC 0.797586 | thr 0.73 | best epoch 39
[stage1_unrefined] epoch  40/100 | loss 0.532486 | train 0.019s | val AUPRC 0.446094 | val AUROC 0.799287 | thr 0.60 | best epoch 40
[stage1_unrefined] epoch  41/100 | loss 0.531780 | train 0.018s | val AUPRC 0.446695 | val AUROC 0.799804 | thr 0.73 | best epoch 41
[stage1_unrefined] epoch  42/100 | loss 0.526753 | train 0.019s | val AUPRC 0.452076 | val AUROC 0.801369 | thr 0.68 | best epoch 42
[stage1_unrefined] epoch  43/100 | loss 0.521440 | train 0.018s | val AUPRC 0.455788 | val AUROC 0.803090 | thr 0.68 | best epoch 43
[stage1_unrefined] epoch  44/100 | loss 0.519660 | train 0.018s | val AUPRC 0.456605 | val AUROC 0.803806 | thr 0.75 | best epoch 44
[stage1_unrefined] epoch  45/100 | loss 0.520570 | train 0.018s | val AUPRC 0.461239 | val AUROC 0.805088 | thr 0.59 | best epoch 45
[stage1_unrefined] epoch  46/100 | loss 0.520678 | train 0.018s | val AUPRC 0.460033 | val AUROC 0.805234 | thr 0.75 | best epoch 45
[stage1_unrefined] epoch  47/100 | loss 0.517311 | train 0.018s | val AUPRC 0.463534 | val AUROC 0.806675 | thr 0.70 | best epoch 47
[stage1_unrefined] epoch  48/100 | loss 0.512692 | train 0.019s | val AUPRC 0.464555 | val AUROC 0.807970 | thr 0.72 | best epoch 48
[stage1_unrefined] epoch  49/100 | loss 0.509439 | train 0.018s | val AUPRC 0.465636 | val AUROC 0.808814 | thr 0.73 | best epoch 49
[stage1_unrefined] epoch  50/100 | loss 0.508895 | train 0.018s | val AUPRC 0.468640 | val AUROC 0.809786 | thr 0.66 | best epoch 50
[stage1_unrefined] epoch  51/100 | loss 0.509859 | train 0.018s | val AUPRC 0.468102 | val AUROC 0.809459 | thr 0.77 | best epoch 50
[stage1_unrefined] epoch  52/100 | loss 0.513799 | train 0.018s | val AUPRC 0.471930 | val AUROC 0.810854 | thr 0.62 | best epoch 52
[stage1_unrefined] epoch  53/100 | loss 0.520831 | train 0.018s | val AUPRC 0.472078 | val AUROC 0.811828 | thr 0.79 | best epoch 53
[stage1_unrefined] epoch  54/100 | loss 0.512387 | train 0.018s | val AUPRC 0.475997 | val AUROC 0.813607 | thr 0.69 | best epoch 54
[stage1_unrefined] epoch  55/100 | loss 0.500861 | train 0.018s | val AUPRC 0.478593 | val AUROC 0.814244 | thr 0.66 | best epoch 55
[stage1_unrefined] epoch  56/100 | loss 0.504731 | train 0.019s | val AUPRC 0.475682 | val AUROC 0.813017 | thr 0.77 | best epoch 55
[stage1_unrefined] epoch  57/100 | loss 0.505568 | train 0.018s | val AUPRC 0.478125 | val AUROC 0.813804 | thr 0.71 | best epoch 55
[stage1_unrefined] epoch  58/100 | loss 0.497443 | train 0.019s | val AUPRC 0.480088 | val AUROC 0.815530 | thr 0.71 | best epoch 58
[stage1_unrefined] epoch  59/100 | loss 0.497504 | train 0.018s | val AUPRC 0.479572 | val AUROC 0.816380 | thr 0.79 | best epoch 58
[stage1_unrefined] epoch  60/100 | loss 0.500619 | train 0.018s | val AUPRC 0.482232 | val AUROC 0.817034 | thr 0.72 | best epoch 60
[stage1_unrefined] epoch  61/100 | loss 0.495012 | train 0.018s | val AUPRC 0.483150 | val AUROC 0.817054 | thr 0.72 | best epoch 61
[stage1_unrefined] epoch  62/100 | loss 0.491928 | train 0.018s | val AUPRC 0.481202 | val AUROC 0.816480 | thr 0.77 | best epoch 61
[stage1_unrefined] epoch  63/100 | loss 0.495725 | train 0.018s | val AUPRC 0.484104 | val AUROC 0.817533 | thr 0.66 | best epoch 63
[stage1_unrefined] epoch  64/100 | loss 0.494229 | train 0.018s | val AUPRC 0.485084 | val AUROC 0.819289 | thr 0.74 | best epoch 64
[stage1_unrefined] epoch  65/100 | loss 0.488723 | train 0.018s | val AUPRC 0.485545 | val AUROC 0.819757 | thr 0.74 | best epoch 65
[stage1_unrefined] epoch  66/100 | loss 0.488117 | train 0.018s | val AUPRC 0.486321 | val AUROC 0.819590 | thr 0.68 | best epoch 66
[stage1_unrefined] epoch  67/100 | loss 0.490102 | train 0.018s | val AUPRC 0.483699 | val AUROC 0.818874 | thr 0.76 | best epoch 66
[stage1_unrefined] epoch  68/100 | loss 0.490462 | train 0.018s | val AUPRC 0.486125 | val AUROC 0.819348 | thr 0.70 | best epoch 66
[stage1_unrefined] epoch  69/100 | loss 0.487411 | train 0.019s | val AUPRC 0.488100 | val AUROC 0.821447 | thr 0.76 | best epoch 69
[stage1_unrefined] epoch  70/100 | loss 0.483090 | train 0.018s | val AUPRC 0.489782 | val AUROC 0.821956 | thr 0.70 | best epoch 70
[stage1_unrefined] epoch  71/100 | loss 0.481496 | train 0.018s | val AUPRC 0.490456 | val AUROC 0.822015 | thr 0.72 | best epoch 71
[stage1_unrefined] epoch  72/100 | loss 0.480234 | train 0.018s | val AUPRC 0.488004 | val AUROC 0.820783 | thr 0.74 | best epoch 71
[stage1_unrefined] epoch  73/100 | loss 0.481613 | train 0.018s | val AUPRC 0.489013 | val AUROC 0.821086 | thr 0.67 | best epoch 71
[stage1_unrefined] epoch  74/100 | loss 0.485387 | train 0.018s | val AUPRC 0.489984 | val AUROC 0.822909 | thr 0.82 | best epoch 71
[stage1_unrefined] epoch  75/100 | loss 0.496620 | train 0.018s | val AUPRC 0.491974 | val AUROC 0.822635 | thr 0.54 | best epoch 75
[stage1_unrefined] epoch  76/100 | loss 0.515839 | train 0.018s | val AUPRC 0.492816 | val AUROC 0.823558 | thr 0.82 | best epoch 76
[stage1_unrefined] epoch  77/100 | loss 0.495550 | train 0.018s | val AUPRC 0.494803 | val AUROC 0.823053 | thr 0.72 | best epoch 77
[stage1_unrefined] epoch  78/100 | loss 0.474413 | train 0.018s | val AUPRC 0.495050 | val AUROC 0.822170 | thr 0.62 | best epoch 78
