epoch,train_seconds,validation_seconds,cumulative_seconds,train_loss,validation_auroc,validation_auprc,validation_macro_f1,validation_threshold,is_best_checkpoint,timestamp_utc,notes
0,0.4078128830296919,0.010546558012720197,0.4183594410424121,0.694378137588501,0.6261542979625773,0.21626796313365249,0.5518772857180481,0.47,True,2026-09-13T22:42:28.139291+00:00,stage1_unrefined
1,0.020007366954814643,0.008981638005934656,0.44734844600316137,0.6916162371635437,0.6601969820056904,0.2504252921014826,0.5761753086445485,0.53,True,2026-09-13T22:42:28.945827+00:00,stage1_unrefined
2,0.018579897994641215,0.008984184998553246,0.47491252899635583,0.6832525134086609,0.6806321368910043,0.26870568595578465,0.5900567550324449,0.57,True,2026-09-13T22:42:29.699387+00:00,stage1_unrefined
3,0.018568380968645215,0.009042022982612252,0.5025229329476133,0.6789555549621582,0.7008559024996758,0.28903553295069706,0.6043812634047699,0.54,True,2026-09-13T22:42:30.505022+00:00,stage1_unrefined
4,0.018668664037249982,0.008997423981782049,0.5301890209666453,0.6641114950180054,0.7118995381282561,0.3031715485562083,0.6121333121861156,0.52,True,2026-09-13T22:42:31.266038+00:00,stage1_unrefined
5,0.01857259398093447,0.009009008994325995,0.5577706239419058,0.6512711048126221,0.7173610475449476,0.3090599135182977,0.6166034931119335,0.56,True,2026-09-13T22:42:31.982113+00:00,stage1_unrefined
6,0.018321669020224363,0.008992798975668848,0.585085091937799,0.6321846842765808,0.7202282470231965,0.31029812896298076,0.6202716255845477,0.65,True,2026-09-13T22:42:32.697459+00:00,stage1_unrefined
7,0.01823319203685969,0.00898709800094366,0.6123053819756024,0.6179320216178894,0.7278140422740413,0.31928144940361913,0.625234559360745,0.67,True,2026-09-13T22:42:33.425342+00:00,stage1_unrefined
8,0.018545295984949917,0.009010545036289841,0.6398612229968421,0.6068714261054993,0.7366730836708697,0.3309813557131023,0.629778860007831,0.63,True,2026-09-13T22:42:34.251127+00:00,stage1_unrefined
9,0.018653900013305247,0.009047661966178566,0.6675627849763259,0.6076992154121399,0.7406178249692974,0.33606720370527077,0.6318276764992099,0.74,True,2026-09-13T22:42:35.084322+00:00,stage1_unrefined
10,0.018426947994157672,0.009452002006582916,0.6954417349770665,0.6027491092681885,0.7459461791650457,0.34483259736306016,0.633059021556409,0.72,True,2026-09-13T22:42:35.929844+00:00,stage1_unrefined
