model,dataset,metric,mean,sd
CARE-GNN,YelpChi,AUPRC,0.5103911545917212,0.012689286243322438
CARE-GNN,Amazon,AUPRC,0.7152058998352542,0.23197193676389088
CARE-GNN,T-Finance,AUPRC,0.7119563564438907,0.04025857588142902
CARE-GNN,Elliptic,AUPRC,0.483873233351525,0.026892336595190525
CARE-GNN,FDCompCN,AUPRC,0.13397111244467147,0.01311186252658233
GHRN,YelpChi,AUPRC,0.5247766059515198,0.01232721189288846
GHRN,Amazon,AUPRC,0.875568588573895,0.023505329778304586
GHRN,T-Finance,AUPRC,0.6763618715499412,0.20598214766180412
GHRN,Elliptic,AUPRC,0.49775241689071037,0.05735329104488812
GHRN,FDCompCN,AUPRC,0.12035235350705357,0.003154033675435525
