model,dataset,metric,mean,sd
CARE-GNN,YelpChi,AUROC,0.8373543674172205,0.007710495076529659
CARE-GNN,Amazon,AUROC,0.8950867189679457,0.10159338884276631
CARE-GNN,T-Finance,AUROC,0.8793761570523287,0.04356750943717823
CARE-GNN,Elliptic,AUROC,0.8810931256254853,0.007761601434056967
CARE-GNN,FDCompCN,AUROC,0.5526582159292869,0.024480935562532783
GHRN,YelpChi,AUROC,0.8384492521910186,0.007516265712455306
GHRN,Amazon,AUROC,0.970686400015034,0.010741671149577301
GHRN,T-Finance,AUROC,0.910132064722211,0.06658040928823683
GHRN,Elliptic,AUROC,0.8910735759825047,0.0029895433153329784
GHRN,FDCompCN,AUROC,0.5525420869476517,0.003826103622789477
