model,dataset,metric,mean,sd
CARE-GNN,YelpChi,Fraud recall,0.47310620242106577,0.023638119157862188
CARE-GNN,Amazon,Fraud recall,0.6099290780141844,0.29394365548891693
CARE-GNN,T-Finance,Fraud recall,0.42117429496070274,0.1664605467370509
CARE-GNN,Elliptic,Fraud recall,0.6916019760056458,0.03917202282675486
CARE-GNN,FDCompCN,Fraud recall,0.13901345291479822,0.023728711309996334
GHRN,YelpChi,Fraud recall,0.4875826781480095,0.04328934231760777
GHRN,Amazon,Fraud recall,0.8135764944275583,0.013705926300373527
GHRN,T-Finance,Fraud recall,0.6777623670827554,0.09234851759333418
GHRN,Elliptic,Fraud recall,0.7435897435897436,0.018542127874795176
GHRN,FDCompCN,Fraud recall,0.0866965620328849,0.04068955930886756
