model,dataset,metric,mean,sd
CARE-GNN,YelpChi,Macro-F1,0.7025913482571785,0.004622257092836319
CARE-GNN,Amazon,Macro-F1,0.8335257334054386,0.12545254205291387
CARE-GNN,T-Finance,Macro-F1,0.7785512318101043,0.08658285647156681
CARE-GNN,Elliptic,Macro-F1,0.7491467489871582,0.04328284524830545
CARE-GNN,FDCompCN,Macro-F1,0.5171189935523679,0.007991318740378648
GHRN,YelpChi,Macro-F1,0.7119139220401383,0.007952295762911399
GHRN,Amazon,Macro-F1,0.9229464904448685,0.005449983710438991
GHRN,T-Finance,Macro-F1,0.8418303352877097,0.05375374058950973
GHRN,Elliptic,Macro-F1,0.7284411417114334,0.019130385351600724
GHRN,FDCompCN,Macro-F1,0.5029884481903992,0.005952653125354341
