model,dataset,ratio,status,n_seeds,metric,mean,sd
CARE-GNN,YelpChi,TR40,COMPLETED,3,AUROC,0.837354,0.007710
CARE-GNN,YelpChi,TR40,COMPLETED,3,AUPRC,0.510391,0.012689
CARE-GNN,YelpChi,TR40,COMPLETED,3,Macro-F1,0.702591,0.004622
CARE-GNN,YelpChi,TR40,COMPLETED,3,Fraud F1,0.488803,0.009392
CARE-GNN,YelpChi,TR40,COMPLETED,3,Fraud precision,0.506581,0.016235
CARE-GNN,YelpChi,TR40,COMPLETED,3,Fraud recall,0.473106,0.023638
CARE-GNN,YelpChi,TR40,COMPLETED,3,G-mean,0.660069,0.014051
CARE-GNN,YelpChi,TR40,COMPLETED,3,Accuracy,0.856291,0.004167
CARE-GNN,Amazon,TR40,COMPLETED,3,AUROC,0.895087,0.101593
CARE-GNN,Amazon,TR40,COMPLETED,3,AUPRC,0.715206,0.231972
CARE-GNN,Amazon,TR40,COMPLETED,3,Macro-F1,0.833526,0.125453
CARE-GNN,Amazon,TR40,COMPLETED,3,Fraud F1,0.691133,0.238369
CARE-GNN,Amazon,TR40,COMPLETED,3,Fraud precision,0.889322,0.008477
CARE-GNN,Amazon,TR40,COMPLETED,3,Fraud recall,0.609929,0.293944
CARE-GNN,Amazon,TR40,COMPLETED,3,G-mean,0.758578,0.207239
CARE-GNN,Amazon,TR40,COMPLETED,3,Accuracy,0.955440,0.024056
CARE-GNN,T-Finance,TR40,COMPLETED,3,AUROC,0.879376,0.043568
CARE-GNN,T-Finance,TR40,COMPLETED,3,AUPRC,0.711956,0.040259
CARE-GNN,T-Finance,TR40,COMPLETED,3,Macro-F1,0.778551,0.086583
CARE-GNN,T-Finance,TR40,COMPLETED,3,Fraud F1,0.571214,0.169658
CARE-GNN,T-Finance,TR40,COMPLETED,3,Fraud precision,0.967091,0.026736
CARE-GNN,T-Finance,TR40,COMPLETED,3,Fraud recall,0.421174,0.166461
CARE-GNN,T-Finance,TR40,COMPLETED,3,G-mean,0.638882,0.137291
CARE-GNN,T-Finance,TR40,COMPLETED,3,Accuracy,0.972688,0.006916
CARE-GNN,T-Social,TR40,FAILED,0,AUROC,,
CARE-GNN,T-Social,TR40,FAILED,0,AUPRC,,
CARE-GNN,T-Social,TR40,FAILED,0,Macro-F1,,
CARE-GNN,T-Social,TR40,FAILED,0,Fraud F1,,
CARE-GNN,T-Social,TR40,FAILED,0,Fraud precision,,
CARE-GNN,T-Social,TR40,FAILED,0,Fraud recall,,
CARE-GNN,T-Social,TR40,FAILED,0,G-mean,,
CARE-GNN,T-Social,TR40,FAILED,0,Accuracy,,
CARE-GNN,Elliptic,TR40,COMPLETED,3,AUROC,0.881093,0.007762
CARE-GNN,Elliptic,TR40,COMPLETED,3,AUPRC,0.483873,0.026892
CARE-GNN,Elliptic,TR40,COMPLETED,3,Macro-F1,0.749147,0.043283
CARE-GNN,Elliptic,TR40,COMPLETED,3,Fraud F1,0.548230,0.069025
CARE-GNN,Elliptic,TR40,COMPLETED,3,Fraud precision,0.465392,0.114670
CARE-GNN,Elliptic,TR40,COMPLETED,3,Fraud recall,0.691602,0.039172
CARE-GNN,Elliptic,TR40,COMPLETED,3,G-mean,0.800652,0.007734
CARE-GNN,Elliptic,TR40,COMPLETED,3,Accuracy,0.910282,0.029871
CARE-GNN,FDCompCN,TR40,COMPLETED,3,AUROC,0.552658,0.024481
CARE-GNN,FDCompCN,TR40,COMPLETED,3,AUPRC,0.133971,0.013112
CARE-GNN,FDCompCN,TR40,COMPLETED,3,Macro-F1,0.517119,0.007991
CARE-GNN,FDCompCN,TR40,COMPLETED,3,Fraud F1,0.136835,0.014730
CARE-GNN,FDCompCN,TR40,COMPLETED,3,Fraud precision,0.136323,0.016734
CARE-GNN,FDCompCN,TR40,COMPLETED,3,Fraud recall,0.139013,0.023729
CARE-GNN,FDCompCN,TR40,COMPLETED,3,G-mean,0.351930,0.026601
