model,dataset,seed,auprc,best_epoch,epochs
CARE-GNN,Amazon,2,0.858913,40,61
CARE-GNN,Amazon,42,0.839113,34,55
CARE-GNN,Amazon,72,0.447592,2,23
CARE-GNN,Elliptic,2,0.500178,95,100
CARE-GNN,Elliptic,42,0.452834,38,59
CARE-GNN,Elliptic,72,0.498608,88,100
CARE-GNN,FDCompCN,2,0.123791,14,35
CARE-GNN,FDCompCN,42,0.129355,9,30
CARE-GNN,FDCompCN,72,0.148767,12,33
CARE-GNN,T-Finance,2,0.735912,36,57
CARE-GNN,T-Finance,42,0.665477,1,22
CARE-GNN,T-Finance,72,0.734480,1,22
CARE-GNN,YelpChi,2,0.510702,97,100
CARE-GNN,YelpChi,42,0.497549,99,100
CARE-GNN,YelpChi,72,0.522922,99,100
GHRN,Amazon,2,0.897270,94,179
GHRN,Amazon,42,0.850601,54,175
GHRN,Amazon,72,0.878835,59,180
GHRN,Elliptic,2,0.439010,64,163
GHRN,Elliptic,42,0.500640,99,142
GHRN,Elliptic,72,0.553607,85,178
GHRN,FDCompCN,2,0.122553,25,146
GHRN,FDCompCN,42,0.116739,31,105
GHRN,FDCompCN,72,0.121766,26,91
GHRN,T-Finance,2,0.444819,9,130
GHRN,T-Finance,42,0.839245,99,200
GHRN,T-Finance,72,0.745021,39,160
GHRN,YelpChi,2,0.512613,99,200
GHRN,YelpChi,42,0.524455,99,200
GHRN,YelpChi,72,0.537261,99,200
