ratio,seed,threshold,best_epoch,auprc,auroc,macro_f1,precision,recall,fraud_f1,gmean,training_wall_seconds,peak_gpu_memory_mb
TR40,2,0.23696984350681305,12,0.3299864829634362,0.7556114405825388,0.6477220100385681,0.39378238341968913,0.3392857142857143,0.3645083932853717,0.5642922947013541,10.28657352598384,352.81591796875
TR40,42,0.28435319662094116,28,0.3151142260920853,0.7301582088431798,0.6052242692405584,0.43564356435643564,0.19642857142857142,0.27076923076923076,0.4365146092959767,14.320277926977724,352.81591796875
TR40,72,0.27168068289756775,36,0.3407484598640508,0.7544173673147662,0.6416759503301361,0.4230769230769231,0.29464285714285715,0.3473684210526316,0.5298189242425653,16.037966680014506,352.81591796875
TR30,2,0.15439166128635406,17,0.336068598325811,0.7747471098265896,0.6471087688478993,0.3617021276595745,0.3794642857142857,0.37037037037037035,0.5912307553067322,8.49129879497923,352.81591796875
TR30,42,0.2752648890018463,25,0.3020309625104374,0.7305159616395166,0.6178154455575917,0.375,0.2544642857142857,0.30319148936170215,0.49169210797445795,10.647737496066839,352.81591796875
TR30,72,0.19944295287132263,67,0.3374229495665778,0.7516093011035208,0.6304780422208021,0.3076923076923077,0.4107142857142857,0.35181644359464626,0.6050112277402502,20.25160134700127,352.81591796875
TR20,2,0.22578692436218262,32,0.35017728994389175,0.7626773515501839,0.663837141720963,0.43478260869565216,0.35714285714285715,0.39215686274509803,0.5810549052737805,7.875135801034048,352.81591796875
TR20,42,0.14847300946712494,24,0.2658004596049687,0.7121743863073342,0.6087128644222559,0.2891566265060241,0.32142857142857145,0.3044397463002114,0.5399371882494395,6.6982805649749935,352.81591796875
TR20,72,0.15053194761276245,43,0.32396360053097195,0.7372663463703926,0.6405733129871061,0.3901098901098901,0.3169642857142857,0.3497536945812808,0.5463296535825278,9.856098223943263,352.81591796875
TR10,2,0.39859697222709656,49,0.33020451589948424,0.7475015952255837,0.6444033754890365,0.3541666666666667,0.3794642857142857,0.36637931034482757,0.5903869832836581,6.140844681998715,352.81591796875
TR10,42,0.3586750030517578,33,0.25252742736850264,0.692252833871331,0.6042150398446665,0.3076923076923077,0.26785714285714285,0.2863961813842482,0.4988538774548343,4.77848018379882,352.81591796875
TR10,72,0.6276546120643616,80,0.28798784585733395,0.7041888747091058,0.6035039519117158,0.3656716417910448,0.21875,0.2737430167597765,0.4571424759307021,8.577948418911546,352.81591796875
