ratio,seed,hidden_dimension,order,best_validation_epoch,best_validation_auroc,auroc,auprc,macro_f1,fraud_f1,fraud_precision,fraud_recall,gmean,accuracy,threshold,epochs_completed,mean_epoch_seconds,fit_wall_seconds,inference_seconds,peak_gpu_memory_mb,summary_path
TR40,2,32,2,99,0.9638812147054159,0.9598424348500124,0.8484653045701139,0.8899393891749343,0.7891972993248312,0.8594771241830066,0.7295423023578363,0.8516842119155041,0.982151930894309,0.9,100,0.28072604832000136,33.21162851500003,0.12775980600002868,64.34619140625,results/final/tr40/seed2/20260909T152135980997Z_tfinance_BWGNN_final_tfinance_tr40_seed2_seed2/summary.json
TR40,42,32,2,79,0.9675922408164921,0.9618383111683675,0.8570584923398749,0.897228995933337,0.8030418250950571,0.8888888888888888,0.7323162274618585,0.8538729233266364,0.9835492886178862,0.95,100,0.27175922377999995,32.33686830800002,0.12151102799998625,64.34619140625,results/final/tr40/seed42/20260909T152214382873Z_tfinance_BWGNN_final_tfinance_tr40_seed42_seed42/summary.json
TR40,72,32,2,29,0.960692115037752,0.9501158325611316,0.6989275581552824,0.8406460398610467,0.6964643095396932,0.6709511568123393,0.723994452149792,0.8435977698468347,0.9711001016260162,0.7,50,0.2765728254199894,16.448369806000073,0.12604017099999965,64.34619140625,results/final/tr40/seed72/20260909T152251807245Z_tfinance_BWGNN_final_tfinance_tr40_seed72_seed72/summary.json
TR30,2,32,2,94,0.967924208165659,0.9590129162099389,0.837962487901407,0.8862020004792278,0.7820895522388059,0.8465266558966075,0.7267683772538142,0.8498073651055993,0.9814532520325203,0.9,100,0.2784834204399965,32.97336329699999,0.12563754899997548,64.31640625,results/final/tr30/seed2/20260909T152313427301Z_tfinance_BWGNN_final_tfinance_tr30_seed2_seed2/summary.json
TR30,42,32,2,94,0.9661981623762961,0.9599043371592129,0.8578874781341761,0.9000682321931448,0.8089401586157173,0.8423423423423423,0.7780859916782247,0.8790038272993052,0.9831681910569106,0.9,100,0.27158132532000195,32.29847785599998,0.12499734400000762,64.31640625,results/final/tr30/seed42/20260909T152351529297Z_tfinance_BWGNN_final_tfinance_tr30_seed42_seed42/summary.json
TR30,72,32,2,94,0.9701122418492794,0.9575702369635168,0.8279935363169774,0.877855225808617,0.7663003663003664,0.812111801242236,0.7253814147018031,0.8482564252919491,0.9797383130081301,0.9,100,0.27729956135000067,32.94986624899991,0.12580767800000103,64.31640625,results/final/tr30/seed72/20260909T152428995691Z_tfinance_BWGNN_final_tfinance_tr30_seed72_seed72/summary.json
TR20,2,32,2,99,0.9603383853845842,0.9532495850329542,0.7873135570485653,0.8599311440677966,0.73125,0.8372093023255814,0.6490984743411928,0.8032226584687423,0.978150406504065,0.95,100,0.2722969278500091,32.30251060299997,0.12409242499995798,64.2861328125,results/final/tr20/seed2/20260909T152507097113Z_tfinance_BWGNN_final_tfinance_tr20_seed2_seed2/summary.json
TR20,42,32,2,99,0.9668523224804602,0.9563553175930055,0.8580540238172286,0.9018633308714037,0.8117738187451587,0.9192982456140351,0.7267683772538142,0.851200935790889,0.9845655487804879,0.95,100,0.27481661087999326,32.61368560999995,0.12580283699992378,64.2861328125,results/final/tr20/seed42/20260909T152544707812Z_tfinance_BWGNN_final_tfinance_tr20_seed42_seed42/summary.json
TR20,72,32,2,64,0.9658536540383829,0.9589558608377003,0.8429063283173771,0.8889154053258748,0.786833855799373,0.9045045045045045,0.6962552011095701,0.8329458960699799,0.9827235772357723,0.9,85,0.2745950338235282,27.77282998999999,0.12667396400001962,64.2861328125,results/final/tr20/seed72/20260909T152622540852Z_tfinance_BWGNN_final_tfinance_tr20_seed72_seed72/summary.json
TR10,2,32,2,84,0.9663486542412517,0.952913761543442,0.8127433810636165,0.870882453454213,0.7526395173453997,0.824793388429752,0.6920943134535368,0.8289819065478081,0.9791666666666666,0.9,100,0.2726838001400006,32.34257086599996,0.125821215999963,64.25634765625,results/final/tr10/seed2/20260909T152655528131Z_tfinance_BWGNN_final_tfinance_tr10_seed2_seed2/summary.json
TR10,42,32,2,99,0.9700041680344951,0.9597252774594442,0.8481708039709779,0.8910154173312068,0.7916666666666666,0.8211624441132638,0.7642163661581137,0.8706962703860741,0.9815802845528455,0.85,100,0.27145173133999717,32.344695165000076,0.12497265100000732,64.25634765625,results/final/tr10/seed42/20260909T152732977273Z_tfinance_BWGNN_final_tfinance_tr10_seed42_seed42/summary.json
TR10,72,32,2,94,0.9727347839076984,0.9521403288882153,0.8238426020412852,0.8791413028448798,0.7691218130311614,0.7858176555716353,0.753120665742025,0.8635399536838902,0.9792936991869918,0.85,100,0.2733503422200044,32.466948183,0.12387092099993424,64.25634765625,results/final/tr10/seed72/20260909T152810471104Z_tfinance_BWGNN_final_tfinance_tr10_seed72_seed72/summary.json
