timestamp, index, name, memory.used [MiB], utilization.gpu [%]
2026/09/16 04:29:35.629, 0, NVIDIA RTX A6000, 1 MiB, 0 %
2026/09/16 04:29:36.639, 0, NVIDIA RTX A6000, 1 MiB, 0 %
2026/09/16 04:29:37.639, 0, NVIDIA RTX A6000, 1 MiB, 0 %
2026/09/16 04:29:38.639, 0, NVIDIA RTX A6000, 5 MiB, 0 %
2026/09/16 04:29:39.641, 0, NVIDIA RTX A6000, 5 MiB, 0 %
2026/09/16 04:29:40.641, 0, NVIDIA RTX A6000, 5 MiB, 0 %
2026/09/16 04:29:41.641, 0, NVIDIA RTX A6000, 5 MiB, 0 %
2026/09/16 04:29:42.641, 0, NVIDIA RTX A6000, 5 MiB, 0 %
2026/09/16 04:29:43.641, 0, NVIDIA RTX A6000, 5 MiB, 0 %
2026/09/16 04:29:44.642, 0, NVIDIA RTX A6000, 322 MiB, 0 %
2026/09/16 04:29:45.642, 0, NVIDIA RTX A6000, 386 MiB, 0 %
2026/09/16 04:29:46.642, 0, NVIDIA RTX A6000, 410 MiB, 0 %
2026/09/16 04:29:47.642, 0, NVIDIA RTX A6000, 410 MiB, 8 %
2026/09/16 04:29:48.643, 0, NVIDIA RTX A6000, 410 MiB, 8 %
2026/09/16 04:29:49.643, 0, NVIDIA RTX A6000, 410 MiB, 8 %
2026/09/16 04:29:50.643, 0, NVIDIA RTX A6000, 410 MiB, 8 %
2026/09/16 04:29:51.643, 0, NVIDIA RTX A6000, 430 MiB, 8 %
2026/09/16 04:29:52.643, 0, NVIDIA RTX A6000, 430 MiB, 8 %
2026/09/16 04:29:53.644, 0, NVIDIA RTX A6000, 430 MiB, 5 %
2026/09/16 04:29:54.644, 0, NVIDIA RTX A6000, 430 MiB, 5 %
2026/09/16 04:29:55.644, 0, NVIDIA RTX A6000, 430 MiB, 6 %
2026/09/16 04:29:56.644, 0, NVIDIA RTX A6000, 430 MiB, 5 %
2026/09/16 04:29:57.644, 0, NVIDIA RTX A6000, 430 MiB, 5 %
2026/09/16 04:29:58.645, 0, NVIDIA RTX A6000, 430 MiB, 6 %
2026/09/16 04:29:59.645, 0, NVIDIA RTX A6000, 430 MiB, 0 %
2026/09/16 04:30:00.645, 0, NVIDIA RTX A6000, 430 MiB, 8 %
2026/09/16 04:30:01.645, 0, NVIDIA RTX A6000, 430 MiB, 8 %
2026/09/16 04:30:02.645, 0, NVIDIA RTX A6000, 430 MiB, 8 %
2026/09/16 04:30:03.646, 0, NVIDIA RTX A6000, 430 MiB, 8 %
2026/09/16 04:30:04.646, 0, NVIDIA RTX A6000, 430 MiB, 8 %
2026/09/16 04:30:05.646, 0, NVIDIA RTX A6000, 430 MiB, 8 %
2026/09/16 04:30:06.646, 0, NVIDIA RTX A6000, 430 MiB, 5 %
2026/09/16 04:30:07.647, 0, NVIDIA RTX A6000, 430 MiB, 5 %
2026/09/16 04:30:08.647, 0, NVIDIA RTX A6000, 430 MiB, 5 %
2026/09/16 04:30:09.647, 0, NVIDIA RTX A6000, 430 MiB, 5 %
2026/09/16 04:30:10.647, 0, NVIDIA RTX A6000, 430 MiB, 5 %
2026/09/16 04:30:11.647, 0, NVIDIA RTX A6000, 430 MiB, 5 %
2026/09/16 04:30:12.648, 0, NVIDIA RTX A6000, 886 MiB, 5 %
2026/09/16 04:30:13.649, 0, NVIDIA RTX A6000, 886 MiB, 0 %
2026/09/16 04:30:14.649, 0, NVIDIA RTX A6000, 886 MiB, 0 %
2026/09/16 04:30:15.649, 0, NVIDIA RTX A6000, 886 MiB, 0 %
