ratio,seed,threshold,best_epoch,auprc,auroc,macro_f1,precision,recall,fraud_f1,gmean,training_wall_seconds,peak_gpu_memory_mb
TR40,2,0.39204391837120056,15,0.9093016051549839,0.9719040452872559,0.9160456273764259,0.9338235294117647,0.774390243902439,0.8466666666666667,0.8774588503508359,86.83507333486341,3409.17724609375
TR40,42,0.40807414054870605,31,0.9011103199597725,0.97054729898322,0.9129046268344603,0.9465648854961832,0.7560975609756098,0.8406779661016949,0.8675906250116306,125.23112674779259,3409.35986328125
TR40,72,0.29486748576164246,25,0.9166650826413267,0.9744606153702201,0.9253658130258129,0.9206896551724137,0.8140243902439024,0.8640776699029126,0.8989098490873413,111.07610344793648,3409.47119140625
TR30,2,0.5052831172943115,30,0.9133600717708195,0.9712680704572391,0.9191489059694395,0.9345454545454546,0.7835365853658537,0.8524046434494196,0.8826254829329934,101.93147096596658,3408.94873046875
TR30,42,0.21371325850486755,39,0.882536013897776,0.9608541653671012,0.9147577198805356,0.950381679389313,0.7591463414634146,0.8440677966101695,0.8694776141466148,119.770869694883,3408.20263671875
TR30,72,0.28429529070854187,43,0.9027530292556567,0.964251879171605,0.918165600892882,0.947565543071161,0.7713414634146342,0.8504201680672269,0.876292855078864,127.42257701000199,3408.90771484375
TR20,2,0.2746250033378601,30,0.9077261114783032,0.9697397815170608,0.9215209125475285,0.9448529411764706,0.7835365853658537,0.8566666666666667,0.8830510839299683,77.12477378803305,3407.6787109375
TR20,42,0.3559439480304718,45,0.8795773064793031,0.9522399959453558,0.9115701867201755,0.9498069498069498,0.75,0.838160136286201,0.8642239248755879,100.12244084011763,3407.3603515625
TR20,72,0.33249035477638245,30,0.8878150747141507,0.9540909020023705,0.9176221445574574,0.9407407407407408,0.774390243902439,0.8494983277591973,0.8777409461145459,75.32420550682582,3406.65283203125
TR10,2,0.4364668130874634,36,0.8954918259584453,0.9677957940864576,0.9203415855905039,0.9192982456140351,0.7987804878048781,0.8548123980424144,0.8904533125690175,56.924909931840375,3409.87939453125
TR10,42,0.12759681046009064,93,0.8948556670283141,0.9590247021396044,0.9193906285420764,0.9314079422382672,0.7865853658536586,0.8528925619834711,0.884198797537897,99.87560438294895,3409.4580078125
TR10,72,0.20801801979541779,54,0.8660148886150097,0.9511834492545694,0.9240319191898538,0.9115646258503401,0.8170731707317073,0.8617363344051447,0.9001564540783872,73.35287971398793,3409.7763671875
