ratio,seed,train_nodes,val_nodes,test_nodes,best_epoch,best_val_auprc,best_val_auroc,threshold,auprc,auroc,macro_f1,fraud_precision,fraud_recall,fraud_f1,gmean,total_train_seconds,test_inference_seconds,peak_gpu_memory_mb
TR40,2,18381,9191,18382,63,0.8946825851533209,0.9691796913735629,0.6,0.891570197153352,0.9696663320233321,0.8941551370274095,0.8348909657320872,0.8026956196181205,0.8184768085512503,0.8837606592721277,4216.239792060573,11.264349662931636,12947.994140625
TR40,42,18381,9191,18382,85,0.9117124124579453,0.9728724722915093,0.73,0.9072013044583731,0.9719378460831776,0.9050830743199607,0.8739804241435563,0.8023212280044927,0.8366191684559828,0.8868716793914009,5067.631185456179,11.218751036096364,12984.3671875
TR40,72,18381,9191,18382,97,0.8985508905909554,0.9702023120284979,0.6900000000000001,0.8971074328347272,0.9730037219211354,0.8958405042408198,0.8591318591318591,0.7854736053912392,0.8206532368472521,0.8765131362897082,5072.032236161642,11.303410648135468,12961.5126953125
TR30,2,13785,9191,18382,99,0.865144621076012,0.9611930002212102,0.59,0.8689514377089194,0.9618726548545172,0.8785234805651915,0.8026923076923077,0.7813552976413328,0.791880098653007,0.8693918933628183,4136.673273924738,11.279425475979224,12966.67431640625
TR30,42,13785,9191,18382,98,0.8772798503577908,0.9628216130041114,0.68,0.8753931237738551,0.9633304968599218,0.8823443869210001,0.8237639553429027,0.7734930737551479,0.7978374203514192,0.8670249553106274,4143.7308729190845,11.333868651185185,12980.3037109375
TR30,72,13785,9191,18382,96,0.8746325679659772,0.9627809942256497,0.59,0.8663721161636664,0.9633276253565519,0.8739965182408151,0.8065794688862465,0.7618869337326843,0.7835964574509049,0.8591984248015004,4136.733083648374,11.43679973995313,12970.83154296875
TR20,2,9190,9191,18382,88,0.8204763120796491,0.9454174199257037,0.5,0.8221037738700454,0.9456768992510524,0.8476819597076476,0.7273383893102203,0.7540247098464994,0.7404411764705883,0.8472246889147711,3210.532410568092,11.516309510916471,12975.11865234375
TR20,42,9190,9191,18382,90,0.8330230583301245,0.9478673234322678,0.59,0.8381234981689576,0.9490700749529103,0.8571910679326296,0.7858012170385396,0.7251965555971546,0.7542834890965732,0.8371528268053245,3205.8611787515692,11.277115027885884,12972.52197265625
TR20,72,9190,9191,18382,80,0.8258556064982128,0.9438532155579455,0.41000000000000003,0.8252694051225403,0.9444817819315524,0.8565626479172685,0.7835760517799353,0.7251965555971546,0.7532568539762784,0.8369598232692023,3208.468965587206,11.833541187923402,12969.17724609375
TR10,2,4595,9191,18382,93,0.711943369093962,0.9046921363570485,0.7100000000000001,0.7027716826133883,0.909432569248925,0.8006073694576368,0.6635017090770984,0.6540621490078622,0.6587481146304676,0.7856062776864081,2274.2856992678717,11.483445796882734,12960.833984375
TR10,42,4595,9191,18382,91,0.7345121287471981,0.9069700298252439,0.63,0.7330263042614317,0.9093483067102078,0.8061245776825523,0.6817649355720422,0.6536877573942343,0.6674311926605505,0.7872598319718699,2286.77513801679,11.44882914610207,12960.7265625
TR10,72,4595,9191,18382,69,0.7168468008100816,0.8989117313897343,0.72,0.7002672066841161,0.8951927244635716,0.7861402598534191,0.6625565145910398,0.6035192811681018,0.6316614420062696,0.7562946170264442,2035.9207332127262,12.1102514709346,12970.66650390625
