trial,d_hidden,n_bins,lr,best_val_auprc,training_wall_seconds,peak_gpu_memory_mb,status
1,64,32,0.001,0.892277717590332,2554.7406758300494,13229.4501953125,PASS
2,64,32,0.002,0.9057119488716125,2578.358930217102,13229.4501953125,PASS
3,40,32,0.001,0.9008131623268127,2603.126851437846,13192.16845703125,PASS
4,40,32,0.002,0.8972358703613281,2531.095981211867,13192.16845703125,PASS
5,128,32,0.001,0.8875011801719666,2068.271798728965,13335.3046875,PASS
6,128,32,0.002,0.9052779078483582,2690.3109387878794,13335.3046875,PASS
7,64,16,0.001,0.8816262483596802,1777.8825790798292,7080.53125,PASS
8,64,16,0.002,0.9019609093666077,1780.0071382618044,7080.53076171875,PASS
9,40,16,0.001,0.8899226784706116,1811.5150200899225,7044.52587890625,PASS
10,40,16,0.002,0.8972650766372681,1808.08196844114,7044.52587890625,PASS
11,128,16,0.001,0.893320620059967,1657.1310068231542,7185.64599609375,PASS
12,128,16,0.002,0.8809417486190796,1891.5954843719956,7185.64599609375,PASS
