TRIAL_CONFIG | trial=11/12 | hidden=128 | bins=16 | lr=0.001
===== GAAP × YELPCHI — UNIFIED 2-EPOCH SMOKE =====
RATIO=TR40 | TRAIN_SEED=2 | SPLIT_SEED=2
AUTHOR_ARCHITECTURE_CHANGED=NO
TEST_USED_FOR_SELECTION=NO
MAX_EPOCHS=100 | PATIENCE=20
CANONICAL_NODES=45954
CANONICAL_FEATURES=32
RELATION_EDGE_ENTRIES=8051348
HOMOGENEOUS_WITH_SELF_LOOPS=8097302
SHARED_YELP_VIEW_GATE=PASS
EXACT_FROZEN_SPLIT_GATE=PASS
The shape of bin-encoded feature is torch.Size([45954, 32])
Processing dataset done!

GAAP_NATIVE_NORM_TYPE=norm01
GAAP_NATIVE_PREPROCESS=None
GAAP_AUTHOR_DATALOADER_GATE=PASS
TEST_LABELS_HIDDEN_DURING_FIT=PASS
GPU available: True (cuda), used: True
TPU available: False, using: 0 TPU cores
HPU available: False, using: 0 HPUs
LOCAL_RANK: 0 - CUDA_VISIBLE_DEVICES: [0]
trial=11/12 | TR40 seed=2 | epoch=001 | loss=0.380592 | valAUPRC=0.491072 | valAUROC=0.821753 | best=0.491072@1 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=002 | loss=0.376672 | valAUPRC=0.462586 | valAUROC=0.817837 | best=0.491072@1 | patience=1/20
trial=11/12 | TR40 seed=2 | epoch=003 | loss=0.418369 | valAUPRC=0.444853 | valAUROC=0.794421 | best=0.491072@1 | patience=2/20
trial=11/12 | TR40 seed=2 | epoch=004 | loss=1.204514 | valAUPRC=0.472053 | valAUROC=0.813618 | best=0.491072@1 | patience=3/20
trial=11/12 | TR40 seed=2 | epoch=005 | loss=0.428651 | valAUPRC=0.460402 | valAUROC=0.825896 | best=0.491072@1 | patience=4/20
trial=11/12 | TR40 seed=2 | epoch=006 | loss=0.471420 | valAUPRC=0.249097 | valAUROC=0.648704 | best=0.491072@1 | patience=5/20
trial=11/12 | TR40 seed=2 | epoch=007 | loss=1.793661 | valAUPRC=0.515853 | valAUROC=0.819053 | best=0.515853@7 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=008 | loss=0.388360 | valAUPRC=0.504512 | valAUROC=0.832075 | best=0.515853@7 | patience=1/20
trial=11/12 | TR40 seed=2 | epoch=009 | loss=0.328340 | valAUPRC=0.542231 | valAUROC=0.842264 | best=0.542231@9 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=010 | loss=0.392782 | valAUPRC=0.523602 | valAUROC=0.846497 | best=0.542231@9 | patience=1/20
trial=11/12 | TR40 seed=2 | epoch=011 | loss=0.342244 | valAUPRC=0.451033 | valAUROC=0.769119 | best=0.542231@9 | patience=2/20
trial=11/12 | TR40 seed=2 | epoch=012 | loss=0.360411 | valAUPRC=0.555904 | valAUROC=0.839979 | best=0.555904@12 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=013 | loss=4.263332 | valAUPRC=0.556518 | valAUROC=0.859724 | best=0.556518@13 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=014 | loss=7.396943 | valAUPRC=0.605660 | valAUROC=0.868110 | best=0.605660@14 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=015 | loss=0.552895 | valAUPRC=0.667907 | valAUROC=0.888319 | best=0.667907@15 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=016 | loss=0.610309 | valAUPRC=0.695978 | valAUROC=0.908568 | best=0.695978@16 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=017 | loss=0.242532 | valAUPRC=0.698528 | valAUROC=0.913208 | best=0.698528@17 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=018 | loss=0.228688 | valAUPRC=0.730955 | valAUROC=0.919247 | best=0.730955@18 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=019 | loss=0.219027 | valAUPRC=0.734067 | valAUROC=0.924731 | best=0.734067@19 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=020 | loss=0.206777 | valAUPRC=0.770916 | valAUROC=0.932478 | best=0.770916@20 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=021 | loss=0.196194 | valAUPRC=0.767730 | valAUROC=0.935493 | best=0.770916@20 | patience=1/20
trial=11/12 | TR40 seed=2 | epoch=022 | loss=0.189367 | valAUPRC=0.776713 | valAUROC=0.934147 | best=0.776713@22 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=023 | loss=0.179666 | valAUPRC=0.794793 | valAUROC=0.939461 | best=0.794793@23 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=024 | loss=0.168363 | valAUPRC=0.801312 | valAUROC=0.941454 | best=0.801312@24 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=025 | loss=0.171729 | valAUPRC=0.816118 | valAUROC=0.948029 | best=0.816118@25 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=026 | loss=0.161263 | valAUPRC=0.814865 | valAUROC=0.944650 | best=0.816118@25 | patience=1/20
trial=11/12 | TR40 seed=2 | epoch=027 | loss=0.149888 | valAUPRC=0.827970 | valAUROC=0.946581 | best=0.827970@27 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=028 | loss=0.145805 | valAUPRC=0.816776 | valAUROC=0.943602 | best=0.827970@27 | patience=1/20
trial=11/12 | TR40 seed=2 | epoch=029 | loss=0.143870 | valAUPRC=0.845413 | valAUROC=0.955128 | best=0.845413@29 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=030 | loss=0.137505 | valAUPRC=0.842014 | valAUROC=0.953983 | best=0.845413@29 | patience=1/20
trial=11/12 | TR40 seed=2 | epoch=031 | loss=0.132659 | valAUPRC=0.846232 | valAUROC=0.953005 | best=0.846232@31 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=032 | loss=0.131485 | valAUPRC=0.834659 | valAUROC=0.949473 | best=0.846232@31 | patience=1/20
trial=11/12 | TR40 seed=2 | epoch=033 | loss=0.128779 | valAUPRC=0.839341 | valAUROC=0.955252 | best=0.846232@31 | patience=2/20
trial=11/12 | TR40 seed=2 | epoch=034 | loss=0.123795 | valAUPRC=0.850606 | valAUROC=0.956486 | best=0.850606@34 | patience=0/20
trial=11/12 | TR40 seed=2 | epoch=035 | loss=0.120347 | valAUPRC=0.839479 | valAUROC=0.952609 | best=0.850606@34 | patience=1/20
trial=11/12 | TR40 seed=2 | epoch=036 | loss=0.121734 | valAUPRC=0.849415 | valAUROC=0.952943 | best=0.850606@34 | patience=2/20
