epoch,train_start_utc,train_end_utc,train_seconds,validation_seconds,mean_batch_loss,validation_macro_f1,validation_fraud_f1,validation_auroc,validation_auprc,validation_gmean,validation_fraud_precision,validation_fraud_recall,is_best_checkpoint
0,2026-09-09T11:25:24.696436+00:00,2026-09-09T11:25:27.039116+00:00,2.34266084400042,3.065627603999019,1.9095892111460369,0.5597547857905362,0.33530106257378983,0.8850703324808183,0.737611904651728,0.7525609697721359,0.20790629575402636,0.8658536585365854,True
1,2026-09-09T11:25:30.109682+00:00,2026-09-09T11:25:32.010308+00:00,1.9006077039994125,0.0,1.7651861508687336,,,,,,,,False
2,2026-09-09T11:25:32.010871+00:00,2026-09-09T11:25:33.898897+00:00,1.8880041930005973,0.0,1.6982974608739216,,,,,,,,False
3,2026-09-09T11:25:33.899464+00:00,2026-09-09T11:25:36.464349+00:00,2.5648629480001546,0.0,1.619196613629659,,,,,,,,False
4,2026-09-09T11:25:36.464881+00:00,2026-09-09T11:25:38.356076+00:00,1.8911746279991348,0.0,1.6027092933654785,,,,,,,,False
5,2026-09-09T11:25:38.356630+00:00,2026-09-09T11:25:40.214816+00:00,1.8581636760009133,3.1593900850002683,1.5735578536987305,0.8316148759155231,0.6991869918699187,0.9182950221445948,0.8091000939228388,0.865079503608827,0.6292682926829268,0.7865853658536586,True
6,2026-09-09T11:25:43.378579+00:00,2026-09-09T11:25:45.212481+00:00,1.8338783319995855,0.0,1.5050582091013591,,,,,,,,False
7,2026-09-09T11:25:45.213100+00:00,2026-09-09T11:25:47.139624+00:00,1.9265018070000224,0.0,1.3991103967030842,,,,,,,,False
8,2026-09-09T11:25:47.140272+00:00,2026-09-09T11:25:49.014254+00:00,1.873963031999665,0.0,1.4358182350794475,,,,,,,,False
9,2026-09-09T11:25:49.014841+00:00,2026-09-09T11:25:50.919362+00:00,1.904504181999073,0.0,1.4327484766642253,,,,,,,,False
10,2026-09-09T11:25:50.920009+00:00,2026-09-09T11:25:52.799215+00:00,1.8791865759994835,3.134790850999707,1.4285659790039062,0.8358662613981763,0.7074468085106383,0.9380458174786352,0.8375360059088497,0.8775032808967326,0.6273584905660378,0.8109756097560976,True
11,2026-09-09T11:25:55.938208+00:00,2026-09-09T11:25:57.793112+00:00,1.8548847080000996,0.0,1.36695663134257,,,,,,,,False
12,2026-09-09T11:25:57.793752+00:00,2026-09-09T11:25:59.680524+00:00,1.8867445060004684,0.0,1.361938238143921,,,,,,,,False
13,2026-09-09T11:25:59.681195+00:00,2026-09-09T11:26:01.612860+00:00,1.9316459519995988,0.0,1.34072744846344,,,,,,,,False
14,2026-09-09T11:26:01.613691+00:00,2026-09-09T11:26:03.446605+00:00,1.8328932499989605,0.0,1.413326899210612,,,,,,,,False
15,2026-09-09T11:26:03.447372+00:00,2026-09-09T11:26:05.331880+00:00,1.8844866409999668,3.171207557999878,1.3237263361612956,0.8392318033416555,0.7139107611548556,0.9434221196431913,0.8405368813233548,0.8867470070470455,0.6267281105990783,0.8292682926829268,True
16,2026-09-09T11:26:08.507382+00:00,2026-09-09T11:26:10.304607+00:00,1.797206979999828,0.0,1.2606070041656494,,,,,,,,False
17,2026-09-09T11:26:10.305448+00:00,2026-09-09T11:26:12.197173+00:00,1.8917015259994514,0.0,1.2574418783187866,,,,,,,,False
18,2026-09-09T11:26:12.197993+00:00,2026-09-09T11:26:14.117234+00:00,1.9192183619998104,0.0,1.3216538031895955,,,,,,,,False
19,2026-09-09T11:26:14.117971+00:00,2026-09-09T11:26:16.058329+00:00,1.9403367149989208,0.0,1.3151685396830242,,,,,,,,False
20,2026-09-09T11:26:16.059118+00:00,2026-09-09T11:26:17.969395+00:00,1.9102554979999695,3.199965584999518,1.2454500198364258,0.7889776356630673,0.6320541760722348,0.940646247894704,0.8352216748599965,0.8819239803152428,0.5017921146953405,0.8536585365853658,False
21,2026-09-09T11:26:21.170048+00:00,2026-09-09T11:26:23.039272+00:00,1.8691962339999009,0.0,1.3102426528930664,,,,,,,,False
22,2026-09-09T11:26:23.040125+00:00,2026-09-09T11:26:25.662280+00:00,2.622130300000208,0.0,1.1825817823410034,,,,,,,,False
23,2026-09-09T11:26:25.663025+00:00,2026-09-09T11:26:27.582977+00:00,1.9199287609990279,0.0,1.1549437443415325,,,,,,,,False
24,2026-09-09T11:26:27.583750+00:00,2026-09-09T11:26:29.456003+00:00,1.8722316210005374,0.0,1.2720555464426677,,,,,,,,False
25,2026-09-09T11:26:29.456935+00:00,2026-09-09T11:26:31.327340+00:00,1.8703851860009308,3.1323821040004987,1.191620906194051,0.829928996480839,0.6987341772151898,0.9403733391553863,0.8296758741216562,0.8896221369932334,0.5974025974025974,0.8414634146341463,False
26,2026-09-09T11:26:34.460487+00:00,2026-09-09T11:26:36.382559+00:00,1.9220507019999786,0.0,1.2302783330281575,,,,,,,,False
27,2026-09-09T11:26:36.383550+00:00,2026-09-09T11:26:38.220981+00:00,1.8374092140002176,0.0,1.2304550011952717,,,,,,,,False
28,2026-09-09T11:26:38.221978+00:00,2026-09-09T11:26:40.084454+00:00,1.862454226000409,0.0,1.1313838561375935,,,,,,,,False
29,2026-09-09T11:26:40.085443+00:00,2026-09-09T11:26:42.020985+00:00,1.9355193040009908,0.0,1.1882483164469402,,,,,,,,False
30,2026-09-09T11:26:42.022026+00:00,2026-09-09T11:26:43.882525+00:00,1.860477587000787,3.1827656579989707,1.2121501763661702,0.7111915832779789,0.5168141592920354,0.9467438088703138,0.8349276460348488,0.8631891102677534,0.3640897755610973,0.8902439024390244,True
31,2026-09-09T11:26:47.069789+00:00,2026-09-09T11:26:48.919677+00:00,1.8498680729990156,0.0,1.2147097984949748,,,,,,,,False
32,2026-09-09T11:26:48.920663+00:00,2026-09-09T11:26:50.809050+00:00,1.8883592140009569,0.0,1.2457149028778076,,,,,,,,False
33,2026-09-09T11:26:50.810082+00:00,2026-09-09T11:26:52.713787+00:00,1.903663097999015,0.0,1.242458701133728,,,,,,,,False
34,2026-09-09T11:26:52.715041+00:00,2026-09-09T11:26:54.616386+00:00,1.901319949000026,0.0,1.1486379305521648,,,,,,,,False
35,2026-09-09T11:26:54.617466+00:00,2026-09-09T11:26:56.491434+00:00,1.8739455989998532,3.1854590130005818,1.151899774869283,0.8231538434883794,0.687960687960688,0.9425916973364108,0.8410896477179987,0.8929945891694675,0.5761316872427984,0.8536585365853658,False
36,2026-09-09T11:26:59.677804+00:00,2026-09-09T11:27:01.620802+00:00,1.9429676179988746,0.0,1.1243284543355305,,,,,,,,False
37,2026-09-09T11:27:01.622037+00:00,2026-09-09T11:27:03.452414+00:00,1.8303573580014927,0.0,1.159686009089152,,,,,,,,False
38,2026-09-09T11:27:03.453581+00:00,2026-09-09T11:27:05.367450+00:00,1.9138438569989376,0.0,1.0559397339820862,,,,,,,,False
39,2026-09-09T11:27:05.368625+00:00,2026-09-09T11:27:07.156502+00:00,1.787854382999285,0.0,1.1452398300170898,,,,,,,,False
40,2026-09-09T11:27:07.157679+00:00,2026-09-09T11:27:08.978830+00:00,1.8211255339992931,3.1199526689997583,1.1553338766098022,0.8100890207715133,0.6666666666666666,0.9494300106044539,0.8448504772847968,0.8915658073981217,0.5444015444015444,0.8597560975609756,True
41,2026-09-09T11:27:12.103559+00:00,2026-09-09T11:27:13.967775+00:00,1.8641976159997284,0.0,1.036144455273946,,,,,,,,False
42,2026-09-09T11:27:13.969056+00:00,2026-09-09T11:27:16.687961+00:00,2.7188849249996565,0.0,1.1091777483622234,,,,,,,,False
43,2026-09-09T11:27:16.689271+00:00,2026-09-09T11:27:18.518558+00:00,1.8292650150015106,0.0,1.145091454188029,,,,,,,,False
44,2026-09-09T11:27:18.519827+00:00,2026-09-09T11:27:20.418113+00:00,1.8982649839999794,0.0,1.1256338357925415,,,,,,,,False
45,2026-09-09T11:27:20.419469+00:00,2026-09-09T11:27:22.342595+00:00,1.9230944999999338,3.1155167979995895,1.151505708694458,0.8198795473117757,0.6828087167070218,0.9545762896887281,0.8466170405452972,0.8946433650738017,0.5662650602409639,0.8597560975609756,True
46,2026-09-09T11:27:25.462630+00:00,2026-09-09T11:27:27.291557+00:00,1.8289098069999454,0.0,1.0589483380317688,,,,,,,,False
47,2026-09-09T11:27:27.292863+00:00,2026-09-09T11:27:29.154656+00:00,1.8617719630001375,0.0,1.1629931529362996,,,,,,,,False
48,2026-09-09T11:27:29.155947+00:00,2026-09-09T11:27:30.933458+00:00,1.7774888009989809,0.0,1.0786784092585247,,,,,,,,False
49,2026-09-09T11:27:30.935582+00:00,2026-09-09T11:27:32.812944+00:00,1.8773396050000883,0.0,1.1637773911158245,,,,,,,,False
50,2026-09-09T11:27:32.814231+00:00,2026-09-09T11:27:34.636352+00:00,1.8221005840005091,3.09286525799871,1.1081569194793701,0.8388660947407685,0.7142857142857143,0.9541513317946478,0.8479852868628338,0.8975670439947498,0.6140350877192983,0.8536585365853658,False
