epoch,train_start_utc,train_end_utc,train_seconds,validation_seconds,mean_batch_loss,validation_macro_f1,validation_fraud_f1,validation_auroc,validation_auprc,validation_gmean,validation_fraud_precision,validation_fraud_recall,is_best_checkpoint
0,2026-09-09T11:27:53.157983+00:00,2026-09-09T11:27:55.514257+00:00,2.3562542729996494,3.1248255890004657,1.9082142909367878,0.5580333400244941,0.3337250293772033,0.8843919593288005,0.7372687437731477,0.751088246306404,0.2066957787481805,0.8658536585365854,True
1,2026-09-09T11:27:58.644311+00:00,2026-09-09T11:28:00.546686+00:00,1.9023569670007419,0.0,1.759342074394226,,,,,,,,False
2,2026-09-09T11:28:00.547309+00:00,2026-09-09T11:28:02.505911+00:00,1.9585513760011963,0.0,1.690326730410258,,,,,,,,False
3,2026-09-09T11:28:02.506510+00:00,2026-09-09T11:28:05.064928+00:00,2.5583915440001874,0.0,1.610797603925069,,,,,,,,False
4,2026-09-09T11:28:05.065561+00:00,2026-09-09T11:28:06.982464+00:00,1.9168759909989603,0.0,1.5915342569351196,,,,,,,,False
5,2026-09-09T11:28:06.982978+00:00,2026-09-09T11:28:08.870384+00:00,1.887385109999741,3.1392037519999576,1.558333198229472,0.8154296875,0.671875,0.9178037864138231,0.8063833538313311,0.8607081795069115,0.5863636363636363,0.7865853658536586,True
6,2026-09-09T11:28:12.014066+00:00,2026-09-09T11:28:13.847010+00:00,1.8328799050013913,0.0,1.4879469871520996,,,,,,,,False
7,2026-09-09T11:28:13.847582+00:00,2026-09-09T11:28:15.742866+00:00,1.895255872999769,0.0,1.380509853363037,,,,,,,,False
8,2026-09-09T11:28:15.743506+00:00,2026-09-09T11:28:17.639015+00:00,1.895485371000177,0.0,1.4078617493311565,,,,,,,,False
9,2026-09-09T11:28:17.639714+00:00,2026-09-09T11:28:19.516260+00:00,1.8765242419995047,0.0,1.405171235402425,,,,,,,,False
10,2026-09-09T11:28:19.516867+00:00,2026-09-09T11:28:21.422496+00:00,1.9056098499986547,3.1547927649990015,1.3974268833796184,0.8195267351221955,0.6802030456852792,0.9324550870189009,0.8300284766023185,0.8757398825208826,0.5826086956521739,0.8170731707317073,True
