model,dataset,ratio,split_seed,training_seed,rho,reused_selected_tuning_run,run_id,best_validation_epoch,best_validation_auroc,best_validation_macro_f1,auroc,auprc,macro_f1,fraud_f1,fraud_precision,fraud_recall,gmean,accuracy,tp,tn,fp,fn,train_nodes,train_fraud,validation_nodes,test_nodes,unused_nodes,mean_epoch_seconds,median_epoch_seconds,epoch_sd_seconds,total_epoch_seconds,fit_wall_seconds,inference_seconds,peak_gpu_memory_mb,archive,archive_sha256,summary_member
PC-GNN,YelpChi,TR40,2,2,0.4,False,20260909T065838846264Z_yelp_PCGNN_unified_final_yelpchi_tr40_kaggle_t4_seed2_rho0p4_seed2,95,0.8282509794095899,0.5683521456405186,0.8330752735465201,0.5158151939828552,0.5745851269352285,0.4090385467434648,0.268340890594117,0.8599105812220567,0.7191654260746757,0.6390061708346866,2308,9497,6293,376,18381,2671,9099,18474,0,12.822952291479924,12.82696334550019,0.42614940764990844,1282.2952291479924,1524.1934082340013,23.819099623999136,269.0654296875,pcgnn_yelpchi_final_seed2_batch.zip,ab0a9ba2da13371d51185d1da0e125ec810b1a2dbd3cb23ff8dc914f91bd9146,results/tr40/seed2/20260909T065838846264Z_yelp_PCGNN_unified_final_yelpchi_tr40_kaggle_t4_seed2_rho0p4_seed2/summary.json
PC-GNN,YelpChi,TR40,2,42,0.4,False,20260909T082455642815Z_yelp_PCGNN_unified_final_yelpchi_tr40_kaggle_t4_seed42_rho0p4_seed42,90,0.8321320461417224,0.647089551571048,0.8384972543885894,0.5212585824048394,0.6587340955638011,0.477017482922311,0.34604401142281205,0.767511177347243,0.7604488723471777,0.7554942080762153,2060,11897,3893,624,18381,2671,9099,18474,0,12.428370958540018,12.432986158000858,0.4986023794335351,1242.8370958540017,1479.6245711009997,24.223663794011372,270.25537109375,pcgnn_yelpchi_final_seed42_batch.zip,cffa141332b4bcad477ca4c7b8dad3e7961c98b639e012e81957a1bda77f3746,results/tr40/seed42/20260909T082455642815Z_yelp_PCGNN_unified_final_yelpchi_tr40_kaggle_t4_seed42_rho0p4_seed42/summary.json
PC-GNN,YelpChi,TR40,2,72,0.4,True,20260909T052713997720Z_yelp_PCGNN_unified_tuning_yelpchi_tr40_rho0p4_kaggle_t4_seed72_seed72,95,0.8403868266662413,0.6415647448970277,0.8442156107215701,0.536251204967818,0.6483343317803141,0.46888471316458497,0.3333333333333333,0.7902384500745157,0.760223693849608,0.7399047309732597,2121,11548,4242,563,18381,2671,9099,18474,0,12.437298313149968,12.435741178499939,0.31568267300062824,1243.7298313149968,1477.9641840640006,22.66804146600043,269.22119140625,pcgnn_yelpchi_final_seed72_batch.zip,945c7ee865c547da313accb6de6f75dfe097f7dd6ef6beca1d769a5fc6c7f7f9,reused_tr40_seed72/summary.json
PC-GNN,YelpChi,TR30,2,2,0.4,False,20260909T072441845500Z_yelp_PCGNN_unified_final_yelpchi_tr30_kaggle_t4_seed2_rho0p4_seed2,95,0.8326369485878781,0.6366366585204324,0.836616949454889,0.5182695176671008,0.644685087289367,0.46391184573002753,0.3293694257549679,0.7842771982116244,0.755906649720879,0.7366569232434773,2105,11504,4286,579,13786,2003,9099,18474,4595,9.282345583359948,9.21729212900027,0.27656993146840825,928.2345583359947,1171.1146734909998,22.859621575000347,265.0068359375,pcgnn_yelpchi_final_seed2_batch.zip,ab0a9ba2da13371d51185d1da0e125ec810b1a2dbd3cb23ff8dc914f91bd9146,results/tr30/seed2/20260909T072441845500Z_yelp_PCGNN_unified_final_yelpchi_tr30_kaggle_t4_seed2_rho0p4_seed2/summary.json
PC-GNN,YelpChi,TR30,2,42,0.4,False,20260909T085013967741Z_yelp_PCGNN_unified_final_yelpchi_tr30_kaggle_t4_seed42_rho0p4_seed42,95,0.8265665447028818,0.621203669898449,0.8315593355035209,0.5070838518393856,0.6281182915286208,0.44819630872483224,0.31187974314068884,0.7961997019374069,0.747294537624265,0.7151672620980838,2137,11075,4715,547,13786,2003,9099,18474,4595,9.074991226590027,9.036084355499042,0.37431843155378075,907.4991226590028,1146.2397588429994,22.226892522994603,268.958984375,pcgnn_yelpchi_final_seed42_batch.zip,cffa141332b4bcad477ca4c7b8dad3e7961c98b639e012e81957a1bda77f3746,results/tr30/seed42/20260909T085013967741Z_yelp_PCGNN_unified_final_yelpchi_tr30_kaggle_t4_seed42_rho0p4_seed42/summary.json
PC-GNN,YelpChi,TR30,2,72,0.4,False,20260909T094151112754Z_yelp_PCGNN_unified_final_yelpchi_tr30_kaggle_t4_seed72_rho0p4_seed72,90,0.8275775167748027,0.6418358689994056,0.8317402801675116,0.5076227225304158,0.6458282694573954,0.46324022346368715,0.33083306734759016,0.772354694485842,0.7531650502405717,0.7399588611020894,2073,11597,4193,611,13786,2003,9099,18474,4595,8.856498168200233,8.721506440500889,0.2487647915054984,885.6498168200233,1118.9261796529972,22.89055012701283,264.99658203125,pcgnn_yelpchi_final_seed72_batch.zip,945c7ee865c547da313accb6de6f75dfe097f7dd6ef6beca1d769a5fc6c7f7f9,results/tr30/seed72/20260909T094151112754Z_yelp_PCGNN_unified_final_yelpchi_tr30_kaggle_t4_seed72_rho0p4_seed72/summary.json
PC-GNN,YelpChi,TR20,2,2,0.4,False,20260909T074449941639Z_yelp_PCGNN_unified_final_yelpchi_tr20_kaggle_t4_seed2_rho0p4_seed2,95,0.8079986137796835,0.6377851683577592,0.8135912719948581,0.4849372427330664,0.6422451877357801,0.45219399538106236,0.3276439089692102,0.7295081967213115,0.737478136634667,0.7432066688318718,1958,11772,4018,726,9191,1336,9099,18474,9190,5.686304326220107,5.579120441499981,0.25529345042080026,568.6304326220106,799.9377594449998,22.734640674003458,261.85107421875,pcgnn_yelpchi_final_seed2_batch.zip,ab0a9ba2da13371d51185d1da0e125ec810b1a2dbd3cb23ff8dc914f91bd9146,results/tr20/seed2/20260909T074449941639Z_yelp_PCGNN_unified_final_yelpchi_tr20_kaggle_t4_seed2_rho0p4_seed2/summary.json
PC-GNN,YelpChi,TR20,2,42,0.4,False,20260909T090955938606Z_yelp_PCGNN_unified_final_yelpchi_tr20_kaggle_t4_seed42_rho0p4_seed42,95,0.8023140600206552,0.5604547207039666,0.8067060308123857,0.47619536531489093,0.563874933898207,0.3945855082721401,0.258730711219399,0.830849478390462,0.7033267526439758,0.6295875284183177,2230,9401,6389,454,9191,1336,9099,18474,9190,5.511978652410144,5.424812181499874,0.21382971167493836,551.1978652410144,775.4702141289999,21.902078356997663,257.8974609375,pcgnn_yelpchi_final_seed42_batch.zip,cffa141332b4bcad477ca4c7b8dad3e7961c98b639e012e81957a1bda77f3746,results/tr20/seed42/20260909T090955938606Z_yelp_PCGNN_unified_final_yelpchi_tr20_kaggle_t4_seed42_rho0p4_seed42/summary.json
PC-GNN,YelpChi,TR20,2,72,0.4,False,20260909T100106455384Z_yelp_PCGNN_unified_final_yelpchi_tr20_kaggle_t4_seed72_rho0p4_seed72,95,0.8179867046570661,0.6532763608826927,0.8243298074862979,0.4944741819919309,0.661171914732751,0.47237163814180927,0.35152838427947597,0.7198211624441133,0.7465577977699577,0.7663743639709862,1932,12226,3564,752,9191,1336,9099,18474,9190,5.73458685673013,5.64222733150018,0.24016058111793126,573.458685673013,808.0448087439981,23.0818399709824,258.6748046875,pcgnn_yelpchi_final_seed72_batch.zip,945c7ee865c547da313accb6de6f75dfe097f7dd6ef6beca1d769a5fc6c7f7f9,results/tr20/seed72/20260909T100106455384Z_yelp_PCGNN_unified_final_yelpchi_tr20_kaggle_t4_seed72_rho0p4_seed72/summary.json
PC-GNN,YelpChi,TR10,2,2,0.4,False,20260909T075847116328Z_yelp_PCGNN_unified_final_yelpchi_tr10_kaggle_t4_seed2_rho0p4_seed2,90,0.7920663203126019,0.6690316541780448,0.7969031291853115,0.45975342821155174,0.6749297582656454,0.47234592730929464,0.3843815758709376,0.6125186289120715,0.7144091745553092,0.8011800368084876,1644,13157,2633,1040,4595,668,9099,18474,13786,2.8590761218800615,2.791366837998794,0.1896694961732332,285.90761218800617,523.7589263009995,23.820250228993245,256.72998046875,pcgnn_yelpchi_final_seed2_batch.zip,ab0a9ba2da13371d51185d1da0e125ec810b1a2dbd3cb23ff8dc914f91bd9146,results/tr10/seed2/20260909T075847116328Z_yelp_PCGNN_unified_final_yelpchi_tr10_kaggle_t4_seed2_rho0p4_seed2/summary.json
