trial,lr,weight_decay,best_epoch,best_val_auprc,completed_epochs
2,0.01,1e-05,27,0.9284944462600302,47
1,0.01,0.0,18,0.9266492202645255,38
3,0.01,0.0001,35,0.9254016969370458,55
6,0.001,1e-05,56,0.9244208105826289,76
5,0.001,0.0,49,0.9207615118676198,69
8,0.001,0.001,97,0.919672369475571,100
7,0.001,0.0001,38,0.917857050798841,58
4,0.01,0.001,50,0.9090494863012385,70
11,0.0001,0.0001,97,0.9039114358455324,100
10,0.0001,1e-05,85,0.9030348872917302,100
9,0.0001,0.0,49,0.8949441166795329,69
12,0.0001,0.001,49,0.8877823301728938,69
