dataset,model,ratio,seed,train_nodes,epochs_completed,best_epoch,best_validation_auprc,threshold,auprc,auroc,macro_f1,fraud_precision,fraud_recall,fraud_f1,gmean,train_seconds_total,train_seconds_mean,train_seconds_sd,test_inference_seconds,peak_gpu_memory_mb
Elliptic,PMP,TR40,2,18889,51,31,0.626648982695981,0.72,0.4936507675918286,0.8353015380557754,0.6946527270676379,0.34968242766407903,0.6673400673400673,0.4589025237323454,0.7726025821085842,131.229715748952,2.573131681352,0.12750459579302084,0.4903746210038662,193.0966796875
Elliptic,PMP,TR40,42,18889,91,71,0.5910101016066664,0.46,0.3748065435552891,0.8176330220821746,0.6990715243442736,0.5056867891513561,0.38922558922558925,0.4398782343987824,0.6137045370833173,223.09004537403234,2.4515389601542017,0.16500543618163777,0.12652127000910696,193.0966796875
Elliptic,PMP,TR40,72,18889,43,23,0.6345900580817576,0.62,0.5068059165781433,0.8388235693320438,0.8100070621020805,0.689445709946849,0.6114478114478115,0.648108493932905,0.7727405415697896,106.70594846004678,2.481533685117367,0.13112200340128513,0.3148820429923944,193.0966796875
Elliptic,PMP,TR30,2,13670,40,20,0.289937012354146,0.06,0.2716404739857363,0.720811084582271,0.6656372602176296,0.34823776959495,0.4457912457912458,0.39102185469580625,0.6435558749356299,1052.1240268980182,26.303100672450455,14.18440592727057,1.2717065829929197,193.0966796875
Elliptic,PMP,TR30,42,13670,45,25,0.37714628220885227,0.14,0.25097064465280117,0.7607709404319575,0.5827772170770111,0.32,0.16161616161616163,0.21476510067114096,0.3961016231720677,1562.1374506389984,34.71416556975552,12.547931579693822,2.4223165240109665,193.0966796875
Elliptic,PMP,TR30,72,13670,46,26,0.15608287525223927,0.01,0.16648632095945115,0.6525831301255031,0.5738254125968943,0.18506224066390042,0.4505050505050505,0.2623529411764706,0.6119717389350361,1832.959124437053,39.84693748776203,14.144980034023062,3.527361401997041,193.0966796875
Elliptic,PMP,TR20,2,9553,31,11,0.13902357774295285,0.04,0.08836651074097368,0.5173721101687203,0.4899481275672052,0.09274193548387097,0.015488215488215488,0.02654356607039815,0.12364736469955749,393.71155369294866,12.700372699772537,17.282439990408957,0.13096573798975442,193.0966796875
Elliptic,PMP,TR20,42,9553,25,5,0.13275335431820479,0.16,0.054138583399071155,0.2929695103423917,0.49155224683658894,0.07011070110701106,0.02558922558922559,0.03749383325111001,0.15764116440556855,34.88282139999501,1.3953128559998005,0.0682749437138949,0.1234956050029723,193.0966796875
Elliptic,PMP,TR20,72,9553,46,26,0.16731152672528254,0.01,0.2587523084110819,0.6754309972530311,0.5774036732737424,0.1903725205611998,0.52996632996633,0.2801210179747286,0.6545208494621032,64.66005233801843,1.4056533116960528,0.10877646705950747,0.15376697899773717,193.0966796875
Elliptic,PMP,TR10,2,4543,100,100,0.11200233446409039,0.98,0.08310695281503432,0.5260877595623359,0.47956605328206536,0.0,0.0,0.0,0.0,90.47192925894342,0.9047192925894342,0.060168546237549636,0.14882260900049005,193.0966796875
Elliptic,PMP,TR10,42,4543,100,100,0.1293116564335268,0.49,0.07461246991332178,0.5013567496618344,0.48045713522347067,0.030864197530864196,0.003367003367003367,0.0060716454159077116,0.05776447237651928,89.34305535908788,0.8934305535908789,0.05465524337132122,0.41249760299979243,193.0966796875
Elliptic,PMP,TR10,72,4543,41,21,0.11248275695598275,0.91,0.06328698658332031,0.42874145331772456,0.4795231686214189,0.0,0.0,0.0,0.0,133.7297188739467,3.261700460340163,6.488348605827898,3.7246749969926896,193.0966796875
