dataset,model,ratio,seed,train_nodes,epochs_completed,best_epoch,best_validation_auprc,threshold,auprc,auroc,macro_f1,fraud_precision,fraud_recall,fraud_f1,gmean,train_seconds_total,train_seconds_mean,test_inference_seconds,peak_gpu_memory_mb
FDCompCN,PMP,TR40,2,2126,33,13,0.15043956149699342,0.34,0.12115433425002112,0.5459612641693566,0.5098726995278718,0.12637362637362637,0.10267857142857142,0.11330049261083742,0.30675648660854865,106.96735482299118,3.2414349946360965,0.2938052990066353,149.38427734375
FDCompCN,PMP,TR40,42,2126,29,9,0.14358202875501339,0.31,0.12231699891025097,0.562087118084228,0.5070653989580229,0.11848341232227488,0.11160714285714286,0.1149425287356322,0.3173304507431428,15.170842823936255,0.5231325111702156,0.22098248099791817,149.380859375
FDCompCN,PMP,TR40,72,2126,34,14,0.13618270275422564,0.3,0.12655989314623559,0.5679401884242925,0.5036938916171276,0.11214953271028037,0.10714285714285714,0.1095890410958904,0.31055669700136634,20.968971998954657,0.61673447055749,1.0203048890107311,149.3857421875
FDCompCN,PMP,TR30,2,1594,36,16,0.1442065300668775,0.34,0.13068551816161084,0.5605951129795061,0.5110719485096927,0.12448132780082988,0.13392857142857142,0.12903225806451615,0.34507810417444934,27.699427932006074,0.7694285536668354,0.45555300200066995,149.3876953125
FDCompCN,PMP,TR30,42,1594,29,9,0.14525796266241361,0.37,0.12636404366934134,0.535893748592448,0.5043563365564336,0.11386138613861387,0.10267857142857142,0.10798122065727699,0.30499248988699856,17.724198208001326,0.6111792485517699,0.1469175990059739,149.38232421875
FDCompCN,PMP,TR30,72,1594,35,15,0.13690983530039455,0.27,0.13371466139387653,0.5627439756775017,0.507391873233772,0.1187214611872146,0.11607142857142858,0.11738148984198644,0.32295448925811837,17.006069052993553,0.4858876872283872,0.1394591309945099,149.38623046875
FDCompCN,PMP,TR20,2,1062,48,28,0.14651729745855588,0.38,0.12482986651916071,0.5524852676225509,0.5141691157436311,0.1377245508982036,0.10267857142857142,0.11764705882352941,0.30807285577949417,23.671435405980446,0.4931549042912593,0.14185785500740167,149.38623046875
FDCompCN,PMP,TR20,42,1062,30,10,0.1497785351113173,0.37,0.12500220215135563,0.5179932062157495,0.5070653989580229,0.11848341232227488,0.11160714285714286,0.1149425287356322,0.3173304507431428,12.381937226062291,0.412731240868743,0.1576638480037218,149.3828125
FDCompCN,PMP,TR20,72,1062,42,22,0.14129396269417488,0.27,0.13252769620048535,0.5547514263193454,0.5104346302138101,0.12389380530973451,0.125,0.12444444444444444,0.3346553744573351,18.32935941699543,0.43641331945227213,0.14186190400505438,149.38525390625
FDCompCN,PMP,TR10,2,531,21,1,0.12018738086328798,0.51,0.1121434502488376,0.5064817768936265,0.5057382590601395,0.11555555555555555,0.11607142857142858,0.11581291759465479,0.32238740455501597,7.757276015050593,0.3693940959547901,0.14114830500329845,149.3798828125
FDCompCN,PMP,TR10,42,531,33,13,0.15295778921630887,0.37,0.12498101892433569,0.5169527907064034,0.4970183049915979,0.10119047619047619,0.07589285714285714,0.08673469387755103,0.2643310056813657,12.790589796000859,0.38759363018184423,0.15366982900013682,149.3798828125
FDCompCN,PMP,TR10,72,531,21,1,0.12355830200091655,0.46,0.1260717217700753,0.5356368703550785,0.5059646462083193,0.11627906976744186,0.11160714285714286,0.11389521640091116,0.31696060160727924,8.574802498042118,0.4083239284781961,0.1856941920123063,149.37939453125
