trial,lr,weight_decay,best_epoch,best_val_auprc,completed_epochs
6,0.001,1e-05,14,0.15110919520635985,34
5,0.001,0.0,14,0.1460054849284365,34
7,0.001,0.0001,14,0.14336155126677802,34
3,0.01,0.0001,14,0.13483463525460976,34
8,0.001,0.001,15,0.1347244234332641,35
1,0.01,0.0,2,0.1323001933043833,22
4,0.01,0.001,2,0.13093894948412754,22
2,0.01,1e-05,2,0.12845243375735393,22
9,0.0001,0.0,2,0.12294377673696838,22
10,0.0001,1e-05,2,0.12293375358433695,22
11,0.0001,0.0001,2,0.12287903609022102,22
12,0.0001,0.001,2,0.12275711617712762,22
