dataset,model,ratio,seed,train_nodes,epochs_completed,best_epoch,best_validation_auprc,threshold,auprc,auroc,macro_f1,fraud_precision,fraud_recall,fraud_f1,gmean,train_seconds_total,train_seconds_mean,train_seconds_sd,test_inference_seconds,peak_gpu_memory_mb
T-Finance,PMP,TR40,2,15742,100,96,0.8870907533127115,0.36,0.9057797331785676,0.9715498025755633,0.9187334162554821,0.8369565217391305,0.853185595567867,0.8449931412894377,0.919983506984091,1646.2228670346085,16.462228670346086,1.0441282014917486,15.904518367024139,159.71142578125
T-Finance,PMP,TR40,42,15742,40,20,0.8643449526740677,0.45,0.8903457780337762,0.9689982500952958,0.917208338592284,0.875748502994012,0.8102493074792244,0.841726618705036,0.8976481470676596,659.6387704069493,16.490969260173735,1.0082165391298865,15.82643985399045,159.90283203125
T-Finance,PMP,TR40,72,15742,100,99,0.8797305110481719,0.51,0.9078278237240778,0.9717024973900805,0.9250760893350711,0.896969696969697,0.8199445983379502,0.8567293777134588,0.9034559827676019,1661.2246261944529,16.612246261944527,0.7140706406205216,15.958234074059874,159.71142578125
T-Finance,PMP,TR30,2,11806,100,100,0.8755129138848039,0.52,0.9033867878664956,0.9704277354270965,0.9222756662376816,0.9141494435612083,0.796398891966759,0.851221317542561,0.8908063000420235,1248.3995204194216,12.483995204194215,0.42408567661992225,15.531924409093335,159.71142578125
T-Finance,PMP,TR30,42,11806,100,99,0.8796761519185916,0.4,0.9046088000713276,0.9765938950473954,0.9200364726999546,0.8612303290414879,0.8337950138504155,0.8472906403940886,0.9101706859146854,1223.058174161124,12.23058174161124,0.3053363447486499,16.242460418026894,159.71142578125
T-Finance,PMP,TR30,72,11806,100,89,0.8680587583721191,0.49,0.902089152645587,0.9696563315513407,0.9226839443845578,0.8792341678939617,0.8268698060941828,0.8522483940042827,0.906838411157432,1229.4019860444823,12.294019860444823,0.31900850457888735,15.501828367006965,159.90283203125
T-Finance,PMP,TR20,2,7870,100,99,0.8651787478650638,0.49,0.887948195495766,0.9715901892475187,0.9124050152084702,0.9110378912685337,0.7659279778393352,0.8322046651617758,0.8735985874526639,843.0862621045671,8.430862621045671,0.2637131526480229,14.818701256997883,159.71142578125
T-Finance,PMP,TR20,42,7870,73,53,0.8573282482540763,0.47,0.8805293593717483,0.967072322202287,0.9149823312290932,0.8666666666666667,0.8102493074792244,0.8375089477451683,0.8974378018633499,614.2421052068239,8.414275413792108,0.2603543630519959,16.099499175907113,159.90283203125
T-Finance,PMP,TR20,72,7870,33,13,0.8383531542611817,0.4,0.8753142699351625,0.9594662578576512,0.9121930483647518,0.8845553822152886,0.7853185595567868,0.8319882611885547,0.8839964579568558,274.32197636994533,8.312787162725616,0.20961834323466116,15.111747838091105,159.71142578125
T-Finance,PMP,TR10,2,3935,100,92,0.855873824108013,0.41,0.8701786989178919,0.9628154932125494,0.9076695242310977,0.8621212121212121,0.7880886426592798,0.8234442836468885,0.8850504255138348,455.57965622271877,4.555796562227187,0.12800451155861275,15.011398205999285,159.90283203125
T-Finance,PMP,TR10,42,3935,100,98,0.852594093062236,0.58,0.8697467230089083,0.9609757788772543,0.9164532210924747,0.9178981937602627,0.7742382271468145,0.8399699474079639,0.8784423948767313,455.29773397918325,4.552977339791832,0.14369784842607553,15.51747956208419,159.71142578125
T-Finance,PMP,TR10,72,3935,29,9,0.7927946857489223,0.21,0.8257797116412116,0.9262913730564837,0.8931330945144129,0.8310708898944194,0.7631578947368421,0.7956678700361012,0.8703261546763486,129.78523598366883,4.475352964954097,0.12919111966723734,16.104279204038903,159.90283203125
