dataset,ratio,seed,n_epochs,mean_train_seconds_per_epoch,mean_valid_seconds_per_epoch,mean_total_seconds_per_epoch,total_train_seconds,peak_memory_mb
amazon,10,2,78,3.58,3.5092,7.0893,279.24,3862.0
amazon,10,42,82,3.5985,3.5371,7.1356,295.08,3862.0
amazon,10,72,84,3.5661,3.4955,7.0615,299.55,3862.0
amazon,20,2,22,3.5727,3.4973,7.0699,78.6,3862.0
amazon,20,42,85,3.5754,3.5251,7.1005,303.91,3862.0
amazon,20,72,95,3.5857,3.5043,7.09,340.64,3862.0
amazon,30,2,87,3.5903,3.5142,7.1045,312.36,3862.0
amazon,30,42,65,3.5439,3.4872,7.0311,230.35,3862.0
amazon,30,72,83,3.6122,3.5458,7.1579,299.81,3862.0
amazon,40,2,79,3.6125,3.534,7.1466,285.39,3862.0
amazon,40,42,82,3.5578,3.4823,7.0401,291.74,3862.0
amazon,40,72,49,3.5919,3.545,7.1369,176.0,3862.0
comp,10,2,65,0.0708,0.0467,0.1176,4.6,28.0
comp,10,42,24,0.0819,0.046,0.1279,1.97,28.0
comp,10,72,23,0.0835,0.0466,0.1302,1.92,28.0
comp,20,2,79,0.0665,0.0458,0.1123,5.25,28.0
comp,20,42,85,0.0673,0.046,0.1132,5.72,28.0
comp,20,72,22,0.0833,0.0464,0.1296,1.83,28.0
comp,30,2,27,0.082,0.0461,0.1281,2.21,28.0
comp,30,42,62,0.0698,0.0459,0.1157,4.33,28.0
comp,30,72,23,0.0848,0.0468,0.1317,1.95,28.0
comp,40,2,27,0.0826,0.0464,0.129,2.23,28.0
comp,40,42,32,0.0786,0.0463,0.1249,2.52,28.0
comp,40,72,23,0.0877,0.047,0.1346,2.02,28.0
elliptic,10,2,100,0.1448,0.1317,0.2765,14.48,331.5
elliptic,10,42,82,0.1484,0.1325,0.2809,12.17,331.5
elliptic,10,72,100,0.1453,0.1317,0.2769,14.53,331.5
elliptic,20,2,100,0.145,0.1314,0.2764,14.5,331.5
elliptic,20,42,100,0.1445,0.1307,0.2752,14.45,331.5
elliptic,20,72,100,0.144,0.1312,0.2753,14.4,331.5
elliptic,30,2,100,0.1455,0.1313,0.2768,14.55,331.5
elliptic,30,42,100,0.1438,0.1305,0.2743,14.38,331.5
elliptic,30,72,100,0.1454,0.1318,0.2773,14.54,331.5
elliptic,40,2,100,0.144,0.1306,0.2746,14.4,331.5
elliptic,40,42,100,0.1453,0.1311,0.2764,14.53,331.5
elliptic,40,72,100,0.1472,0.1328,0.28,14.72,331.5
tfinance,10,2,23,3.242,2.9604,6.2024,74.57,18496.6
tfinance,10,42,100,3.2448,2.9899,6.2347,324.48,18496.6
tfinance,10,72,93,3.233,2.9734,6.2064,300.67,18496.6
tfinance,20,2,100,3.2301,2.9668,6.1969,323.01,18496.6
tfinance,20,42,100,3.2478,2.9782,6.226,324.78,18496.6
tfinance,20,72,23,3.2858,2.9988,6.2845,75.57,18496.6
tfinance,30,2,100,3.2682,2.9911,6.2593,326.82,18496.6
tfinance,30,42,100,3.2591,2.9857,6.2448,325.91,18496.6
tfinance,30,72,23,3.3008,2.9908,6.2916,75.92,18496.6
tfinance,40,2,100,3.3293,3.0002,6.3295,332.93,18496.6
tfinance,40,42,100,3.2899,2.9677,6.2576,328.99,18496.6
tfinance,40,72,23,3.3457,2.9808,6.3265,76.95,18496.6
yelp,10,2,100,0.4397,0.3839,0.8236,43.97,3405.8
yelp,10,42,100,0.442,0.3857,0.8277,44.2,3405.8
yelp,10,72,100,0.4419,0.3854,0.8273,44.19,3405.8
yelp,20,2,100,0.4487,0.3853,0.834,44.87,3405.8
yelp,20,42,100,0.4469,0.3849,0.8318,44.69,3405.8
yelp,20,72,100,0.4474,0.3844,0.8319,44.74,3405.8
yelp,30,2,100,0.4596,0.384,0.8435,45.96,3405.8
yelp,30,42,100,0.4576,0.3811,0.8387,45.76,3405.8
yelp,30,72,100,0.4649,0.3887,0.8536,46.49,3405.8
yelp,40,2,100,0.474,0.3839,0.8579,47.4,3404.9
yelp,40,42,100,0.4758,0.3856,0.8614,47.58,3404.9
yelp,40,72,100,0.4768,0.3856,0.8624,47.68,3404.9
