=== Run: splitgnn_amazon_unified_tr10_seed2_a6000_20260918T001539Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/amazon/unified/tr10/seed_2
Split overlap checks: PASSED
train=1194 valid=2389 test=4777
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: bfb87018edf7c007fb16b21173a665c23f7c6204727e29c49e5062eb6b39ea4b
Split SHA256: 194b49f7cac03b0081747e62cd5d422718e854d4350e200337c19b7663dca8dc
epoch 0: loss=1.6923 val_auprc=0.0693 val_auc=0.5486 val_f1_macro=0.0642 (best_epoch=0, best_auprc=0.0693)
epoch 1: loss=1.6634 val_auprc=0.0680 val_auc=0.5270 val_f1_macro=0.4822 (best_epoch=0, best_auprc=0.0693)
epoch 2: loss=1.5563 val_auprc=0.1462 val_auc=0.6957 val_f1_macro=0.3157 (best_epoch=2, best_auprc=0.1462)
epoch 3: loss=1.4308 val_auprc=0.3333 val_auc=0.7708 val_f1_macro=0.3202 (best_epoch=3, best_auprc=0.3333)
epoch 4: loss=1.3993 val_auprc=0.0811 val_auc=0.6116 val_f1_macro=0.0642 (best_epoch=3, best_auprc=0.3333)
epoch 5: loss=1.4232 val_auprc=0.3651 val_auc=0.7692 val_f1_macro=0.0642 (best_epoch=5, best_auprc=0.3651)
epoch 6: loss=1.3865 val_auprc=0.3252 val_auc=0.7742 val_f1_macro=0.0642 (best_epoch=5, best_auprc=0.3651)
epoch 7: loss=1.3612 val_auprc=0.0960 val_auc=0.3586 val_f1_macro=0.1299 (best_epoch=5, best_auprc=0.3651)
epoch 8: loss=1.3871 val_auprc=0.3295 val_auc=0.7715 val_f1_macro=0.4822 (best_epoch=5, best_auprc=0.3651)
epoch 9: loss=1.3631 val_auprc=0.3525 val_auc=0.7699 val_f1_macro=0.4822 (best_epoch=5, best_auprc=0.3651)
epoch 10: loss=1.3509 val_auprc=0.2279 val_auc=0.6726 val_f1_macro=0.4822 (best_epoch=5, best_auprc=0.3651)
epoch 11: loss=1.3335 val_auprc=0.1560 val_auc=0.5924 val_f1_macro=0.4822 (best_epoch=5, best_auprc=0.3651)
