=== Run: splitgnn_amazon_unified_tr10_seed42_a6000_20260918T002505Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/amazon/unified/tr10/seed_42
Split overlap checks: PASSED
train=1194 valid=2389 test=4777
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: 82c999eb8187e4fa3152fc072b25a44cd92bbb6c2ee34214bf225db41f756b54
Split SHA256: 194b49f7cac03b0081747e62cd5d422718e854d4350e200337c19b7663dca8dc
epoch 0: loss=1.7120 val_auprc=0.0471 val_auc=0.3127 val_f1_macro=0.4822 (best_epoch=0, best_auprc=0.0471)
epoch 1: loss=1.8206 val_auprc=0.0544 val_auc=0.4190 val_f1_macro=0.0642 (best_epoch=1, best_auprc=0.0544)
epoch 2: loss=1.7848 val_auprc=0.0580 val_auc=0.4452 val_f1_macro=0.0647 (best_epoch=2, best_auprc=0.0580)
epoch 3: loss=1.5569 val_auprc=0.0909 val_auc=0.6122 val_f1_macro=0.3157 (best_epoch=3, best_auprc=0.0909)
epoch 4: loss=1.4496 val_auprc=0.1334 val_auc=0.6496 val_f1_macro=0.3130 (best_epoch=4, best_auprc=0.1334)
epoch 5: loss=1.4476 val_auprc=0.1990 val_auc=0.7319 val_f1_macro=0.3264 (best_epoch=5, best_auprc=0.1990)
epoch 6: loss=1.3893 val_auprc=0.2760 val_auc=0.7625 val_f1_macro=0.4870 (best_epoch=6, best_auprc=0.2760)
epoch 7: loss=1.3531 val_auprc=0.1683 val_auc=0.7217 val_f1_macro=0.3220 (best_epoch=6, best_auprc=0.2760)
epoch 8: loss=1.4707 val_auprc=0.3067 val_auc=0.7673 val_f1_macro=0.6772 (best_epoch=8, best_auprc=0.3067)
epoch 9: loss=1.3447 val_auprc=0.3113 val_auc=0.7752 val_f1_macro=0.4822 (best_epoch=9, best_auprc=0.3113)
epoch 10: loss=1.3556 val_auprc=0.2449 val_auc=0.7625 val_f1_macro=0.4822 (best_epoch=9, best_auprc=0.3113)
epoch 11: loss=1.3502 val_auprc=0.2312 val_auc=0.7620 val_f1_macro=0.5416 (best_epoch=9, best_auprc=0.3113)
epoch 12: loss=1.3021 val_auprc=0.2913 val_auc=0.7807 val_f1_macro=0.6799 (best_epoch=9, best_auprc=0.3113)
epoch 13: loss=1.2682 val_auprc=0.2685 val_auc=0.7756 val_f1_macro=0.5195 (best_epoch=9, best_auprc=0.3113)
epoch 14: loss=1.2600 val_auprc=0.3460 val_auc=0.7862 val_f1_macro=0.5983 (best_epoch=14, best_auprc=0.3460)
epoch 15: loss=1.2030 val_auprc=0.3834 val_auc=0.7999 val_f1_macro=0.6274 (best_epoch=15, best_auprc=0.3834)
