=== Run: splitgnn_amazon_unified_tr10_seed72_a6000_20260918T003503Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/amazon/unified/tr10/seed_72
Split overlap checks: PASSED
train=1194 valid=2389 test=4777
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: d3763a01b0102f54b3dc3e8b049498c8fcefd07da403ed3fb40b48db7a05b680
Split SHA256: 194b49f7cac03b0081747e62cd5d422718e854d4350e200337c19b7663dca8dc
epoch 0: loss=1.7105 val_auprc=0.1050 val_auc=0.5984 val_f1_macro=0.0642 (best_epoch=0, best_auprc=0.1050)
epoch 1: loss=1.6749 val_auprc=0.1474 val_auc=0.7011 val_f1_macro=0.3269 (best_epoch=1, best_auprc=0.1474)
epoch 2: loss=1.5720 val_auprc=0.1305 val_auc=0.6577 val_f1_macro=0.4822 (best_epoch=1, best_auprc=0.1474)
epoch 3: loss=1.8681 val_auprc=0.0610 val_auc=0.3070 val_f1_macro=0.4167 (best_epoch=1, best_auprc=0.1474)
epoch 4: loss=1.4463 val_auprc=0.0605 val_auc=0.4723 val_f1_macro=0.3117 (best_epoch=1, best_auprc=0.1474)
epoch 5: loss=1.3734 val_auprc=0.2258 val_auc=0.7469 val_f1_macro=0.3190 (best_epoch=5, best_auprc=0.2258)
epoch 6: loss=1.3327 val_auprc=0.1846 val_auc=0.7398 val_f1_macro=0.3187 (best_epoch=5, best_auprc=0.2258)
epoch 7: loss=1.3981 val_auprc=0.2414 val_auc=0.7650 val_f1_macro=0.3246 (best_epoch=7, best_auprc=0.2414)
epoch 8: loss=1.2935 val_auprc=0.2680 val_auc=0.7526 val_f1_macro=0.3263 (best_epoch=8, best_auprc=0.2680)
epoch 9: loss=1.2991 val_auprc=0.3047 val_auc=0.7596 val_f1_macro=0.3364 (best_epoch=9, best_auprc=0.3047)
epoch 10: loss=1.2379 val_auprc=0.3224 val_auc=0.7684 val_f1_macro=0.4308 (best_epoch=10, best_auprc=0.3224)
epoch 11: loss=1.2439 val_auprc=0.3259 val_auc=0.7689 val_f1_macro=0.5709 (best_epoch=11, best_auprc=0.3259)
epoch 12: loss=1.1481 val_auprc=0.3421 val_auc=0.7766 val_f1_macro=0.6084 (best_epoch=12, best_auprc=0.3421)
epoch 13: loss=1.1901 val_auprc=0.3626 val_auc=0.8069 val_f1_macro=0.6603 (best_epoch=13, best_auprc=0.3626)
epoch 14: loss=1.1754 val_auprc=0.3621 val_auc=0.8043 val_f1_macro=0.5555 (best_epoch=13, best_auprc=0.3626)
epoch 15: loss=1.1966 val_auprc=0.3706 val_auc=0.8104 val_f1_macro=0.6759 (best_epoch=15, best_auprc=0.3706)
epoch 16: loss=1.1493 val_auprc=0.3677 val_auc=0.8184 val_f1_macro=0.6734 (best_epoch=15, best_auprc=0.3706)
epoch 17: loss=1.1363 val_auprc=0.3698 val_auc=0.8036 val_f1_macro=0.6418 (best_epoch=15, best_auprc=0.3706)
epoch 18: loss=1.1980 val_auprc=0.3738 val_auc=0.8123 val_f1_macro=0.6620 (best_epoch=18, best_auprc=0.3738)
epoch 19: loss=1.1159 val_auprc=0.3764 val_auc=0.8275 val_f1_macro=0.6801 (best_epoch=19, best_auprc=0.3764)
epoch 20: loss=1.1129 val_auprc=0.3848 val_auc=0.8365 val_f1_macro=0.6595 (best_epoch=20, best_auprc=0.3848)
epoch 21: loss=1.1113 val_auprc=0.3844 val_auc=0.8418 val_f1_macro=0.6364 (best_epoch=20, best_auprc=0.3848)
epoch 22: loss=1.1002 val_auprc=0.3862 val_auc=0.8448 val_f1_macro=0.6623 (best_epoch=22, best_auprc=0.3862)
epoch 23: loss=1.0652 val_auprc=0.3935 val_auc=0.8494 val_f1_macro=0.6861 (best_epoch=23, best_auprc=0.3935)
epoch 24: loss=0.9757 val_auprc=0.3978 val_auc=0.8599 val_f1_macro=0.6671 (best_epoch=24, best_auprc=0.3978)
epoch 25: loss=0.9714 val_auprc=0.3932 val_auc=0.8450 val_f1_macro=0.7005 (best_epoch=24, best_auprc=0.3978)
epoch 26: loss=1.0724 val_auprc=0.3997 val_auc=0.8448 val_f1_macro=0.6811 (best_epoch=26, best_auprc=0.3997)
epoch 27: loss=1.1075 val_auprc=0.3974 val_auc=0.8597 val_f1_macro=0.6170 (best_epoch=26, best_auprc=0.3997)
epoch 28: loss=1.0048 val_auprc=0.3988 val_auc=0.8693 val_f1_macro=0.5785 (best_epoch=26, best_auprc=0.3997)
epoch 29: loss=1.0723 val_auprc=0.4000 val_auc=0.8727 val_f1_macro=0.6712 (best_epoch=29, best_auprc=0.4000)
epoch 30: loss=1.0062 val_auprc=0.3936 val_auc=0.8709 val_f1_macro=0.6990 (best_epoch=29, best_auprc=0.4000)
