=== Run: splitgnn_amazon_unified_tr20_seed42_a6000_20260917T235357Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/amazon/unified/tr20/seed_42
Split overlap checks: PASSED
train=2388 valid=2389 test=4777
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: c0e8777512b99cfb1051eedbc411bc5a90dd5cf70ed76e991f07e4b0b23467a6
Split SHA256: 194b49f7cac03b0081747e62cd5d422718e854d4350e200337c19b7663dca8dc
epoch 0: loss=1.7135 val_auprc=0.0535 val_auc=0.4040 val_f1_macro=0.4822 (best_epoch=0, best_auprc=0.0535)
epoch 1: loss=1.8342 val_auprc=0.0458 val_auc=0.2891 val_f1_macro=0.0642 (best_epoch=0, best_auprc=0.0535)
epoch 2: loss=1.6362 val_auprc=0.0775 val_auc=0.5737 val_f1_macro=0.3070 (best_epoch=2, best_auprc=0.0775)
epoch 3: loss=1.4621 val_auprc=0.1501 val_auc=0.6283 val_f1_macro=0.3510 (best_epoch=3, best_auprc=0.1501)
epoch 4: loss=1.4155 val_auprc=0.1500 val_auc=0.7028 val_f1_macro=0.3142 (best_epoch=3, best_auprc=0.1501)
epoch 5: loss=1.4126 val_auprc=0.1343 val_auc=0.6883 val_f1_macro=0.2755 (best_epoch=3, best_auprc=0.1501)
epoch 6: loss=1.4027 val_auprc=0.1431 val_auc=0.6697 val_f1_macro=0.3160 (best_epoch=3, best_auprc=0.1501)
epoch 7: loss=1.3451 val_auprc=0.2015 val_auc=0.7039 val_f1_macro=0.3255 (best_epoch=7, best_auprc=0.2015)
epoch 8: loss=1.3377 val_auprc=0.2745 val_auc=0.7462 val_f1_macro=0.3296 (best_epoch=8, best_auprc=0.2745)
epoch 9: loss=1.3028 val_auprc=0.0954 val_auc=0.4923 val_f1_macro=0.5377 (best_epoch=8, best_auprc=0.2745)
epoch 10: loss=1.3843 val_auprc=0.2535 val_auc=0.7204 val_f1_macro=0.4745 (best_epoch=8, best_auprc=0.2745)
epoch 11: loss=1.2968 val_auprc=0.3442 val_auc=0.7706 val_f1_macro=0.3142 (best_epoch=11, best_auprc=0.3442)
epoch 12: loss=1.2716 val_auprc=0.3705 val_auc=0.7752 val_f1_macro=0.3659 (best_epoch=12, best_auprc=0.3705)
epoch 13: loss=1.2461 val_auprc=0.3830 val_auc=0.7819 val_f1_macro=0.5964 (best_epoch=13, best_auprc=0.3830)
