=== Run: splitgnn_amazon_unified_tr20_seed72_a6000_20260918T000413Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/amazon/unified/tr20/seed_72
Split overlap checks: PASSED
train=2388 valid=2389 test=4777
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: 8213572f4cf30257f3a998d86f0658ff668e30c27fc35a37b981d90923552bf9
Split SHA256: 194b49f7cac03b0081747e62cd5d422718e854d4350e200337c19b7663dca8dc
epoch 0: loss=1.7105 val_auprc=0.1026 val_auc=0.6247 val_f1_macro=0.0642 (best_epoch=0, best_auprc=0.1026)
epoch 1: loss=1.8547 val_auprc=0.0841 val_auc=0.5526 val_f1_macro=0.4822 (best_epoch=0, best_auprc=0.1026)
epoch 2: loss=1.6083 val_auprc=0.0707 val_auc=0.5035 val_f1_macro=0.4822 (best_epoch=0, best_auprc=0.1026)
epoch 3: loss=1.5618 val_auprc=0.1039 val_auc=0.6194 val_f1_macro=0.4822 (best_epoch=3, best_auprc=0.1039)
epoch 4: loss=1.4172 val_auprc=0.0985 val_auc=0.6087 val_f1_macro=0.4822 (best_epoch=3, best_auprc=0.1039)
epoch 5: loss=1.3789 val_auprc=0.0717 val_auc=0.4887 val_f1_macro=0.4822 (best_epoch=3, best_auprc=0.1039)
epoch 6: loss=1.3598 val_auprc=0.2716 val_auc=0.7549 val_f1_macro=0.4822 (best_epoch=6, best_auprc=0.2716)
epoch 7: loss=1.3249 val_auprc=0.2148 val_auc=0.7491 val_f1_macro=0.3240 (best_epoch=6, best_auprc=0.2716)
epoch 8: loss=1.2944 val_auprc=0.2307 val_auc=0.7538 val_f1_macro=0.3211 (best_epoch=6, best_auprc=0.2716)
epoch 9: loss=1.2535 val_auprc=0.2177 val_auc=0.7515 val_f1_macro=0.3184 (best_epoch=6, best_auprc=0.2716)
epoch 10: loss=1.2739 val_auprc=0.2781 val_auc=0.7659 val_f1_macro=0.3308 (best_epoch=10, best_auprc=0.2781)
epoch 11: loss=1.2212 val_auprc=0.2600 val_auc=0.7647 val_f1_macro=0.3555 (best_epoch=10, best_auprc=0.2781)
epoch 12: loss=1.3159 val_auprc=0.3248 val_auc=0.7781 val_f1_macro=0.6718 (best_epoch=12, best_auprc=0.3248)
epoch 13: loss=1.2459 val_auprc=0.3511 val_auc=0.7858 val_f1_macro=0.5109 (best_epoch=13, best_auprc=0.3511)
epoch 14: loss=1.2500 val_auprc=0.3506 val_auc=0.7925 val_f1_macro=0.4822 (best_epoch=13, best_auprc=0.3511)
epoch 15: loss=1.2441 val_auprc=0.3433 val_auc=0.7908 val_f1_macro=0.4943 (best_epoch=13, best_auprc=0.3511)
epoch 16: loss=1.2569 val_auprc=0.3330 val_auc=0.7887 val_f1_macro=0.6624 (best_epoch=13, best_auprc=0.3511)
epoch 17: loss=1.2137 val_auprc=0.3226 val_auc=0.7814 val_f1_macro=0.6569 (best_epoch=13, best_auprc=0.3511)
epoch 18: loss=1.1861 val_auprc=0.2959 val_auc=0.7741 val_f1_macro=0.3211 (best_epoch=13, best_auprc=0.3511)
epoch 19: loss=1.2080 val_auprc=0.2663 val_auc=0.7675 val_f1_macro=0.2538 (best_epoch=13, best_auprc=0.3511)
epoch 20: loss=1.2021 val_auprc=0.2568 val_auc=0.7653 val_f1_macro=0.2281 (best_epoch=13, best_auprc=0.3511)
epoch 21: loss=1.2093 val_auprc=0.2665 val_auc=0.7694 val_f1_macro=0.2516 (best_epoch=13, best_auprc=0.3511)
epoch 22: loss=1.1973 val_auprc=0.2869 val_auc=0.7780 val_f1_macro=0.3102 (best_epoch=13, best_auprc=0.3511)
epoch 23: loss=1.1665 val_auprc=0.3109 val_auc=0.7855 val_f1_macro=0.4919 (best_epoch=13, best_auprc=0.3511)
epoch 24: loss=1.1352 val_auprc=0.3305 val_auc=0.7979 val_f1_macro=0.6144 (best_epoch=13, best_auprc=0.3511)
epoch 25: loss=1.1006 val_auprc=0.3466 val_auc=0.8116 val_f1_macro=0.6181 (best_epoch=13, best_auprc=0.3511)
epoch 26: loss=1.1004 val_auprc=0.3584 val_auc=0.8245 val_f1_macro=0.6231 (best_epoch=26, best_auprc=0.3584)
epoch 27: loss=1.0823 val_auprc=0.3683 val_auc=0.8332 val_f1_macro=0.6441 (best_epoch=27, best_auprc=0.3683)
epoch 28: loss=1.0265 val_auprc=0.3835 val_auc=0.8359 val_f1_macro=0.6368 (best_epoch=28, best_auprc=0.3835)
epoch 29: loss=1.0727 val_auprc=0.3818 val_auc=0.8349 val_f1_macro=0.6102 (best_epoch=28, best_auprc=0.3835)
epoch 30: loss=0.9836 val_auprc=0.3886 val_auc=0.8385 val_f1_macro=0.6005 (best_epoch=30, best_auprc=0.3886)
epoch 31: loss=1.2504 val_auprc=0.3674 val_auc=0.8326 val_f1_macro=0.6428 (best_epoch=30, best_auprc=0.3886)
epoch 32: loss=1.1018 val_auprc=0.3561 val_auc=0.8350 val_f1_macro=0.5842 (best_epoch=30, best_auprc=0.3886)
epoch 33: loss=1.1143 val_auprc=0.3600 val_auc=0.8392 val_f1_macro=0.6007 (best_epoch=30, best_auprc=0.3886)
epoch 34: loss=1.0463 val_auprc=0.3710 val_auc=0.8422 val_f1_macro=0.6332 (best_epoch=30, best_auprc=0.3886)
epoch 35: loss=0.9287 val_auprc=0.3888 val_auc=0.8469 val_f1_macro=0.5945 (best_epoch=35, best_auprc=0.3888)
