=== Run: splitgnn_amazon_unified_tr30_seed2_a6000_20260917T232243Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/amazon/unified/tr30/seed_2
Split overlap checks: PASSED
train=3584 valid=2389 test=4777
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: ea402ebac69389cd4cb2f9786d1c15c0ee8858e3ef071c51157bedad0b463360
Split SHA256: 194b49f7cac03b0081747e62cd5d422718e854d4350e200337c19b7663dca8dc
epoch 0: loss=1.6915 val_auprc=0.0456 val_auc=0.3050 val_f1_macro=0.0642 (best_epoch=0, best_auprc=0.0456)
epoch 1: loss=1.6588 val_auprc=0.0591 val_auc=0.4644 val_f1_macro=0.2955 (best_epoch=1, best_auprc=0.0591)
epoch 2: loss=1.5494 val_auprc=0.1558 val_auc=0.7145 val_f1_macro=0.4822 (best_epoch=2, best_auprc=0.1558)
epoch 3: loss=1.5874 val_auprc=0.1677 val_auc=0.7283 val_f1_macro=0.3160 (best_epoch=3, best_auprc=0.1677)
epoch 4: loss=1.4507 val_auprc=0.2299 val_auc=0.7439 val_f1_macro=0.3020 (best_epoch=4, best_auprc=0.2299)
epoch 5: loss=1.4072 val_auprc=0.2638 val_auc=0.7655 val_f1_macro=0.3085 (best_epoch=5, best_auprc=0.2638)
epoch 6: loss=1.3792 val_auprc=0.1020 val_auc=0.6236 val_f1_macro=0.3157 (best_epoch=5, best_auprc=0.2638)
epoch 7: loss=1.3883 val_auprc=0.0922 val_auc=0.5988 val_f1_macro=0.3169 (best_epoch=5, best_auprc=0.2638)
epoch 8: loss=1.3906 val_auprc=0.1147 val_auc=0.6236 val_f1_macro=0.3166 (best_epoch=5, best_auprc=0.2638)
epoch 9: loss=1.3517 val_auprc=0.1321 val_auc=0.7106 val_f1_macro=0.3133 (best_epoch=5, best_auprc=0.2638)
epoch 10: loss=1.3103 val_auprc=0.1301 val_auc=0.6996 val_f1_macro=0.2781 (best_epoch=5, best_auprc=0.2638)
epoch 11: loss=1.6682 val_auprc=0.1449 val_auc=0.7234 val_f1_macro=0.3169 (best_epoch=5, best_auprc=0.2638)
epoch 12: loss=1.3122 val_auprc=0.0573 val_auc=0.4545 val_f1_macro=0.3199 (best_epoch=5, best_auprc=0.2638)
epoch 13: loss=1.3272 val_auprc=0.0577 val_auc=0.4587 val_f1_macro=0.3196 (best_epoch=5, best_auprc=0.2638)
epoch 14: loss=1.3282 val_auprc=0.0664 val_auc=0.5172 val_f1_macro=0.3166 (best_epoch=5, best_auprc=0.2638)
epoch 15: loss=1.3106 val_auprc=0.2807 val_auc=0.7723 val_f1_macro=0.3068 (best_epoch=15, best_auprc=0.2807)
epoch 16: loss=1.2964 val_auprc=0.2384 val_auc=0.7670 val_f1_macro=0.3021 (best_epoch=15, best_auprc=0.2807)
epoch 17: loss=1.2690 val_auprc=0.2328 val_auc=0.7659 val_f1_macro=0.3096 (best_epoch=15, best_auprc=0.2807)
epoch 18: loss=1.2893 val_auprc=0.2318 val_auc=0.7672 val_f1_macro=0.2961 (best_epoch=15, best_auprc=0.2807)
epoch 19: loss=1.2519 val_auprc=0.2324 val_auc=0.7706 val_f1_macro=0.2701 (best_epoch=15, best_auprc=0.2807)
epoch 20: loss=1.2355 val_auprc=0.2326 val_auc=0.7731 val_f1_macro=0.2829 (best_epoch=15, best_auprc=0.2807)
epoch 21: loss=1.2072 val_auprc=0.3220 val_auc=0.7839 val_f1_macro=0.3122 (best_epoch=21, best_auprc=0.3220)
epoch 22: loss=1.1918 val_auprc=0.3382 val_auc=0.7906 val_f1_macro=0.2921 (best_epoch=22, best_auprc=0.3382)
epoch 23: loss=1.1802 val_auprc=0.3629 val_auc=0.7982 val_f1_macro=0.3032 (best_epoch=23, best_auprc=0.3629)
epoch 24: loss=1.1145 val_auprc=0.3781 val_auc=0.8073 val_f1_macro=0.4121 (best_epoch=24, best_auprc=0.3781)
epoch 25: loss=1.0997 val_auprc=0.3873 val_auc=0.8163 val_f1_macro=0.5270 (best_epoch=25, best_auprc=0.3873)
epoch 26: loss=1.0771 val_auprc=0.3845 val_auc=0.8249 val_f1_macro=0.5777 (best_epoch=25, best_auprc=0.3873)
epoch 27: loss=1.0690 val_auprc=0.3909 val_auc=0.8341 val_f1_macro=0.6156 (best_epoch=27, best_auprc=0.3909)
epoch 28: loss=1.2160 val_auprc=0.3938 val_auc=0.8374 val_f1_macro=0.6515 (best_epoch=28, best_auprc=0.3938)
epoch 29: loss=1.1263 val_auprc=0.3945 val_auc=0.8406 val_f1_macro=0.6435 (best_epoch=29, best_auprc=0.3945)
epoch 30: loss=1.0415 val_auprc=0.3966 val_auc=0.8439 val_f1_macro=0.6457 (best_epoch=30, best_auprc=0.3966)
