=== Run: splitgnn_amazon_unified_tr30_seed72_a6000_20260917T234103Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/amazon/unified/tr30/seed_72
Split overlap checks: PASSED
train=3584 valid=2389 test=4777
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: 4a54719575cbda02b53a17d1c22a6f9f8b911f38168a270456b7c20080eaff29
Split SHA256: 194b49f7cac03b0081747e62cd5d422718e854d4350e200337c19b7663dca8dc
epoch 0: loss=1.7115 val_auprc=0.0838 val_auc=0.5163 val_f1_macro=0.0642 (best_epoch=0, best_auprc=0.0838)
epoch 1: loss=1.9513 val_auprc=0.0550 val_auc=0.3302 val_f1_macro=0.4822 (best_epoch=0, best_auprc=0.0838)
epoch 2: loss=1.6414 val_auprc=0.1400 val_auc=0.5986 val_f1_macro=0.4822 (best_epoch=2, best_auprc=0.1400)
epoch 3: loss=1.5497 val_auprc=0.1612 val_auc=0.6936 val_f1_macro=0.5072 (best_epoch=3, best_auprc=0.1612)
epoch 4: loss=1.4549 val_auprc=0.1495 val_auc=0.7043 val_f1_macro=0.3317 (best_epoch=3, best_auprc=0.1612)
epoch 5: loss=1.5692 val_auprc=0.1068 val_auc=0.6357 val_f1_macro=0.4822 (best_epoch=3, best_auprc=0.1612)
epoch 6: loss=1.4682 val_auprc=0.0865 val_auc=0.6091 val_f1_macro=0.4822 (best_epoch=3, best_auprc=0.1612)
epoch 7: loss=1.4452 val_auprc=0.1765 val_auc=0.7320 val_f1_macro=0.4822 (best_epoch=7, best_auprc=0.1765)
epoch 8: loss=1.4131 val_auprc=0.2284 val_auc=0.7772 val_f1_macro=0.4822 (best_epoch=8, best_auprc=0.2284)
epoch 9: loss=1.4304 val_auprc=0.1378 val_auc=0.6464 val_f1_macro=0.4822 (best_epoch=8, best_auprc=0.2284)
epoch 10: loss=1.3971 val_auprc=0.0415 val_auc=0.2203 val_f1_macro=0.4822 (best_epoch=8, best_auprc=0.2284)
epoch 11: loss=1.3585 val_auprc=0.0401 val_auc=0.1985 val_f1_macro=0.4747 (best_epoch=8, best_auprc=0.2284)
epoch 12: loss=1.3527 val_auprc=0.0466 val_auc=0.3157 val_f1_macro=0.1662 (best_epoch=8, best_auprc=0.2284)
epoch 13: loss=1.3524 val_auprc=0.0581 val_auc=0.4549 val_f1_macro=0.3222 (best_epoch=8, best_auprc=0.2284)
epoch 14: loss=1.3350 val_auprc=0.1237 val_auc=0.6891 val_f1_macro=0.5286 (best_epoch=8, best_auprc=0.2284)
epoch 15: loss=1.2953 val_auprc=0.1887 val_auc=0.7392 val_f1_macro=0.6125 (best_epoch=8, best_auprc=0.2284)
epoch 16: loss=1.2460 val_auprc=0.1645 val_auc=0.7296 val_f1_macro=0.1525 (best_epoch=8, best_auprc=0.2284)
epoch 17: loss=1.2539 val_auprc=0.2392 val_auc=0.7741 val_f1_macro=0.6501 (best_epoch=17, best_auprc=0.2392)
epoch 18: loss=1.1757 val_auprc=0.2662 val_auc=0.8056 val_f1_macro=0.6350 (best_epoch=18, best_auprc=0.2662)
epoch 19: loss=1.2876 val_auprc=0.2806 val_auc=0.8293 val_f1_macro=0.6504 (best_epoch=19, best_auprc=0.2806)
epoch 20: loss=1.3757 val_auprc=0.0580 val_auc=0.4296 val_f1_macro=0.1280 (best_epoch=19, best_auprc=0.2806)
epoch 21: loss=1.5254 val_auprc=0.0607 val_auc=0.4280 val_f1_macro=0.0699 (best_epoch=19, best_auprc=0.2806)
epoch 22: loss=1.4356 val_auprc=0.0873 val_auc=0.5733 val_f1_macro=0.0671 (best_epoch=19, best_auprc=0.2806)
epoch 23: loss=1.3524 val_auprc=0.1910 val_auc=0.7462 val_f1_macro=0.0676 (best_epoch=19, best_auprc=0.2806)
