=== Run: splitgnn_amazon_unified_tr40_seed72_a6000_20260917T231641Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/amazon/unified/tr40/seed_72
Split overlap checks: PASSED
train=4778 valid=2389 test=4777
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: 73bce08957ad408bc8fcc09b2a7c960834252eaa42ec22edb6c8df6997f0704d
Split SHA256: 194b49f7cac03b0081747e62cd5d422718e854d4350e200337c19b7663dca8dc
epoch 0: loss=1.7108 val_auprc=0.0881 val_auc=0.5832 val_f1_macro=0.0642 (best_epoch=0, best_auprc=0.0881)
epoch 1: loss=1.9128 val_auprc=0.0657 val_auc=0.4651 val_f1_macro=0.4822 (best_epoch=0, best_auprc=0.0881)
epoch 2: loss=1.6391 val_auprc=0.0722 val_auc=0.5090 val_f1_macro=0.4822 (best_epoch=0, best_auprc=0.0881)
epoch 3: loss=1.5651 val_auprc=0.1986 val_auc=0.7302 val_f1_macro=0.4822 (best_epoch=3, best_auprc=0.1986)
epoch 4: loss=1.4686 val_auprc=0.0642 val_auc=0.4930 val_f1_macro=0.4822 (best_epoch=3, best_auprc=0.1986)
epoch 5: loss=1.4309 val_auprc=0.0942 val_auc=0.5626 val_f1_macro=0.4822 (best_epoch=3, best_auprc=0.1986)
epoch 6: loss=1.3991 val_auprc=0.2560 val_auc=0.6951 val_f1_macro=0.4822 (best_epoch=6, best_auprc=0.2560)
epoch 7: loss=1.3716 val_auprc=0.2158 val_auc=0.7535 val_f1_macro=0.3466 (best_epoch=6, best_auprc=0.2560)
epoch 8: loss=1.3335 val_auprc=0.2449 val_auc=0.7590 val_f1_macro=0.3231 (best_epoch=6, best_auprc=0.2560)
epoch 9: loss=1.3019 val_auprc=0.2774 val_auc=0.7670 val_f1_macro=0.3331 (best_epoch=9, best_auprc=0.2774)
epoch 10: loss=1.2648 val_auprc=0.3242 val_auc=0.7741 val_f1_macro=0.3723 (best_epoch=10, best_auprc=0.3242)
epoch 11: loss=1.2347 val_auprc=0.3473 val_auc=0.7816 val_f1_macro=0.6113 (best_epoch=11, best_auprc=0.3473)
