=== Run: splitgnn_comp_unified_tr10_seed72_a6000_20260918T004846Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/comp/unified/tr10/seed_72
Split overlap checks: PASSED
train=532 valid=1064 test=2127
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: 6899cd4801d8eeaf05658d7b8b4aee5cffa9c14f99ed29bfbba0fe285c191670
Split SHA256: 193f52954bc953878d02f1334a94c4137fb8c2a7e3d37d0aaff51b9f11f1ae02
epoch 0: loss=1.7169 val_auprc=0.0937 val_auc=0.4529 val_f1_macro=0.4722 (best_epoch=0, best_auprc=0.0937)
epoch 1: loss=1.7191 val_auprc=0.1106 val_auc=0.4955 val_f1_macro=0.4722 (best_epoch=1, best_auprc=0.1106)
epoch 2: loss=1.7042 val_auprc=0.1121 val_auc=0.4985 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 3: loss=1.7013 val_auprc=0.1103 val_auc=0.4979 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 4: loss=1.7061 val_auprc=0.1101 val_auc=0.5031 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 5: loss=1.7134 val_auprc=0.1088 val_auc=0.4968 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 6: loss=1.7076 val_auprc=0.1002 val_auc=0.4867 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 7: loss=1.7209 val_auprc=0.0986 val_auc=0.4678 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 8: loss=1.7058 val_auprc=0.0967 val_auc=0.4607 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 9: loss=1.7180 val_auprc=0.0961 val_auc=0.4571 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 10: loss=1.7093 val_auprc=0.0968 val_auc=0.4536 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 11: loss=1.7024 val_auprc=0.0981 val_auc=0.4508 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 12: loss=1.7054 val_auprc=0.0979 val_auc=0.4484 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 13: loss=1.6995 val_auprc=0.0981 val_auc=0.4468 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 14: loss=1.7041 val_auprc=0.0981 val_auc=0.4456 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 15: loss=1.7025 val_auprc=0.0985 val_auc=0.4451 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 16: loss=1.7006 val_auprc=0.0981 val_auc=0.4438 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 17: loss=1.7073 val_auprc=0.0981 val_auc=0.4406 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 18: loss=1.6916 val_auprc=0.0972 val_auc=0.4380 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 19: loss=1.6990 val_auprc=0.0963 val_auc=0.4362 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 20: loss=1.6956 val_auprc=0.0958 val_auc=0.4360 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 21: loss=1.7013 val_auprc=0.0955 val_auc=0.4357 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
epoch 22: loss=1.7090 val_auprc=0.0960 val_auc=0.4357 val_f1_macro=0.4722 (best_epoch=2, best_auprc=0.1121)
Early stopping at epoch 22 (no improvement for 20 epochs)
Selected threshold (best val macro-F1): 0.45 (val F1=0.4722)
TEST metrics: {'auprc': 0.13093764926727963, 'auc': 0.5707822704751896, 'f1_macro': 0.47220843672456575, 'recall': 0.0, 'threshold_used': 0.45, 'best_epoch': 2}
