=== Run: splitgnn_comp_unified_tr20_seed42_a6000_20260918T004803Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/comp/unified/tr20/seed_42
Split overlap checks: PASSED
train=1064 valid=1064 test=2127
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: a3e848715ec3a71b6d84526578a09b48cb88e5b9f2a03cc70467fb030d2b9f5c
Split SHA256: 193f52954bc953878d02f1334a94c4137fb8c2a7e3d37d0aaff51b9f11f1ae02
epoch 0: loss=1.6914 val_auprc=0.1044 val_auc=0.4756 val_f1_macro=0.0952 (best_epoch=0, best_auprc=0.1044)
epoch 1: loss=1.7029 val_auprc=0.1031 val_auc=0.4816 val_f1_macro=0.0952 (best_epoch=0, best_auprc=0.1044)
epoch 2: loss=1.6856 val_auprc=0.1008 val_auc=0.4655 val_f1_macro=0.0952 (best_epoch=0, best_auprc=0.1044)
epoch 3: loss=1.6892 val_auprc=0.0972 val_auc=0.4559 val_f1_macro=0.0952 (best_epoch=0, best_auprc=0.1044)
epoch 4: loss=1.6905 val_auprc=0.0994 val_auc=0.4616 val_f1_macro=0.0952 (best_epoch=0, best_auprc=0.1044)
epoch 5: loss=1.6960 val_auprc=0.1005 val_auc=0.4645 val_f1_macro=0.0952 (best_epoch=0, best_auprc=0.1044)
epoch 6: loss=1.6970 val_auprc=0.1012 val_auc=0.4659 val_f1_macro=0.0952 (best_epoch=0, best_auprc=0.1044)
epoch 7: loss=1.6832 val_auprc=0.1015 val_auc=0.4665 val_f1_macro=0.0952 (best_epoch=0, best_auprc=0.1044)
epoch 8: loss=1.7088 val_auprc=0.1021 val_auc=0.4675 val_f1_macro=0.0952 (best_epoch=0, best_auprc=0.1044)
epoch 9: loss=1.6887 val_auprc=0.1043 val_auc=0.4744 val_f1_macro=0.0952 (best_epoch=0, best_auprc=0.1044)
epoch 10: loss=1.6849 val_auprc=0.1031 val_auc=0.4735 val_f1_macro=0.0952 (best_epoch=0, best_auprc=0.1044)
epoch 11: loss=1.6934 val_auprc=0.1002 val_auc=0.4737 val_f1_macro=0.0952 (best_epoch=0, best_auprc=0.1044)
epoch 12: loss=1.6936 val_auprc=0.1007 val_auc=0.4745 val_f1_macro=0.0975 (best_epoch=0, best_auprc=0.1044)
epoch 13: loss=1.6791 val_auprc=0.1012 val_auc=0.4752 val_f1_macro=0.1842 (best_epoch=0, best_auprc=0.1044)
epoch 14: loss=1.6835 val_auprc=0.1020 val_auc=0.4764 val_f1_macro=0.4685 (best_epoch=0, best_auprc=0.1044)
epoch 15: loss=1.6909 val_auprc=0.1031 val_auc=0.4783 val_f1_macro=0.4722 (best_epoch=0, best_auprc=0.1044)
epoch 16: loss=1.6796 val_auprc=0.1046 val_auc=0.4804 val_f1_macro=0.4722 (best_epoch=16, best_auprc=0.1046)
epoch 17: loss=1.6911 val_auprc=0.1061 val_auc=0.4821 val_f1_macro=0.4722 (best_epoch=17, best_auprc=0.1061)
epoch 18: loss=1.6899 val_auprc=0.1073 val_auc=0.4840 val_f1_macro=0.4722 (best_epoch=18, best_auprc=0.1073)
epoch 19: loss=1.6893 val_auprc=0.1092 val_auc=0.4864 val_f1_macro=0.4722 (best_epoch=19, best_auprc=0.1092)
epoch 20: loss=1.6809 val_auprc=0.1104 val_auc=0.4882 val_f1_macro=0.4722 (best_epoch=20, best_auprc=0.1104)
epoch 21: loss=1.6870 val_auprc=0.1122 val_auc=0.4907 val_f1_macro=0.4722 (best_epoch=21, best_auprc=0.1122)
epoch 22: loss=1.6832 val_auprc=0.1132 val_auc=0.4930 val_f1_macro=0.4722 (best_epoch=22, best_auprc=0.1132)
epoch 23: loss=1.6921 val_auprc=0.1140 val_auc=0.4953 val_f1_macro=0.4722 (best_epoch=23, best_auprc=0.1140)
epoch 24: loss=1.6890 val_auprc=0.1149 val_auc=0.4974 val_f1_macro=0.4722 (best_epoch=24, best_auprc=0.1149)
epoch 25: loss=1.6965 val_auprc=0.1156 val_auc=0.4986 val_f1_macro=0.4722 (best_epoch=25, best_auprc=0.1156)
epoch 26: loss=1.6837 val_auprc=0.1157 val_auc=0.4997 val_f1_macro=0.4722 (best_epoch=26, best_auprc=0.1157)
epoch 27: loss=1.6919 val_auprc=0.1161 val_auc=0.5011 val_f1_macro=0.4722 (best_epoch=27, best_auprc=0.1161)
epoch 28: loss=1.6864 val_auprc=0.1162 val_auc=0.5026 val_f1_macro=0.4722 (best_epoch=28, best_auprc=0.1162)
epoch 29: loss=1.6762 val_auprc=0.1166 val_auc=0.5038 val_f1_macro=0.4722 (best_epoch=29, best_auprc=0.1166)
epoch 30: loss=1.6992 val_auprc=0.1169 val_auc=0.5051 val_f1_macro=0.4722 (best_epoch=30, best_auprc=0.1169)
epoch 31: loss=1.6741 val_auprc=0.1171 val_auc=0.5064 val_f1_macro=0.4722 (best_epoch=31, best_auprc=0.1171)
epoch 32: loss=1.6867 val_auprc=0.1174 val_auc=0.5077 val_f1_macro=0.4722 (best_epoch=32, best_auprc=0.1174)
epoch 33: loss=1.6827 val_auprc=0.1172 val_auc=0.5084 val_f1_macro=0.4722 (best_epoch=32, best_auprc=0.1174)
epoch 34: loss=1.6760 val_auprc=0.1174 val_auc=0.5088 val_f1_macro=0.4720 (best_epoch=34, best_auprc=0.1174)
epoch 35: loss=1.6778 val_auprc=0.1174 val_auc=0.5091 val_f1_macro=0.4827 (best_epoch=34, best_auprc=0.1174)
epoch 36: loss=1.6772 val_auprc=0.1172 val_auc=0.5091 val_f1_macro=0.2815 (best_epoch=34, best_auprc=0.1174)
epoch 37: loss=1.6752 val_auprc=0.1171 val_auc=0.5091 val_f1_macro=0.2765 (best_epoch=34, best_auprc=0.1174)
epoch 38: loss=1.6726 val_auprc=0.1172 val_auc=0.5090 val_f1_macro=0.2697 (best_epoch=34, best_auprc=0.1174)
epoch 39: loss=1.6763 val_auprc=0.1172 val_auc=0.5090 val_f1_macro=0.1917 (best_epoch=34, best_auprc=0.1174)
epoch 40: loss=1.6788 val_auprc=0.1172 val_auc=0.5090 val_f1_macro=0.1704 (best_epoch=34, best_auprc=0.1174)
epoch 41: loss=1.6870 val_auprc=0.1172 val_auc=0.5091 val_f1_macro=0.1385 (best_epoch=34, best_auprc=0.1174)
epoch 42: loss=1.6772 val_auprc=0.1173 val_auc=0.5090 val_f1_macro=0.1253 (best_epoch=34, best_auprc=0.1174)
epoch 43: loss=1.6719 val_auprc=0.1174 val_auc=0.5095 val_f1_macro=0.1288 (best_epoch=34, best_auprc=0.1174)
epoch 44: loss=1.6727 val_auprc=0.1175 val_auc=0.5098 val_f1_macro=0.1375 (best_epoch=44, best_auprc=0.1175)
epoch 45: loss=1.6635 val_auprc=0.1174 val_auc=0.5099 val_f1_macro=0.1585 (best_epoch=44, best_auprc=0.1175)
epoch 46: loss=1.6735 val_auprc=0.1174 val_auc=0.5100 val_f1_macro=0.1706 (best_epoch=44, best_auprc=0.1175)
epoch 47: loss=1.6742 val_auprc=0.1174 val_auc=0.5097 val_f1_macro=0.1880 (best_epoch=44, best_auprc=0.1175)
epoch 48: loss=1.6690 val_auprc=0.1172 val_auc=0.5091 val_f1_macro=0.2455 (best_epoch=44, best_auprc=0.1175)
epoch 49: loss=1.6784 val_auprc=0.1170 val_auc=0.5085 val_f1_macro=0.2670 (best_epoch=44, best_auprc=0.1175)
epoch 50: loss=1.6739 val_auprc=0.1169 val_auc=0.5081 val_f1_macro=0.2716 (best_epoch=44, best_auprc=0.1175)
epoch 51: loss=1.6669 val_auprc=0.1167 val_auc=0.5076 val_f1_macro=0.2727 (best_epoch=44, best_auprc=0.1175)
epoch 52: loss=1.6739 val_auprc=0.1165 val_auc=0.5068 val_f1_macro=0.2750 (best_epoch=44, best_auprc=0.1175)
epoch 53: loss=1.6579 val_auprc=0.1163 val_auc=0.5062 val_f1_macro=0.2765 (best_epoch=44, best_auprc=0.1175)
epoch 54: loss=1.6517 val_auprc=0.1162 val_auc=0.5060 val_f1_macro=0.2753 (best_epoch=44, best_auprc=0.1175)
epoch 55: loss=1.6570 val_auprc=0.1145 val_auc=0.5041 val_f1_macro=0.2820 (best_epoch=44, best_auprc=0.1175)
epoch 56: loss=1.6618 val_auprc=0.1175 val_auc=0.5052 val_f1_macro=0.3041 (best_epoch=56, best_auprc=0.1175)
epoch 57: loss=1.6649 val_auprc=0.1153 val_auc=0.5012 val_f1_macro=0.3504 (best_epoch=56, best_auprc=0.1175)
epoch 58: loss=1.6785 val_auprc=0.1150 val_auc=0.5021 val_f1_macro=0.3885 (best_epoch=56, best_auprc=0.1175)
epoch 59: loss=1.6492 val_auprc=0.1153 val_auc=0.5001 val_f1_macro=0.4036 (best_epoch=56, best_auprc=0.1175)
epoch 60: loss=1.6845 val_auprc=0.1160 val_auc=0.5002 val_f1_macro=0.4520 (best_epoch=56, best_auprc=0.1175)
epoch 61: loss=1.6568 val_auprc=0.1175 val_auc=0.5021 val_f1_macro=0.4869 (best_epoch=56, best_auprc=0.1175)
epoch 62: loss=1.6602 val_auprc=0.1189 val_auc=0.5026 val_f1_macro=0.4924 (best_epoch=62, best_auprc=0.1189)
epoch 63: loss=1.6486 val_auprc=0.1208 val_auc=0.5009 val_f1_macro=0.4841 (best_epoch=63, best_auprc=0.1208)
epoch 64: loss=1.6597 val_auprc=0.1216 val_auc=0.5005 val_f1_macro=0.4847 (best_epoch=64, best_auprc=0.1216)
epoch 65: loss=1.6599 val_auprc=0.1216 val_auc=0.5007 val_f1_macro=0.4685 (best_epoch=64, best_auprc=0.1216)
epoch 66: loss=1.6524 val_auprc=0.1188 val_auc=0.5017 val_f1_macro=0.4441 (best_epoch=64, best_auprc=0.1216)
epoch 67: loss=1.6478 val_auprc=0.1187 val_auc=0.5003 val_f1_macro=0.4016 (best_epoch=64, best_auprc=0.1216)
epoch 68: loss=1.6519 val_auprc=0.1181 val_auc=0.4996 val_f1_macro=0.3872 (best_epoch=64, best_auprc=0.1216)
epoch 69: loss=1.6360 val_auprc=0.1173 val_auc=0.4994 val_f1_macro=0.3543 (best_epoch=64, best_auprc=0.1216)
epoch 70: loss=1.6619 val_auprc=0.1168 val_auc=0.5006 val_f1_macro=0.3279 (best_epoch=64, best_auprc=0.1216)
epoch 71: loss=1.6419 val_auprc=0.1163 val_auc=0.5007 val_f1_macro=0.3161 (best_epoch=64, best_auprc=0.1216)
epoch 72: loss=1.6462 val_auprc=0.1158 val_auc=0.5008 val_f1_macro=0.3203 (best_epoch=64, best_auprc=0.1216)
