=== Run: splitgnn_comp_unified_tr30_seed42_a6000_20260918T004730Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/comp/unified/tr30/seed_42
Split overlap checks: PASSED
train=1594 valid=1064 test=2127
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: 3fd2a0da675b76147c45aa7ec4ddb789f99ddeddc2410150fb3b2830b0918562
Split SHA256: 193f52954bc953878d02f1334a94c4137fb8c2a7e3d37d0aaff51b9f11f1ae02
epoch 0: loss=1.6866 val_auprc=0.1045 val_auc=0.4818 val_f1_macro=0.0952 (best_epoch=0, best_auprc=0.1045)
epoch 1: loss=1.7022 val_auprc=0.1072 val_auc=0.4960 val_f1_macro=0.0952 (best_epoch=1, best_auprc=0.1072)
epoch 2: loss=1.6897 val_auprc=0.1041 val_auc=0.4715 val_f1_macro=0.0952 (best_epoch=1, best_auprc=0.1072)
epoch 3: loss=1.6846 val_auprc=0.0973 val_auc=0.4521 val_f1_macro=0.0952 (best_epoch=1, best_auprc=0.1072)
epoch 4: loss=1.6881 val_auprc=0.0957 val_auc=0.4473 val_f1_macro=0.0952 (best_epoch=1, best_auprc=0.1072)
epoch 5: loss=1.6935 val_auprc=0.0956 val_auc=0.4478 val_f1_macro=0.0952 (best_epoch=1, best_auprc=0.1072)
epoch 6: loss=1.6957 val_auprc=0.0963 val_auc=0.4504 val_f1_macro=0.0952 (best_epoch=1, best_auprc=0.1072)
epoch 7: loss=1.6864 val_auprc=0.0973 val_auc=0.4554 val_f1_macro=0.0952 (best_epoch=1, best_auprc=0.1072)
epoch 8: loss=1.6925 val_auprc=0.0992 val_auc=0.4665 val_f1_macro=0.0952 (best_epoch=1, best_auprc=0.1072)
epoch 9: loss=1.6927 val_auprc=0.1005 val_auc=0.4707 val_f1_macro=0.0952 (best_epoch=1, best_auprc=0.1072)
epoch 10: loss=1.6966 val_auprc=0.1060 val_auc=0.4799 val_f1_macro=0.0952 (best_epoch=1, best_auprc=0.1072)
epoch 11: loss=1.6893 val_auprc=0.1078 val_auc=0.4906 val_f1_macro=0.0952 (best_epoch=11, best_auprc=0.1078)
