=== Run: splitgnn_tfinance_unified_tr20_seed2_a6000_20260918T015712Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/tfinance/unified/tr20/seed_2
Split overlap checks: PASSED
train=7870 valid=7872 test=15743
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: 17f95d2033bf7de1a4cf06342a1bf32d21797dbe38a931d57442262042e405d7
Split SHA256: e7f78da52dc324c283f864744cd85105fe1c5d0feab065727930a50ba1c1971c
epoch 0: loss=1.6962 val_auprc=0.6670 val_auc=0.8768 val_f1_macro=0.2245 (best_epoch=0, best_auprc=0.6670)
epoch 1: loss=1.6749 val_auprc=0.7144 val_auc=0.8786 val_f1_macro=0.6468 (best_epoch=1, best_auprc=0.7144)
epoch 2: loss=1.6564 val_auprc=0.7180 val_auc=0.8817 val_f1_macro=0.6732 (best_epoch=2, best_auprc=0.7180)
epoch 3: loss=1.6309 val_auprc=0.7148 val_auc=0.8825 val_f1_macro=0.6467 (best_epoch=2, best_auprc=0.7180)
epoch 4: loss=1.6001 val_auprc=0.7081 val_auc=0.8822 val_f1_macro=0.6223 (best_epoch=2, best_auprc=0.7180)
epoch 5: loss=1.5704 val_auprc=0.6993 val_auc=0.8812 val_f1_macro=0.6168 (best_epoch=2, best_auprc=0.7180)
epoch 6: loss=1.5367 val_auprc=0.6942 val_auc=0.8795 val_f1_macro=0.6257 (best_epoch=2, best_auprc=0.7180)
epoch 7: loss=1.5088 val_auprc=0.6859 val_auc=0.8780 val_f1_macro=0.6309 (best_epoch=2, best_auprc=0.7180)
epoch 8: loss=1.4727 val_auprc=0.6698 val_auc=0.8774 val_f1_macro=0.6549 (best_epoch=2, best_auprc=0.7180)
epoch 9: loss=1.4196 val_auprc=0.6550 val_auc=0.8777 val_f1_macro=0.6789 (best_epoch=2, best_auprc=0.7180)
epoch 10: loss=1.3847 val_auprc=0.6483 val_auc=0.8794 val_f1_macro=0.6962 (best_epoch=2, best_auprc=0.7180)
epoch 11: loss=1.3503 val_auprc=0.6467 val_auc=0.8820 val_f1_macro=0.6966 (best_epoch=2, best_auprc=0.7180)
epoch 12: loss=1.3293 val_auprc=0.6405 val_auc=0.8853 val_f1_macro=0.6879 (best_epoch=2, best_auprc=0.7180)
epoch 13: loss=1.2797 val_auprc=0.6272 val_auc=0.8889 val_f1_macro=0.6678 (best_epoch=2, best_auprc=0.7180)
epoch 14: loss=1.2531 val_auprc=0.5993 val_auc=0.8926 val_f1_macro=0.6478 (best_epoch=2, best_auprc=0.7180)
epoch 15: loss=1.2054 val_auprc=0.5700 val_auc=0.8959 val_f1_macro=0.6266 (best_epoch=2, best_auprc=0.7180)
epoch 16: loss=1.1708 val_auprc=0.5450 val_auc=0.8987 val_f1_macro=0.6100 (best_epoch=2, best_auprc=0.7180)
epoch 17: loss=1.1804 val_auprc=0.5322 val_auc=0.9019 val_f1_macro=0.6102 (best_epoch=2, best_auprc=0.7180)
epoch 18: loss=1.1201 val_auprc=0.5511 val_auc=0.9062 val_f1_macro=0.6180 (best_epoch=2, best_auprc=0.7180)
epoch 19: loss=1.0936 val_auprc=0.5965 val_auc=0.9114 val_f1_macro=0.6363 (best_epoch=2, best_auprc=0.7180)
epoch 20: loss=1.0644 val_auprc=0.6474 val_auc=0.9172 val_f1_macro=0.6592 (best_epoch=2, best_auprc=0.7180)
epoch 21: loss=1.0682 val_auprc=0.7183 val_auc=0.9233 val_f1_macro=0.6909 (best_epoch=21, best_auprc=0.7183)
epoch 22: loss=0.9802 val_auprc=0.7460 val_auc=0.9291 val_f1_macro=0.7153 (best_epoch=22, best_auprc=0.7460)
epoch 23: loss=0.9514 val_auprc=0.7588 val_auc=0.9340 val_f1_macro=0.7287 (best_epoch=23, best_auprc=0.7588)
epoch 24: loss=0.9410 val_auprc=0.7698 val_auc=0.9383 val_f1_macro=0.7329 (best_epoch=24, best_auprc=0.7698)
epoch 25: loss=0.9122 val_auprc=0.7823 val_auc=0.9424 val_f1_macro=0.7377 (best_epoch=25, best_auprc=0.7823)
epoch 26: loss=0.8716 val_auprc=0.7965 val_auc=0.9462 val_f1_macro=0.7453 (best_epoch=26, best_auprc=0.7965)
epoch 27: loss=0.8445 val_auprc=0.8110 val_auc=0.9494 val_f1_macro=0.7578 (best_epoch=27, best_auprc=0.8110)
epoch 28: loss=0.8472 val_auprc=0.8254 val_auc=0.9519 val_f1_macro=0.7757 (best_epoch=28, best_auprc=0.8254)
epoch 29: loss=0.8224 val_auprc=0.8363 val_auc=0.9532 val_f1_macro=0.7886 (best_epoch=29, best_auprc=0.8363)
epoch 30: loss=0.8165 val_auprc=0.8436 val_auc=0.9537 val_f1_macro=0.7975 (best_epoch=30, best_auprc=0.8436)
epoch 31: loss=0.7994 val_auprc=0.8475 val_auc=0.9539 val_f1_macro=0.7971 (best_epoch=31, best_auprc=0.8475)
epoch 32: loss=0.7955 val_auprc=0.8496 val_auc=0.9540 val_f1_macro=0.7958 (best_epoch=32, best_auprc=0.8496)
epoch 33: loss=0.7800 val_auprc=0.8486 val_auc=0.9542 val_f1_macro=0.7824 (best_epoch=32, best_auprc=0.8496)
epoch 34: loss=0.7756 val_auprc=0.8464 val_auc=0.9543 val_f1_macro=0.7675 (best_epoch=32, best_auprc=0.8496)
epoch 35: loss=0.7531 val_auprc=0.8441 val_auc=0.9544 val_f1_macro=0.7540 (best_epoch=32, best_auprc=0.8496)
epoch 36: loss=0.7642 val_auprc=0.8431 val_auc=0.9545 val_f1_macro=0.7530 (best_epoch=32, best_auprc=0.8496)
epoch 37: loss=0.7608 val_auprc=0.8449 val_auc=0.9547 val_f1_macro=0.7625 (best_epoch=32, best_auprc=0.8496)
epoch 38: loss=0.7654 val_auprc=0.8462 val_auc=0.9550 val_f1_macro=0.7688 (best_epoch=32, best_auprc=0.8496)
epoch 39: loss=0.7706 val_auprc=0.8473 val_auc=0.9553 val_f1_macro=0.7694 (best_epoch=32, best_auprc=0.8496)
epoch 40: loss=0.7331 val_auprc=0.8480 val_auc=0.9556 val_f1_macro=0.7687 (best_epoch=32, best_auprc=0.8496)
epoch 41: loss=0.7540 val_auprc=0.8489 val_auc=0.9559 val_f1_macro=0.7636 (best_epoch=32, best_auprc=0.8496)
epoch 42: loss=0.7361 val_auprc=0.8507 val_auc=0.9562 val_f1_macro=0.7653 (best_epoch=42, best_auprc=0.8507)
epoch 43: loss=0.7439 val_auprc=0.8521 val_auc=0.9565 val_f1_macro=0.7670 (best_epoch=43, best_auprc=0.8521)
epoch 44: loss=0.7266 val_auprc=0.8532 val_auc=0.9568 val_f1_macro=0.7657 (best_epoch=44, best_auprc=0.8532)
epoch 45: loss=0.7343 val_auprc=0.8534 val_auc=0.9570 val_f1_macro=0.7643 (best_epoch=45, best_auprc=0.8534)
epoch 46: loss=0.7327 val_auprc=0.8534 val_auc=0.9571 val_f1_macro=0.7592 (best_epoch=45, best_auprc=0.8534)
epoch 47: loss=0.7221 val_auprc=0.8549 val_auc=0.9573 val_f1_macro=0.7652 (best_epoch=47, best_auprc=0.8549)
epoch 48: loss=0.7044 val_auprc=0.8549 val_auc=0.9574 val_f1_macro=0.7609 (best_epoch=48, best_auprc=0.8549)
