=== Run: splitgnn_tfinance_unified_tr30_seed2_a6000_20260918T013313Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/tfinance/unified/tr30/seed_2
Split overlap checks: PASSED
train=11807 valid=7872 test=15743
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: adc774a9ace41ba62edb80f81d64749ea5ac080a62acff23ae76256096889773
Split SHA256: e7f78da52dc324c283f864744cd85105fe1c5d0feab065727930a50ba1c1971c
epoch 0: loss=1.6965 val_auprc=0.6592 val_auc=0.8733 val_f1_macro=0.2844 (best_epoch=0, best_auprc=0.6592)
epoch 1: loss=1.6767 val_auprc=0.7107 val_auc=0.8770 val_f1_macro=0.6577 (best_epoch=1, best_auprc=0.7107)
epoch 2: loss=1.6566 val_auprc=0.7170 val_auc=0.8809 val_f1_macro=0.6739 (best_epoch=2, best_auprc=0.7170)
epoch 3: loss=1.6338 val_auprc=0.7135 val_auc=0.8823 val_f1_macro=0.6392 (best_epoch=2, best_auprc=0.7170)
epoch 4: loss=1.6096 val_auprc=0.7069 val_auc=0.8822 val_f1_macro=0.6238 (best_epoch=2, best_auprc=0.7170)
epoch 5: loss=1.5779 val_auprc=0.6991 val_auc=0.8815 val_f1_macro=0.6212 (best_epoch=2, best_auprc=0.7170)
epoch 6: loss=1.5436 val_auprc=0.6941 val_auc=0.8799 val_f1_macro=0.6300 (best_epoch=2, best_auprc=0.7170)
epoch 7: loss=1.5156 val_auprc=0.6863 val_auc=0.8789 val_f1_macro=0.6334 (best_epoch=2, best_auprc=0.7170)
epoch 8: loss=1.4810 val_auprc=0.6706 val_auc=0.8784 val_f1_macro=0.6538 (best_epoch=2, best_auprc=0.7170)
epoch 9: loss=1.4352 val_auprc=0.6574 val_auc=0.8792 val_f1_macro=0.6793 (best_epoch=2, best_auprc=0.7170)
epoch 10: loss=1.4005 val_auprc=0.6425 val_auc=0.8812 val_f1_macro=0.6910 (best_epoch=2, best_auprc=0.7170)
epoch 11: loss=1.3723 val_auprc=0.6386 val_auc=0.8843 val_f1_macro=0.6904 (best_epoch=2, best_auprc=0.7170)
epoch 12: loss=1.3432 val_auprc=0.6294 val_auc=0.8879 val_f1_macro=0.6774 (best_epoch=2, best_auprc=0.7170)
epoch 13: loss=1.2996 val_auprc=0.6085 val_auc=0.8916 val_f1_macro=0.6577 (best_epoch=2, best_auprc=0.7170)
epoch 14: loss=1.2688 val_auprc=0.5822 val_auc=0.8948 val_f1_macro=0.6373 (best_epoch=2, best_auprc=0.7170)
epoch 15: loss=1.2390 val_auprc=0.5601 val_auc=0.8977 val_f1_macro=0.6155 (best_epoch=2, best_auprc=0.7170)
epoch 16: loss=1.2435 val_auprc=0.5364 val_auc=0.9007 val_f1_macro=0.6126 (best_epoch=2, best_auprc=0.7170)
epoch 17: loss=1.1798 val_auprc=0.5292 val_auc=0.9043 val_f1_macro=0.6171 (best_epoch=2, best_auprc=0.7170)
epoch 18: loss=1.1565 val_auprc=0.5670 val_auc=0.9090 val_f1_macro=0.6266 (best_epoch=2, best_auprc=0.7170)
epoch 19: loss=1.1326 val_auprc=0.6193 val_auc=0.9144 val_f1_macro=0.6417 (best_epoch=2, best_auprc=0.7170)
epoch 20: loss=1.1002 val_auprc=0.6791 val_auc=0.9199 val_f1_macro=0.6600 (best_epoch=2, best_auprc=0.7170)
epoch 21: loss=1.0496 val_auprc=0.7301 val_auc=0.9254 val_f1_macro=0.6784 (best_epoch=21, best_auprc=0.7301)
epoch 22: loss=1.0135 val_auprc=0.7501 val_auc=0.9304 val_f1_macro=0.6891 (best_epoch=22, best_auprc=0.7501)
epoch 23: loss=0.9900 val_auprc=0.7631 val_auc=0.9351 val_f1_macro=0.6974 (best_epoch=23, best_auprc=0.7631)
epoch 24: loss=0.9620 val_auprc=0.7755 val_auc=0.9396 val_f1_macro=0.7051 (best_epoch=24, best_auprc=0.7755)
epoch 25: loss=0.9506 val_auprc=0.7907 val_auc=0.9443 val_f1_macro=0.7211 (best_epoch=25, best_auprc=0.7907)
epoch 26: loss=0.9129 val_auprc=0.8079 val_auc=0.9487 val_f1_macro=0.7487 (best_epoch=26, best_auprc=0.8079)
epoch 27: loss=0.8940 val_auprc=0.8263 val_auc=0.9522 val_f1_macro=0.7775 (best_epoch=27, best_auprc=0.8263)
epoch 28: loss=0.8888 val_auprc=0.8425 val_auc=0.9540 val_f1_macro=0.8077 (best_epoch=28, best_auprc=0.8425)
epoch 29: loss=0.8619 val_auprc=0.8518 val_auc=0.9543 val_f1_macro=0.8206 (best_epoch=29, best_auprc=0.8518)
epoch 30: loss=0.8523 val_auprc=0.8550 val_auc=0.9543 val_f1_macro=0.8027 (best_epoch=30, best_auprc=0.8550)
epoch 31: loss=0.8350 val_auprc=0.8540 val_auc=0.9545 val_f1_macro=0.7695 (best_epoch=30, best_auprc=0.8550)
epoch 32: loss=0.8359 val_auprc=0.8531 val_auc=0.9547 val_f1_macro=0.7527 (best_epoch=30, best_auprc=0.8550)
epoch 33: loss=0.8291 val_auprc=0.8531 val_auc=0.9549 val_f1_macro=0.7530 (best_epoch=30, best_auprc=0.8550)
epoch 34: loss=0.8354 val_auprc=0.8549 val_auc=0.9551 val_f1_macro=0.7755 (best_epoch=30, best_auprc=0.8550)
epoch 35: loss=0.8106 val_auprc=0.8571 val_auc=0.9555 val_f1_macro=0.7965 (best_epoch=35, best_auprc=0.8571)
epoch 36: loss=0.7988 val_auprc=0.8575 val_auc=0.9559 val_f1_macro=0.8059 (best_epoch=36, best_auprc=0.8575)
epoch 37: loss=0.8120 val_auprc=0.8571 val_auc=0.9563 val_f1_macro=0.8020 (best_epoch=36, best_auprc=0.8575)
epoch 38: loss=0.7997 val_auprc=0.8534 val_auc=0.9565 val_f1_macro=0.7801 (best_epoch=36, best_auprc=0.8575)
epoch 39: loss=0.8072 val_auprc=0.8499 val_auc=0.9566 val_f1_macro=0.7587 (best_epoch=36, best_auprc=0.8575)
epoch 40: loss=0.7980 val_auprc=0.8495 val_auc=0.9568 val_f1_macro=0.7513 (best_epoch=36, best_auprc=0.8575)
epoch 41: loss=0.7908 val_auprc=0.8510 val_auc=0.9571 val_f1_macro=0.7551 (best_epoch=36, best_auprc=0.8575)
epoch 42: loss=0.7838 val_auprc=0.8553 val_auc=0.9576 val_f1_macro=0.7675 (best_epoch=36, best_auprc=0.8575)
epoch 43: loss=0.7693 val_auprc=0.8590 val_auc=0.9580 val_f1_macro=0.7768 (best_epoch=43, best_auprc=0.8590)
epoch 44: loss=0.7660 val_auprc=0.8634 val_auc=0.9583 val_f1_macro=0.7942 (best_epoch=44, best_auprc=0.8634)
epoch 45: loss=0.7859 val_auprc=0.8681 val_auc=0.9586 val_f1_macro=0.8110 (best_epoch=45, best_auprc=0.8681)
epoch 46: loss=0.7815 val_auprc=0.8704 val_auc=0.9588 val_f1_macro=0.8197 (best_epoch=46, best_auprc=0.8704)
epoch 47: loss=0.7701 val_auprc=0.8709 val_auc=0.9590 val_f1_macro=0.8166 (best_epoch=47, best_auprc=0.8709)
epoch 48: loss=0.7768 val_auprc=0.8704 val_auc=0.9593 val_f1_macro=0.8039 (best_epoch=47, best_auprc=0.8709)
epoch 49: loss=0.7770 val_auprc=0.8712 val_auc=0.9594 val_f1_macro=0.8063 (best_epoch=49, best_auprc=0.8712)
epoch 50: loss=0.7802 val_auprc=0.8721 val_auc=0.9595 val_f1_macro=0.8107 (best_epoch=50, best_auprc=0.8721)
epoch 51: loss=0.7641 val_auprc=0.8722 val_auc=0.9597 val_f1_macro=0.8071 (best_epoch=51, best_auprc=0.8722)
epoch 52: loss=0.7818 val_auprc=0.8730 val_auc=0.9598 val_f1_macro=0.8110 (best_epoch=52, best_auprc=0.8730)
epoch 53: loss=0.7765 val_auprc=0.8739 val_auc=0.9597 val_f1_macro=0.8178 (best_epoch=53, best_auprc=0.8739)
