=== Run: splitgnn_tfinance_unified_tr40_seed2_a6000_20260918T010905Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/tfinance/unified/tr40/seed_2
No existing split file at /workspace/splitgnn_vast/splits/tfinance_seed2_nested_splits.npz, generating now.
Split overlap checks: PASSED
train=15742 valid=7872 test=15743
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: 155c8b23e95871c18157b8ba5e9b360a59c22cf403079fdab6b4902f20646a2f
Split SHA256: e7f78da52dc324c283f864744cd85105fe1c5d0feab065727930a50ba1c1971c
epoch 0: loss=1.6966 val_auprc=0.6551 val_auc=0.8724 val_f1_macro=0.2308 (best_epoch=0, best_auprc=0.6551)
epoch 1: loss=1.6767 val_auprc=0.7100 val_auc=0.8770 val_f1_macro=0.6279 (best_epoch=1, best_auprc=0.7100)
epoch 2: loss=1.6571 val_auprc=0.7170 val_auc=0.8807 val_f1_macro=0.6677 (best_epoch=2, best_auprc=0.7170)
epoch 3: loss=1.6349 val_auprc=0.7136 val_auc=0.8821 val_f1_macro=0.6433 (best_epoch=2, best_auprc=0.7170)
epoch 4: loss=1.6082 val_auprc=0.7077 val_auc=0.8820 val_f1_macro=0.6265 (best_epoch=2, best_auprc=0.7170)
epoch 5: loss=1.5786 val_auprc=0.7001 val_auc=0.8812 val_f1_macro=0.6240 (best_epoch=2, best_auprc=0.7170)
epoch 6: loss=1.5457 val_auprc=0.6951 val_auc=0.8800 val_f1_macro=0.6327 (best_epoch=2, best_auprc=0.7170)
epoch 7: loss=1.5158 val_auprc=0.6867 val_auc=0.8786 val_f1_macro=0.6337 (best_epoch=2, best_auprc=0.7170)
epoch 8: loss=1.4804 val_auprc=0.6701 val_auc=0.8783 val_f1_macro=0.6561 (best_epoch=2, best_auprc=0.7170)
epoch 9: loss=1.4354 val_auprc=0.6569 val_auc=0.8789 val_f1_macro=0.6787 (best_epoch=2, best_auprc=0.7170)
epoch 10: loss=1.3927 val_auprc=0.6473 val_auc=0.8808 val_f1_macro=0.6891 (best_epoch=2, best_auprc=0.7170)
epoch 11: loss=1.3672 val_auprc=0.6456 val_auc=0.8838 val_f1_macro=0.6883 (best_epoch=2, best_auprc=0.7170)
epoch 12: loss=1.3373 val_auprc=0.6379 val_auc=0.8873 val_f1_macro=0.6761 (best_epoch=2, best_auprc=0.7170)
epoch 13: loss=1.2970 val_auprc=0.6210 val_auc=0.8913 val_f1_macro=0.6576 (best_epoch=2, best_auprc=0.7170)
epoch 14: loss=1.2755 val_auprc=0.5937 val_auc=0.8950 val_f1_macro=0.6376 (best_epoch=2, best_auprc=0.7170)
epoch 15: loss=1.2511 val_auprc=0.5702 val_auc=0.8983 val_f1_macro=0.6164 (best_epoch=2, best_auprc=0.7170)
epoch 16: loss=1.2150 val_auprc=0.5471 val_auc=0.9013 val_f1_macro=0.6070 (best_epoch=2, best_auprc=0.7170)
epoch 17: loss=1.1984 val_auprc=0.5332 val_auc=0.9049 val_f1_macro=0.6114 (best_epoch=2, best_auprc=0.7170)
epoch 18: loss=1.1667 val_auprc=0.5519 val_auc=0.9096 val_f1_macro=0.6240 (best_epoch=2, best_auprc=0.7170)
epoch 19: loss=1.1239 val_auprc=0.5997 val_auc=0.9156 val_f1_macro=0.6424 (best_epoch=2, best_auprc=0.7170)
epoch 20: loss=1.1139 val_auprc=0.6501 val_auc=0.9224 val_f1_macro=0.6669 (best_epoch=2, best_auprc=0.7170)
epoch 21: loss=1.0586 val_auprc=0.7214 val_auc=0.9291 val_f1_macro=0.6952 (best_epoch=21, best_auprc=0.7214)
epoch 22: loss=1.0209 val_auprc=0.7525 val_auc=0.9352 val_f1_macro=0.7143 (best_epoch=22, best_auprc=0.7525)
epoch 23: loss=0.9935 val_auprc=0.7672 val_auc=0.9406 val_f1_macro=0.7321 (best_epoch=23, best_auprc=0.7672)
epoch 24: loss=0.9641 val_auprc=0.7804 val_auc=0.9451 val_f1_macro=0.7413 (best_epoch=24, best_auprc=0.7804)
epoch 25: loss=0.9484 val_auprc=0.7944 val_auc=0.9488 val_f1_macro=0.7516 (best_epoch=25, best_auprc=0.7944)
epoch 26: loss=0.9260 val_auprc=0.8084 val_auc=0.9516 val_f1_macro=0.7661 (best_epoch=26, best_auprc=0.8084)
epoch 27: loss=0.9116 val_auprc=0.8228 val_auc=0.9536 val_f1_macro=0.7890 (best_epoch=27, best_auprc=0.8228)
epoch 28: loss=0.8896 val_auprc=0.8349 val_auc=0.9544 val_f1_macro=0.8088 (best_epoch=28, best_auprc=0.8349)
epoch 29: loss=0.8790 val_auprc=0.8427 val_auc=0.9546 val_f1_macro=0.8205 (best_epoch=29, best_auprc=0.8427)
epoch 30: loss=0.8677 val_auprc=0.8465 val_auc=0.9547 val_f1_macro=0.8224 (best_epoch=30, best_auprc=0.8465)
