=== Run: splitgnn_tsocial_unified_tr20_seed72_a6000_20260919T064343Z ===
Result dir: /workspace/splitgnn_vast/results/splitgnn/tsocial/unified/tr20/seed_72
Split overlap checks: PASSED
train=173432 valid=173432 test=346864
Model source commit: 32fbdb836781d5c02523844a7079425f89be8831
Config SHA256: 9e8de6dd92ca35c1771c03baddf917dbdef0af5dc367e5f4cc862d4653316b04
Split SHA256: 197cd8a496ca269cfa2affeea08837bb97bc55181f878b36cc724036ba6d001b
epoch 0: loss=1.7001 val_auprc=0.2055 val_auc=0.7880 val_f1_macro=0.0293 (best_epoch=0, best_auprc=0.2055)
epoch 1: loss=1.6872 val_auprc=0.2266 val_auc=0.7827 val_f1_macro=0.0293 (best_epoch=1, best_auprc=0.2266)
epoch 2: loss=1.6687 val_auprc=0.2335 val_auc=0.7981 val_f1_macro=0.3364 (best_epoch=2, best_auprc=0.2335)
epoch 3: loss=1.6487 val_auprc=0.2353 val_auc=0.8064 val_f1_macro=0.4699 (best_epoch=3, best_auprc=0.2353)
epoch 4: loss=1.6275 val_auprc=0.2474 val_auc=0.8241 val_f1_macro=0.5023 (best_epoch=4, best_auprc=0.2474)
epoch 5: loss=1.6053 val_auprc=0.2841 val_auc=0.8266 val_f1_macro=0.5215 (best_epoch=5, best_auprc=0.2841)
epoch 6: loss=1.5781 val_auprc=0.2815 val_auc=0.8224 val_f1_macro=0.5302 (best_epoch=5, best_auprc=0.2841)
epoch 7: loss=1.5557 val_auprc=0.2682 val_auc=0.8145 val_f1_macro=0.5246 (best_epoch=5, best_auprc=0.2841)
epoch 8: loss=1.5285 val_auprc=0.2633 val_auc=0.8153 val_f1_macro=0.5067 (best_epoch=5, best_auprc=0.2841)
epoch 9: loss=1.5138 val_auprc=0.2620 val_auc=0.8167 val_f1_macro=0.4926 (best_epoch=5, best_auprc=0.2841)
epoch 10: loss=1.5000 val_auprc=0.2619 val_auc=0.8173 val_f1_macro=0.4879 (best_epoch=5, best_auprc=0.2841)
epoch 11: loss=1.4913 val_auprc=0.2619 val_auc=0.8177 val_f1_macro=0.4920 (best_epoch=5, best_auprc=0.2841)
epoch 12: loss=1.4842 val_auprc=0.2626 val_auc=0.8185 val_f1_macro=0.4995 (best_epoch=5, best_auprc=0.2841)
epoch 13: loss=1.4926 val_auprc=0.2627 val_auc=0.8198 val_f1_macro=0.5049 (best_epoch=5, best_auprc=0.2841)
epoch 14: loss=1.4890 val_auprc=0.2637 val_auc=0.8214 val_f1_macro=0.5042 (best_epoch=5, best_auprc=0.2841)
epoch 15: loss=1.4768 val_auprc=0.2652 val_auc=0.8236 val_f1_macro=0.5001 (best_epoch=5, best_auprc=0.2841)
epoch 16: loss=1.4628 val_auprc=0.2656 val_auc=0.8258 val_f1_macro=0.4968 (best_epoch=5, best_auprc=0.2841)
epoch 17: loss=1.4297 val_auprc=0.2661 val_auc=0.8281 val_f1_macro=0.4959 (best_epoch=5, best_auprc=0.2841)
epoch 18: loss=1.4201 val_auprc=0.2669 val_auc=0.8302 val_f1_macro=0.5008 (best_epoch=5, best_auprc=0.2841)
epoch 19: loss=1.4038 val_auprc=0.2681 val_auc=0.8321 val_f1_macro=0.5090 (best_epoch=5, best_auprc=0.2841)
epoch 20: loss=1.3898 val_auprc=0.2693 val_auc=0.8336 val_f1_macro=0.5168 (best_epoch=5, best_auprc=0.2841)
epoch 21: loss=1.3705 val_auprc=0.2703 val_auc=0.8348 val_f1_macro=0.5158 (best_epoch=5, best_auprc=0.2841)
epoch 22: loss=1.3590 val_auprc=0.2713 val_auc=0.8354 val_f1_macro=0.5060 (best_epoch=5, best_auprc=0.2841)
epoch 23: loss=1.3511 val_auprc=0.2733 val_auc=0.8361 val_f1_macro=0.4992 (best_epoch=5, best_auprc=0.2841)
epoch 24: loss=1.3346 val_auprc=0.2756 val_auc=0.8367 val_f1_macro=0.4995 (best_epoch=5, best_auprc=0.2841)
epoch 25: loss=1.3220 val_auprc=0.2778 val_auc=0.8373 val_f1_macro=0.5031 (best_epoch=5, best_auprc=0.2841)
Early stopping at epoch 25 (no improvement for 20 epochs)
Selected threshold (best val macro-F1): 0.65 (val F1=0.6737)
TEST metrics: {'auprc': 0.2938011030014398, 'auc': 0.8318332374398584, 'f1_macro': 0.6727415408823876, 'recall': 0.307067036434924, 'threshold_used': 0.6500000000000001, 'best_epoch': 5}
