gpu,model,dataset,mean_epoch_s,peak_gpu_mb,params,mean_epochs
NVIDIA RTX A6000,CARE-GNN,YelpChi,7.6355,276.7,1314,100.0
NVIDIA RTX A6000,CARE-GNN,Amazon,1.2998,115.9,2100,46.3
NVIDIA RTX A6000,CARE-GNN,Elliptic,1.3908,276.5,11278,86.3
NVIDIA RTX A6000,CARE-GNN,FDCompCN,0.7102,30.8,4276,32.7
NVIDIA RTX A6000,GHRN,YelpChi,0.02,1106.8,18754,200.0
NVIDIA RTX A6000,GHRN,Amazon,0.017,1184.2,18306,178.0
NVIDIA RTX A6000,GHRN,Elliptic,0.0285,725.2,27330,161.0
NVIDIA RTX A6000,GHRN,FDCompCN,0.0134,48.6,73474,114.0
Tesla T4,CARE-GNN,T-Finance,1.741,302.3,982,33.7
Tesla T4,GHRN,T-Finance,0.3635,5570.6,17346,163.3
