model,dataset,ratio,n_seeds,seeds,gpu,auprc_mean,auprc_sd,auroc_mean,auroc_sd,macro_f1_mean,macro_f1_sd,fraud_f1_mean,fraud_f1_sd,fraud_precision_mean,fraud_precision_sd,fraud_recall_mean,fraud_recall_sd,gmean_mean,gmean_sd,accuracy_mean,accuracy_sd,mean_epoch_s,peak_gpu_mb,params,epochs
CARE-GNN,YelpChi,TR40,3,2 42 72,NVIDIA RTX A6000,0.5103911545917211,0.012689286243322438,0.8373543674172205,0.00771049507652966,0.7025913482571785,0.004622257092836319,0.4888030135621187,0.009391776648364911,0.5065806619263168,0.016235331323075274,0.47310620242106577,0.023638119157862188,0.6600691976110499,0.014051108061897324,0.8562905741123563,0.00416668439880855,7.6355187721569875,276.7080078125,1314.0,100.0
CARE-GNN,Amazon,TR40,3,2 42 72,NVIDIA RTX A6000,0.7152058998352541,0.23197193676389088,0.8950867189679457,0.10159338884276631,0.8335257334054386,0.12545254205291387,0.6911330243110334,0.23836947335318331,0.8893215199354393,0.008477379284554087,0.6099290780141844,0.29394365548891693,0.7585777365158921,0.20723948978036436,0.9554398148148149,0.024056261216234387,1.2997655724116595,115.8837890625,2100.0,46.333333333333336
CARE-GNN,T-Finance,TR40,3,2 42 72,Tesla T4,0.7119563564438907,0.04025857588142902,0.8793761570523287,0.043567509437178235,0.7785512318101043,0.08658285647156681,0.5712136075284373,0.16965837315542873,0.9670914111966082,0.026736389368074133,0.4211742949607027,0.16646054673705088,0.6388822201803377,0.1372907056686396,0.9726880081300813,0.0069159845471626884,1.7410059670217828,302.2970377604167,982.0,33.666666666666664
CARE-GNN,Elliptic,TR40,3,2 42 72,NVIDIA RTX A6000,0.483873233351525,0.026892336595190525,0.8810931256254854,0.007761601434056967,0.7491467489871582,0.04328284524830545,0.5482301094220242,0.06902465507297964,0.465392425467821,0.11466981254731497,0.6916019760056457,0.03917202282675485,0.800652211311745,0.007733570483662644,0.9102818791946309,0.02987141489557549,1.3907986187516144,276.470703125,11278.0,86.33333333333333
CARE-GNN,FDCompCN,TR40,3,2 42 72,NVIDIA RTX A6000,0.13397111244467147,0.013111862526582332,0.5526582159292869,0.024480935562532783,0.5171189935523679,0.007991318740378648,0.13683532056731243,0.014729857839776577,0.136323429656763,0.01673365002526166,0.1390134529147982,0.023728711309996334,0.35192974337859284,0.026600688465404518,0.8167293233082707,0.01606015741601043,0.7101722500904687,30.826334635416668,4276.0,32.666666666666664
GHRN,YelpChi,TR40,3,2 42 72,NVIDIA RTX A6000,0.5247766059515198,0.01232721189288846,0.8384492521910186,0.007516265712455306,0.7119139220401381,0.007952295762911399,0.5045579466486138,0.01776197212370829,0.52490196009568,0.012263842422340455,0.4875826781480095,0.04328934231760776,0.670930540638628,0.02575610088079554,0.8612048017988613,0.002663059394590358,0.019987312849455822,1106.84521484375,18754.0,200.0
GHRN,Amazon,TR40,3,2 42 72,NVIDIA RTX A6000,0.875568588573895,0.023505329778304586,0.970686400015034,0.010741671149577303,0.9229464904448684,0.005449983710438991,0.8597795688665625,0.009828761627769474,0.9119554159477131,0.02285050566893291,0.8135764944275583,0.013705926300373527,0.8982025515346748,0.0071413802860465685,0.9747299382716049,0.0019695773395700298,0.016989434329751363,1184.193359375,18306.0,178.0
GHRN,T-Finance,TR40,3,2 42 72,Tesla T4,0.6763618715499412,0.20598214766180412,0.910132064722211,0.06658040928823683,0.8418303352877098,0.05375374058950973,0.6978249439797781,0.10253109890786319,0.7228311492218773,0.13366259777032521,0.6777623670827554,0.09234851759333418,0.816693056128463,0.05858526687131661,0.9729420731707318,0.009566948903674443,0.363527062998602,5570.572265625,17346.0,163.33333333333334
GHRN,Elliptic,TR40,3,2 42 72,NVIDIA RTX A6000,0.49775241689071037,0.05735329104488812,0.8910735759825048,0.0029895433153329784,0.7284411417114334,0.019130385351600724,0.5167585765736418,0.028905463290423164,0.39732434776177766,0.03811667220966859,0.7435897435897436,0.018542127874795176,0.8205845188063523,0.0020210954122080187,0.8935123042505593,0.015473368443881452,0.028476976839135443,725.17236328125,27330.0,161.0
GHRN,FDCompCN,TR40,3,2 42 72,NVIDIA RTX A6000,0.12035235350705357,0.003154033675435525,0.5525420869476517,0.003826103622789477,0.5029884481903992,0.005952653125354341,0.09643602043968709,0.02223955088981245,0.12494217486321364,0.01789668964019788,0.0866965620328849,0.04068955930886756,0.27654004492027356,0.059159632225040996,0.8363095238095238,0.03944383642991765,0.013444543087747637,48.62451171875,73474.0,114.0
