model,dataset,ratio,split_seed,train_seed,gpu,auprc,auroc,macro_f1,fraud_f1,fraud_precision,fraud_recall,gmean,accuracy,threshold,best_epoch,epochs,mean_epoch_s,peak_gpu_mb,params
CARE-GNN,YelpChi,TR40,2,2,NVIDIA RTX A6000,0.5107020387872765,0.8396874222028119,0.701085011099455,0.482744702320888,0.5236427320490368,0.4477723698989143,0.6455724247913118,0.8605701229463606,0.76,97.0,100.0,7.643723164718249,281.1982421875,1314.0
CARE-GNN,YelpChi,TR40,2,42,NVIDIA RTX A6000,0.4975492827902134,0.8287467798949297,0.6989101654846336,0.48404255319148937,0.4913227921326649,0.47697491576188694,0.6610075664990105,0.8522467631378522,0.78,99.0,100.0,7.7111158341157715,273.30859375,1314.0
CARE-GNN,YelpChi,TR40,2,72,NVIDIA RTX A6000,0.5229221421976737,0.8436289001539197,0.7077788681874468,0.4996217851739788,0.5047764615972488,0.4945713216023961,0.6736276015428275,0.856054836252856,0.79,99.0,100.0,7.55171731763694,275.6171875,1314.0
CARE-GNN,Amazon,TR40,2,2,NVIDIA RTX A6000,0.8589132736108487,0.9626267152548205,0.9058187640563828,0.8284789644012945,0.8858131487889274,0.7781155015197568,0.8774416546278301,0.9693287037037037,0.99,40.0,61.0,1.2970913266238269,115.79541015625,2100.0
CARE-GNN,Amazon,TR40,2,42,NVIDIA RTX A6000,0.8391125830121913,0.9443828290319728,0.906092734245227,0.8290322580645161,0.8831615120274914,0.7811550151975684,0.8790116520796926,0.9693287037037037,0.99,34.0,55.0,1.2683400731406766,115.79638671875,2100.0
CARE-GNN,Amazon,TR40,2,72,NVIDIA RTX A6000,0.44759184288272247,0.7782506126170436,0.688665701914706,0.4158878504672897,0.898989898989899,0.270516717325228,0.5192799028401537,0.9276620370370371,0.89,2.0,23.0,1.333865317470475,116.0595703125,2100.0
CARE-GNN,T-Finance,TR40,2,2,Tesla T4,0.735912258461242,0.9134565095425111,0.8409932474070507,0.6935201401050788,0.9406175771971497,0.5492371705963939,0.740488471732861,0.9777693089430894,0.05,36.0,57.0,1.7151730787017498,303.0263671875,982.0
CARE-GNN,T-Finance,TR40,2,42,Tesla T4,0.6654771155911805,0.8302887491145109,0.6797111656706651,0.3775280898876405,0.9940828402366864,0.23300970873786409,0.4826947260324952,0.9648119918699187,0.01,1.0,22.0,1.7443245588636025,300.828125,982.0
CARE-GNN,T-Finance,TR40,2,72,Tesla T4,0.7344796952792494,0.8943832124999642,0.8149492823525972,0.6425925925925926,0.9665738161559888,0.4812760055478502,0.6934634627756567,0.9754827235772358,0.02,1.0,22.0,1.7635202634999958,303.03662109375,982.0
CARE-GNN,Elliptic,TR40,2,2,NVIDIA RTX A6000,0.5001775842003054,0.8894915651973923,0.7914181294283386,0.6164109406270847,0.5844402277039848,0.6520818630910374,0.7919503975159944,0.938255033557047,0.87,95.0,100.0,1.3985319572791923,276.470703125,11278.0
